,Word,Dominant Perceptual,Exclusivity Perceptual,Strength Perceptual
0,require_VB,Visual,0.29,2.058823529
1,development_NN,Visual,0.264248705,3.764705882
2,research_NN,Visual,0.402515723,3.789473684
3,center_NN,Visual,0.6593406589999999,3.157894737
4,study_NN,Visual,0.496932515,3.176470588
5,use_NN,Haptic,0.18390804600000002,2.777777778
6,system_NN,Visual,0.504854369,3.5333333330000003
7,provide_VB,Visual,0.43956044,2.05
8,law_NN,Visual,0.42105263200000004,2.1818181819999998
9,computer_NN,Visual,0.37155963299999994,4.666666667
10,source_NN,Visual,0.30597014899999997,3.0
11,service_NN,Visual,0.409722222,3.5
12,serve_VB,Visual,0.44791666700000005,2.933333333
13,plan_NN,Visual,0.308917197,2.743589744
14,include_VB,Visual,0.301587302,2.5
15,market_NN,Visual,0.35371179,4.380952381
16,health_NN,Interoceptive,0.422535211,3.685714286
17,science_NN,Visual,0.33908046,3.888888889
18,number_NN,Visual,0.581196581,3.631578947
19,university_NN,Visual,0.45901639299999997,3.5625
20,management_NN,Visual,0.53164557,2.8
21,field_NN,Visual,0.446153846,4.333333333
22,period_NN,Interoceptive,0.25,3.0588235289999997
23,agency_NN,Visual,0.44799999999999995,3.157894737
24,technology_NN,Visual,0.3,4.315789474
25,education_NN,Visual,0.359550562,3.888888889
26,set_VB,Visual,0.41964285700000004,2.526315789
27,national_JJ,Visual,0.340206186,2.055555556
28,major_JJ,Visual,0.362637363,2.0
29,web_NN,Visual,0.5111821089999999,4.1
30,base_VB,Visual,0.5307692310000001,3.5
31,court_NN,Visual,0.572463768,3.95
32,policy_NN,Visual,0.35,2.764705882
33,purpose_NN,Visual,0.32967033,2.0
34,county_NN,Visual,0.479591837,2.631578947
35,appear_VB,Visual,0.46666666700000003,3.9375
36,program_NN,Visual,0.509433962,3.5625
37,information_NN,Auditory,0.358381503,4.0
38,consider_VB,Interoceptive,0.259541985,2.1
39,name_NN,Visual,0.484848485,3.2
40,report_NN,Auditory,0.45323741,3.7058823530000002
41,identify_VB,Visual,0.226277372,2.529411765
42,act_NN,Visual,0.3875,3.19047619
43,material_NN,Visual,0.265765766,3.947368421
44,various_JJ,Visual,0.274074074,2.722222222
