,Unnamed: 0,OlfN,TotalN,Tokens,OAI,OSI
182,dr._NN,111,64844,['dr._NNP'],-9.190269602,11.9578341
215,america_NN,155,82363,"['america_NNP', 'america_NNPS', 'america_NN']",-9.053584354,11.47612556
288,american_JJ,256,112789,['american_JJ'],-8.783266847,10.75224996
295,europe_NN,99,42641,['europe_NNP'],-8.750597031,12.12289334
397,%_NN,362,121242,['%_NN'],-8.387684143,10.25240407
431,mr._NN,246,74530,['mr._NNP'],-8.243019133999999,10.80973546
445,appellant_NN,102,29802,"['appellant_NNS', 'appellant_NN', 'appellant_NNP']",-8.19069619,12.07982462
538,american_NN,320,73165,"['american_NNPS', 'american_NNP', 'american_NNS']",-7.836937955,10.43032187
645,'s_VB,2170,382576,"[""'s_VBZ""]",-7.46190752,7.6687706339999995
694,wo_MD,169,25043,['wo_MD'],-7.211240342000001,11.35137053
702,'ll_MD,504,72720,"[""'ll_MD""]",-7.172784656,9.774970038
765,others_NN,991,118588,['others_NNS'],-6.902857257000001,8.799508715
775,ca_MD,442,49576,['ca_MD'],-6.809451694,9.964347402000001
783,'re_VB,1178,127149,"[""'re_VBP""]",-6.7540367660000005,8.550126138
785,'d_MD,483,51923,"[""'d_MD""]",-6.748206742000001,9.836370582999999
786,'ve_VB,993,106163,"[""'ve_VBP"", ""'ve_VB""]",-6.740271612000001,8.796600053999999
818,n't_RB,5371,485391,"[""n't_RB""]",-6.497812827000001,6.361274956
820,'m_VB,862,75959,"[""'m_VBP""]",-6.461389232999999,9.000705903
943,justified_JJ,108,3254,['justified_JJ'],-4.913111034,11.99736246
1023,pressured_JJ,116,270,['pressured_JJ'],-1.218834602,11.89426897
