,Word,Dominant Perceptual,Exclusivity Perceptual,Strength Perceptual
0,world_NN,Visual,0.086956522,4.2352941180000006
1,will_MD,Visual,0.280898876,2.5714285709999998
2,be_VB,Interoceptive,0.111842105,2.029411765
3,various_JJ,Visual,0.274074074,2.722222222
4,day_NN,Visual,0.471698113,4.210526316
5,have_VB,Visual,0.239263804,2.45
6,express_VB,Visual,0.381355932,2.555555556
7,last_JJ,Visual,0.512605042,3.315789474
8,year_NN,Visual,0.42222222200000004,1.0555555559999998
9,too_RB,Auditory,0.34939759,1.684210526
10,public_JJ,Visual,0.416107383,3.875
11,officer_NN,Visual,0.551724138,4.0
12,comment_NN,Auditory,0.6946564890000001,4.55
13,again_RB,Visual,0.109090909,1.95
14,know_VB,Interoceptive,0.40952381,2.7058823530000002
15,do_VB,Interoceptive,0.193877551,2.47826087
16,few_JJ,Visual,0.513513514,3.470588235
17,word_NN,Visual,0.5066666670000001,4.470588235
18,start_VB,Visual,0.34042553200000003,3.6
19,congress_NN,Visual,0.503649635,3.45
20,plan_NN,Visual,0.308917197,2.743589744
21,even_RB,Visual,0.588888889,2.9444444439999997
22,president_NN,Visual,0.44378698200000005,3.761904762
23,correctly_RB,Visual,0.344262295,2.555555556
24,seem_VB,Visual,0.36046511600000003,2.058823529
25,able_JJ,Interoceptive,0.264705882,3.066666667
26,might_MD,Interoceptive,0.310606061,2.157894737
27,board_NN,Visual,0.496598639,4.294117647
28,shall_MD,Visual,0.39285714299999996,1.4375
29,conduct_VB,Visual,0.411042945,3.45
30,accordance_NN,Visual,0.37142857100000004,2.0
31,nomination_NN,Auditory,0.39215686299999997,2.8
32,judiciary_NN,Visual,0.52173913,3.2
33,committee_NN,Visual,0.516556291,3.9
34,hold_VB,Haptic,0.486842105,4.352941176
35,promptly_RB,Visual,0.48837209299999995,2.210526316
36,delay_NN,Visual,0.355371901,2.555555556
37,way_NN,Visual,0.41176470600000004,4.0
38,say_VB,Auditory,0.5251798560000001,3.9
39,may_MD,Visual,0.308900524,2.03030303
40,thing_NN,Visual,0.132890365,3.6
