,Word,Dominant Perceptual,Exclusivity Perceptual,Strength Perceptual
0,have_VB,Visual,0.239263804,2.45
1,tune_VB,Auditory,0.591836735,4.19047619
2,thank_VB,Auditory,0.488888889,3.666666667
3,will_MD,Visual,0.280898876,2.5714285709999998
4,individual_NN,Visual,0.325,2.75
5,require_VB,Visual,0.29,2.058823529
6,stop_VB,Visual,0.459677419,3.5625
7,know_VB,Interoceptive,0.40952381,2.7058823530000002
8,hope_NN,Interoceptive,0.338345865,3.333333333
9,someone_NN,Visual,0.302222222,3.842105263
10,might_MD,Interoceptive,0.310606061,2.157894737
11,intently_RB,Interoceptive,0.212765957,2.5
12,headphone_NN,Visual,0.35869565200000003,3.4
13,be_VB,Interoceptive,0.111842105,2.029411765
14,willing_JJ,Visual,0.26829268300000003,2.235294118
15,comment_NN,Auditory,0.6946564890000001,4.55
16,let_VB,Visual,0.341463415,1.764705882
17,try_VB,Visual,0.314685315,2.5
18,well_RB,Interoceptive,0.37078651700000004,2.0
19,do_VB,Interoceptive,0.193877551,2.47826087
20,think_VB,Interoceptive,0.474137931,3.529411765
21,voice_NN,Auditory,0.47297297299999996,4.75
22,anymore_RB,Visual,0.20869565199999998,2.0
23,consider_VB,Interoceptive,0.259541985,2.1
24,land_NN,Visual,0.468944099,4.472222222
25,everybody_NN,Visual,0.38333333299999994,3.833333333
26,inspire_VB,Interoceptive,0.424242424,3.588235294
27,as_RB,Auditory,0.31147541,1.294117647
28,soul_NN,Interoceptive,0.745762712,2.444444444
29,make_VB,Visual,0.165938865,3.388888889
30,understand_VB,Auditory,0.235294118,2.6
31,move_VB,Visual,0.278645833,3.166666667
32,conference_NN,Auditory,0.491935484,3.875
33,participant_NN,Visual,0.473282443,3.315789474
34,speaker_NN,Auditory,0.44387755100000004,4.736842105
35,once_RB,Visual,0.381818182,1.095238095
36,again_RB,Visual,0.109090909,1.95
37,prepare_VB,Visual,0.25988700600000003,3.0
38,positive_JJ,Interoceptive,0.306748466,3.2941176469999998
39,fellow_JJ,Visual,0.41509434,3.35
40,not_RB,Auditory,0.195348837,1.5641025640000001
41,such_JJ,Auditory,0.473684211,1.8125
42,people_NN,Visual,0.21167883199999998,4.166666667
43,million_NN,Visual,0.728571429,3.0
44,time_NN,Interoceptive,0.446808511,2.333333333
45,carefully_RB,Visual,0.405405405,2.647058824
46,remark_NN,Auditory,0.7215189870000001,3.3529411760000003
47,reflect_VB,Visual,0.5668202760000001,3.5
48,committee_NN,Visual,0.516556291,3.9
49,concern_NN,Interoceptive,0.37575757600000004,3.263157895
50,nonverbal_JJ,Visual,0.5784313729999999,3.6875
51,communication_NN,Auditory,0.40609137100000003,4.6111111110000005
52,write_VB,Visual,0.351807229,3.6511627910000004
53,oral_JJ,Visual,0.196891192,2.388888889
54,state_NN,Visual,0.547368421,2.888888889
55,believe_VB,Interoceptive,0.313559322,2.277777778
56,just_RB,Visual,0.36283185799999995,2.05
57,online_JJ,Visual,0.6767676770000001,3.9411764710000003
58,support_NN,Visual,0.31088082899999997,3.157894737
59,group_NN,Visual,0.39130434799999997,3.368421053
60,speech_NN,Auditory,0.576388889,4.15
61,learn_VB,Auditory,0.268867925,3.9411764710000003
62,body_NN,Visual,0.22039473699999998,4.315789474
63,important_JJ,Visual,0.261111111,2.842105263
64,welcome_VB,Auditory,0.35714285700000004,3.25
65,always_RB,Visual,0.5166666670000001,1.8235294119999998
66,worth_JJ,Visual,0.281553398,1.8235294119999998
67,give_VB,Visual,0.444444444,3.5555555560000003
68,ask_VB,Auditory,0.622222222,3.733333333
69,explain_VB,Auditory,0.571428571,4.222222222
70,should_MD,Visual,0.172839506,1.3125
71,go_VB,Visual,0.24832214800000002,2.421052632
72,can_MD,Visual,0.359223301,3.666666667
73,help_VB,Visual,0.28627451,3.1538461539999996
74,answer_VB,Auditory,0.488188976,3.823529412
75,question_NN,Auditory,0.5,3.823529412
76,complaint_NN,Auditory,0.642857143,4.1
77,advise_VB,Auditory,0.490566038,3.176470588
78,could_MD,Interoceptive,0.288888889,1.6470588240000001
79,radio_NN,Auditory,0.548387097,4.722222222
80,idea_NN,Auditory,0.340277778,2.888888889
81,knowledge_NN,Auditory,0.30625,2.736842105
82,art_NN,Visual,0.389189189,4.628571429
83,active_JJ,Visual,0.40625,3.722222222
84,lesson_NN,Visual,0.295238095,3.736842105
85,intend_VB,Auditory,0.29787234,1.631578947
86,set_NN,Visual,0.41964285700000004,2.526315789
87,sit_VB,Visual,0.377622378,3.1944444439999997
