,Word,Dominant Perceptual,Exclusivity Perceptual,Strength Perceptual
0,can_MD,Visual,0.359223301,3.666666667
1,again_RB,Visual,0.109090909,1.95
2,future_NN,Interoceptive,0.363636364,1.894736842
3,particular_JJ,Visual,0.14728682199999998,2.125
4,be_VB,Interoceptive,0.111842105,2.029411765
5,difference_NN,Visual,0.163934426,3.666666667
6,forward_RB,Visual,0.515789474,2.777777778
7,welcome_VB,Auditory,0.35714285700000004,3.25
8,turn_VB,Visual,0.572649573,3.888888889
9,around_RB,Visual,0.39837398399999996,2.842105263
10,back_RB,Visual,0.404651163,2.78125
11,mean_VB,Auditory,0.275132275,3.6470588239999997
12,ahead_RB,Visual,0.685393258,3.588235294
13,only_RB,Visual,0.402777778,1.7777777780000001
14,then_RB,Interoceptive,0.267857143,1.0555555559999998
15,public_NN,Visual,0.416107383,3.875
16,plan_NN,Visual,0.308917197,2.743589744
17,report_NN,Auditory,0.45323741,3.7058823530000002
18,say_VB,Auditory,0.5251798560000001,3.9
19,government_NN,Visual,0.462809917,2.947368421
20,cause_NN,Visual,0.505617978,2.5
21,force_NN,Haptic,0.31891891899999997,3.315789474
22,even_RB,Visual,0.588888889,2.9444444439999997
23,take_VB,Haptic,0.401273885,3.421052632
24,chart_NN,Visual,0.655737705,4.7647058819999994
25,support_NN,Visual,0.31088082899999997,3.157894737
26,few_JJ,Visual,0.513513514,3.470588235
27,place_NN,Visual,0.335195531,3.5555555560000003
28,material_NN,Visual,0.265765766,3.947368421
29,will_MD,Visual,0.280898876,2.5714285709999998
30,provide_VB,Visual,0.43956044,2.05
31,school_NN,Visual,0.3875,3.5
32,player_NN,Visual,0.470588235,3.111111111
33,lead_VB,Visual,0.435483871,3.470588235
34,young_JJ,Visual,0.44230769200000003,4.058823529
35,addition_NN,Visual,0.549356223,3.325
36,career_NN,Visual,0.383561644,2.5714285709999998
37,path_NN,Visual,0.560747664,3.875
38,good_JJ,Visual,0.078838174,3.0
39,map_NN,Visual,0.6466666670000001,4.409090909
40,must_MD,Interoceptive,0.275862069,1.368421053
41,other_JJ,Visual,0.270967742,2.5714285709999998
42,get_VB,Visual,0.24427480899999998,2.470588235
43,have_VB,Visual,0.239263804,2.45
44,just_RB,Visual,0.36283185799999995,2.05
45,arm_NN,Haptic,0.359773371,3.939393939
46,meeting_NN,Visual,0.457746479,3.9411764710000003
47,tax_NN,Visual,0.53,2.75
48,structure_NN,Visual,0.6754385959999999,4.277777778
49,willing_JJ,Visual,0.26829268300000003,2.235294118
50,united_NN,Visual,0.357615894,2.85
51,state_NN,Visual,0.547368421,2.888888889
52,people_NN,Visual,0.21167883199999998,4.166666667
53,should_MD,Visual,0.172839506,1.3125
54,next_JJ,Visual,0.43965517200000004,3.176470588
55,citizen_NN,Visual,0.49,3.5
56,know_VB,Interoceptive,0.40952381,2.7058823530000002
57,today_NN,Visual,0.36036036,2.5
58,chapter_NN,Visual,0.510204082,2.888888889
59,call_VB,Auditory,0.6081081079999999,4.55
60,directory_NN,Visual,0.54954955,3.882352941
61,not_RB,Auditory,0.195348837,1.5641025640000001
62,really_RB,Auditory,0.23636363600000002,1.842105263
