,Unnamed: 0,OlfN,TotalN,Tokens,OAI,OSI
6,'m_VB,1742,75959,"[""'m_VBP""]",-5.446404383487266,8.421750843365281
9,mr._NN,258,74530,['mr._NNP'],-8.174306383785558,11.17705249654089
24,ca_MD,245,49576,['ca_MD'],-7.660716313969039,11.251641812961571
25,n't_RB,4249,485391,"[""n't_RB""]",-6.835880204765553,7.135372123650857
36,'s_VB,2554,382576,"[""'s_VBZ""]",-7.2268440371974965,7.8697369422614205
37,america_NN,326,82277,"['america_NNP', 'america_NNPS']",-7.97947341631263,10.839551597733069
49,'ll_MD,1275,72720,"[""'ll_MD""]",-5.833783047335249,8.871998220217924
90,washington_NN,122,43495,['washington_NNP'],-8.477824606400716,12.257542414401257
130,in-depth_JJ,302,5963,['in-depth_JJ'],-4.303417882099091,10.949875012639065
144,american_JJ,365,112789,['american_JJ'],-8.271514193199703,10.676527098196765
181,'ve_VB,1011,106163,"[""'ve_VBP"", ""'ve_VB""]",-6.714354237231421,9.206712470061131
183,'re_VB,4486,127149,"[""'re_VBP""]",-4.824946684931732,7.057065846877872
184,california_NN,99,42401,['california_NNP'],-8.74245404968351,12.558923131884534
192,europe_NN,135,42800,"['europe_NNP', 'europe_NN']",-8.30850757912504,12.111464154913314
222,'d_MD,588,51923,"[""'d_MD""]",-6.464413776295254,9.98860740712778
254,american_NN,225,73223,"['american_NNPS', 'american_NNS', 'american_NN', 'american_NNP']",-8.346228071459425,11.374498560747108
379,u.s._NN,207,114937,['u.s._NNP'],-9.116996815563043,11.49479279446482
534,india_NN,125,30143,['india_NNP'],-7.913751104050634,12.222495467302055
549,george_NN,103,22453,['george_NNP'],-7.76812007220868,12.501779224780927
552,york_NN,135,58652,['york_NNP'],-8.76307708667544,12.111464154913314
560,dr._NN,142,64844,['dr._NNP'],-8.83493834846608,12.03853263245946
615,planning_NN,87,47848,"['planning_NN', 'planning_NNP']",-9.10322750641862,12.745336256115415
643,wo_MD,167,25043,['wo_MD'],-7.228415485842457,11.804575459490092
663,others_NN,607,118588,['others_NNS'],-7.610045798162981,9.94272704570846
811,long-term_JJ,127,28001,['long-term_JJ'],-7.7845060438503495,12.199595065191977
850,texas_NN,102,54963,['texas_NNP'],-9.07374778931407,12.515854409992649
1045,askance_RB,76,91,['askance_RB'],-0.2598671267551107,12.94035223852056
1083,european_JJ,97,30997,['european_JJ'],-8.319928130456685,12.588366909777017
1089,specie_NN,84,50911,"['specie_NNS', 'specie_NNP']",-9.24337236024066,12.795962329185386
1170,chinese_JJ,77,19675,['chinese_JJ'],-7.997289474587308,12.921493211269242
1180,mrs._NN,80,11263,['mrs._NNP'],-7.137375437893687,12.866351657076779
1227,pc_NN,83,23729,"['pc_NN', 'pc_NNP', 'pc_NNS']",-8.159324251202152,12.81324032061722
1281,u_NN,122,47855,"['u_NNP', 'u_NN']",-8.615644710655046,12.257542414401257
1288,hr_NN,77,9530,"['hr_NNP', 'hr_NN', 'hr_NNS']",-6.951473958102403,12.921493211269242
1319,microsoft_NN,115,23824,['microsoft_NNP'],-7.694637987637725,12.342789701019768
1347,london_NN,84,19593,['london_NNP'],-7.8657332708517576,12.795962329185386
1351,criterion_NN,82,31713,"['criterion_NN', 'criterion_NNS', 'criterion_NNP']",-8.59523473551412,12.83072774734606
1445,\/_NN,86,19291,"['\\/_NN', '\\/_NNP']",-7.809375556085446,12.762014997262044
1461,%_NN,78,121242,['%_NN'],-10.602127811607556,12.902877533101895
1484,e-mail_NN,120,37221,"['e-mail_NNP', 'e-mail_NN', 'e-mail_NNS']",-8.276938600102651,12.281389156355624
1488,ip_NN,102,23524,"['ip_NNP', 'ip_NNS', 'ip_NN']",-7.849420433190438,12.515854409992649
1500,iraq_NN,80,32182,['iraq_NNP'],-8.65203827201684,12.866351657076779
1513,uk_NN,78,16605,"['uk_NNP', 'uk_NNS', 'uk_NN']",-7.733927883527823,12.902877533101895
