,Word,Dominant Perceptual,Exclusivity Perceptual,Strength Perceptual
0,have_VB,Visual,0.239263804,2.45
1,effort_NN,Visual,0.3625,3.411764706
2,national_JJ,Visual,0.340206186,2.055555556
3,people_NN,Visual,0.21167883199999998,4.166666667
4,move_VB,Visual,0.278645833,3.166666667
5,society_NN,Visual,0.465838509,4.0
6,want_VB,Interoceptive,0.30069930100000003,3.375
7,past_NN,Interoceptive,0.25531914899999997,2.9375
8,understand_VB,Auditory,0.235294118,2.6
9,truth_NN,Auditory,0.415254237,2.722222222
10,ability_NN,Interoceptive,0.33858267700000005,2.555555556
11,be_VB,Interoceptive,0.111842105,2.029411765
12,not_RB,Auditory,0.195348837,1.5641025640000001
13,menu_NN,Visual,0.49717514100000004,4.736842105
14,flash_NN,Visual,0.798076923,4.3684210530000005
15,will_MD,Visual,0.280898876,2.5714285709999998
16,process_NN,Visual,0.38372093,1.789473684
17,think_VB,Interoceptive,0.474137931,3.529411765
18,everywhere_RB,Visual,0.484615385,3.9375
19,freedom_NN,Interoceptive,0.23671497600000002,3.277777778
20,friend_NN,Visual,0.27753304,3.736842105
21,mean_VB,Auditory,0.275132275,3.6470588239999997
22,lot_NN,Visual,0.296774194,3.470588235
23,here_RB,Visual,0.408759124,3.333333333
24,may_MD,Visual,0.308900524,2.03030303
25,range_NN,Visual,0.46323529399999996,3.9411764710000003
26,also_RB,Visual,0.41666666700000005,1.111111111
27,sign_NN,Visual,0.5546875,4.294117647
28,symptom_NN,Interoceptive,0.260869565,3.625
29,like_VB,Interoceptive,0.170305677,3.142857143
30,first_JJ,Visual,0.41228070200000005,3.1875
31,do_VB,Interoceptive,0.193877551,2.47826087
32,hope_NN,Interoceptive,0.338345865,3.333333333
33,president_NN,Visual,0.44378698200000005,3.761904762
34,tremendous_JJ,Visual,0.268571429,3.105263158
35,amount_NN,Visual,0.33928571399999996,3.9411764710000003
36,such_JJ,Auditory,0.473684211,1.8125
37,change_NN,Visual,0.286384977,4.055555556
38,audience_NN,Visual,0.41208791200000006,4.166666667
39,entire_JJ,Visual,0.22297297300000002,2.3
40,story_NN,Auditory,0.5660377360000001,4.3571428569999995
41,present_JJ,Visual,0.406896552,3.5
42,run_VB,Visual,0.382716049,3.5555555560000003
43,need_NN,Interoceptive,0.316091954,3.263157895
44,time_NN,Interoceptive,0.446808511,2.333333333
45,night_NN,Visual,0.489655172,4.75
46,still_RB,Visual,0.30069930100000003,2.588235294
47,service_NN,Visual,0.409722222,3.5
48,could_MD,Interoceptive,0.288888889,1.6470588240000001
49,improvement_NN,Visual,0.335078534,3.5
50,presentation_NN,Visual,0.450980392,4.176470588
51,one_NN,Visual,0.357723577,3.0
52,real_JJ,Visual,0.039525692,4.181818182
53,well_RB,Interoceptive,0.37078651700000004,2.0
54,son_NN,Visual,0.35,4.2
55,sight_NN,Visual,0.785123967,5.0
56,fun_NN,Interoceptive,0.21632653100000002,4.0
57,period_NN,Interoceptive,0.25,3.0588235289999997
58,go_VB,Visual,0.24832214800000002,2.421052632
59,become_VB,Visual,0.384,2.888888889
60,clear_JJ,Visual,0.491525424,3.75
61,product_NN,Visual,0.260869565,4.5
62,consumer_NN,Visual,0.425,3.111111111
63,never_RB,Interoceptive,0.326086957,2.1875
64,look_VB,Visual,0.9870129870000001,4.222222222
65,can_MD,Visual,0.359223301,3.666666667
66,effect_NN,Visual,0.16346153800000002,2.8
67,write_VB,Visual,0.351807229,3.6511627910000004
68,tax_NN,Visual,0.53,2.75
69,share_NN,Visual,0.302702703,3.368421053
70,wife_NN,Visual,0.227488152,3.529411765
71,wait_VB,Interoceptive,0.329787234,1.736842105
72,moment_NN,Visual,0.235294118,1.588235294
73,life_NN,Visual,0.06969697,3.35
74,benefit_NN,Visual,0.280991736,2.157894737
75,world_NN,Visual,0.086956522,4.2352941180000006
76,ever_RB,Visual,0.26,1.0
77,location_NN,Visual,0.433628319,3.125
78,power_NN,Visual,0.319767442,3.411764706
