,Word,Dominant Perceptual,Exclusivity Perceptual,Strength Perceptual
0,unpleasant_JJ,Interoceptive,0.136929461,3.588235294
1,be_VB,Interoceptive,0.111842105,2.029411765
2,use_VB,Haptic,0.18390804600000002,2.777777778
3,test_NN,Visual,0.308823529,3.1875
4,other_JJ,Visual,0.270967742,2.5714285709999998
5,would_MD,Auditory,0.4,1.294117647
6,touch_NN,Haptic,0.52,4.875
7,vision_NN,Visual,0.5928571429999999,4.736842105
8,taste_NN,Gustatory,0.428571429,4.647058824
9,blood_NN,Visual,0.330434783,4.1578947369999995
10,strongly_RB,Visual,0.24770642199999998,2.266666667
11,attract_VB,Visual,0.263157895,2.894736842
12,poor_JJ,Visual,0.439252336,2.9444444439999997
13,loss_NN,Interoceptive,0.35897435899999997,3.111111111
14,cooking_NN,Gustatory,0.136470588,4.476190476
15,smoke_NN,Olfactory,0.372384937,4.380952381
16,avoid_VB,Visual,0.226993865,2.666666667
17,have_VB,Visual,0.239263804,2.45
18,sweet_JJ,Gustatory,0.45731707299999996,4.1
19,least_JJ,Visual,0.402173913,2.277777778
20,scent_NN,Olfactory,0.671641791,4.6
21,actually_RB,Visual,0.289855072,1.1
22,touch_VB,Haptic,0.52,4.875
23,so_RB,Auditory,0.396825397,1.6470588240000001
24,much_JJ,Visual,0.26950354600000004,3.0625
25,fluid_NN,Visual,0.212,3.9444444439999997
26,heat_NN,Haptic,0.358024691,4.0625
27,good_JJ,Visual,0.078838174,3.0
28,food_NN,Gustatory,0.166212534,4.578947368
29,look_VB,Visual,0.9870129870000001,4.222222222
30,strong_JJ,Visual,0.247474747,2.947368421
31,special_JJ,Interoceptive,0.22159090899999997,2.894736842
32,feel_VB,Haptic,0.32673267300000003,4.705882353
33,use_NN,Haptic,0.18390804600000002,2.777777778
34,help_VB,Visual,0.28627451,3.1538461539999996
35,sound_NN,Auditory,0.7522123890000001,5.0
36,hear_VB,Auditory,0.8736842109999999,4.6111111110000005
37,see_VB,Visual,0.927835052,5.0
38,might_MD,Interoceptive,0.310606061,2.157894737
39,odor_NN,Olfactory,0.51744186,4.65
40,know_VB,Interoceptive,0.40952381,2.7058823530000002
41,clothes_NN,Visual,0.397379913,4.55
42,more_JJ,Visual,0.240506329,3.0588235289999997
43,bad_JJ,Visual,0.136752137,2.7
44,pungent_JJ,Olfactory,0.497076023,4.684210526
45,hang_VB,Visual,0.423076923,3.894736842
46,love_VB,Interoceptive,0.264,4.3888888889999995
47,flower_NN,Olfactory,0.284615385,4.3888888889999995
48,disturbance_NN,Auditory,0.297413793,3.789473684
49,sense_NN,Interoceptive,0.055172414,3.625
50,name_NN,Visual,0.484848485,3.2
51,suggest_VB,Auditory,0.720588235,3.0625
52,guy_NN,Visual,0.322164948,4.333333333
53,fill_VB,Visual,0.347826087,4.0
54,sea_NN,Visual,0.197841727,4.0
55,start_VB,Visual,0.34042553200000003,3.6
56,do_VB,Interoceptive,0.193877551,2.47826087
57,too_RB,Auditory,0.34939759,1.684210526
58,not_RB,Auditory,0.195348837,1.5641025640000001
59,can_MD,Visual,0.359223301,3.666666667
60,chocolate_NN,Gustatory,0.25357142899999996,4.555555556
61,very_RB,Auditory,0.235294118,1.529411765
62,just_RB,Visual,0.36283185799999995,2.05
63,funny_JJ,Auditory,0.289915966,4.1
64,say_VB,Auditory,0.5251798560000001,3.9
65,fine_JJ,Interoceptive,0.224358974,2.368421053
66,slightly_RB,Visual,0.158730159,1.6666666669999999
67,nice_JJ,Visual,0.19496855300000002,2.529411765
68,plastic_NN,Visual,0.34583333299999997,4.526315789
69,different_JJ,Visual,0.21551724100000003,3.428571429
70,little_JJ,Visual,0.46835443,4.277777778
71,may_MD,Visual,0.308900524,2.03030303
72,fresh_JJ,Gustatory,0.209219858,4.176470588
73,hot_JJ,Haptic,0.30256410300000003,4.117647058999999
74,rotten_JJ,Visual,0.30737704899999996,4.333333333
75,egg_NN,Gustatory,0.256302521,4.0625
76,hydrogen_NN,Visual,0.290322581,0.5555555560000001
77,gas_NN,Olfactory,0.416184971,3.619047619
78,lose_VB,Visual,0.382608696,2.444444444
79,alcohol_NN,Gustatory,0.253787879,4.166666667
80,first_JJ,Visual,0.41228070200000005,3.1875
81,go_VB,Visual,0.24832214800000002,2.421052632
82,away_RB,Visual,0.385365854,2.59375
83,sensory_JJ,Visual,0.038011696,3.764705882
84,disorder_NN,Visual,0.471544715,3.625
85,find_VB,Visual,0.41549295799999997,3.4444444439999997
86,paper_NN,Visual,0.363636364,4.315789474
87,many_JJ,Visual,0.37837837799999996,3.619047619
88,cause_VB,Visual,0.505617978,2.5
89,leave_VB,Visual,0.408695652,2.6
90,flesh_NN,Haptic,0.217877095,4.038461538
91,nasal_JJ,Auditory,0.288343558,2.526315789
92,then_RB,Interoceptive,0.267857143,1.0555555559999998
93,occur_VB,Visual,0.284552846,2.75
94,quite_RB,Auditory,0.409090909,1.8
95,work_VB,Visual,0.256684492,3.5625
96,hair_NN,Visual,0.375,4.3888888889999995
97,cold_JJ,Haptic,0.336448598,4.1052631580000005
98,color_NN,Visual,0.859903382,4.944444444
99,thing_NN,Visual,0.132890365,3.6
100,get_VB,Visual,0.24427480899999998,2.470588235
101,water_NN,Visual,0.228228228,4.19047619
