,Word,Dominant Perceptual,Exclusivity Perceptual,Strength Perceptual
0,region_NN,Visual,0.320987654,3.210526316
1,will_MD,Visual,0.280898876,2.5714285709999998
2,give_VB,Visual,0.444444444,3.5555555560000003
3,participant_NN,Visual,0.473282443,3.315789474
4,loss_NN,Interoceptive,0.35897435899999997,3.111111111
5,sensitivity_NN,Interoceptive,0.19838056699999998,3.095238095
6,recipe_NN,Visual,0.27179487199999997,3.5555555560000003
7,try_VB,Visual,0.314685315,2.5
8,vegetable_NN,Gustatory,0.278688525,4.176470588
9,treat_VB,Gustatory,0.251612903,2.9375
10,event_NN,Visual,0.42138364799999994,4.0
11,valley_NN,Visual,0.771144279,4.078947368
12,be_VB,Interoceptive,0.111842105,2.029411765
13,adjust_VB,Visual,0.367346939,3.0555555560000003
14,serve_VB,Visual,0.44791666700000005,2.933333333
15,preference_NN,Visual,0.09433962300000001,2.333333333
16,may_MD,Visual,0.308900524,2.03030303
17,explain_VB,Auditory,0.571428571,4.222222222
18,test_NN,Visual,0.308823529,3.1875
19,people_NN,Visual,0.21167883199999998,4.166666667
20,could_MD,Interoceptive,0.288888889,1.6470588240000001
21,have_VB,Visual,0.239263804,2.45
22,bitter_JJ,Gustatory,0.39634146299999995,4.25
23,highly_RB,Visual,0.291428571,2.857142857
24,solution_NN,Visual,0.333333333,2.333333333
25,most_RB,Visual,0.30172413800000003,3.071428571
26,often_RB,Interoceptive,0.36170212799999996,1.6818181819999998
27,able_JJ,Interoceptive,0.264705882,3.066666667
28,tend_VB,Visual,0.347826087,2.0
29,dislike_VB,Interoceptive,0.221198157,3.333333333
30,wonderfully_RB,Interoceptive,0.181818182,3.1
31,soft_JJ,Haptic,0.484848485,4.526315789
32,own_JJ,Visual,0.214814815,2.105263158
33,study_NN,Visual,0.496932515,3.176470588
34,suggest_VB,Auditory,0.720588235,3.0625
35,make_VB,Visual,0.165938865,3.388888889
36,percent_NN,Visual,0.526627219,2.666666667
37,so_RB,Auditory,0.396825397,1.6470588240000001
38,produce_VB,Visual,0.207373272,3.7906976739999996
39,dark_JJ,Visual,0.77092511,4.684210526
40,rich_JJ,Visual,0.226244344,3.526315789
41,season_NN,Visual,0.270114943,3.5
42,salad_NN,Gustatory,0.29739777,4.736842105
43,salt_NN,Gustatory,0.331632653,4.5
44,pepper_NN,Gustatory,0.258687259,4.4117647060000005
45,dish_NN,Visual,0.42771084299999995,4.0
46,as_RB,Auditory,0.31147541,1.294117647
47,well_RB,Interoceptive,0.37078651700000004,2.0
48,black_JJ,Visual,0.8620689659999999,4.470588235
49,tender_NN,Interoceptive,0.27567567600000004,3.0
50,mustard_NN,Gustatory,0.349019608,4.684210526
51,good_JJ,Visual,0.078838174,3.0
52,know_VB,Interoceptive,0.40952381,2.7058823530000002
53,smell_NN,Olfactory,0.664285714,4.8947368419999995
54,poor_JJ,Visual,0.439252336,2.9444444439999997
55,appetite_NN,Interoceptive,0.29702970300000003,4.055555556
56,slight_JJ,Visual,0.297297297,1.857142857
57,generally_RB,Visual,0.240506329,1.5
58,even_RB,Visual,0.588888889,2.9444444439999997
59,much_RB,Visual,0.26950354600000004,3.0625
60,compare_VB,Visual,0.22361809,3.4444444439999997
61,hot_JJ,Haptic,0.30256410300000003,4.117647058999999
62,sauce_NN,Gustatory,0.275862069,4.35
63,seasoning_NN,Gustatory,0.32166302,4.416666667
64,change_VB,Visual,0.286384977,4.055555556
65,consumer_NN,Visual,0.425,3.111111111
66,take_VB,Haptic,0.401273885,3.421052632
67,mouth_NN,Visual,0.20588235300000002,2.947368421
68,tangy_JJ,Gustatory,0.5277777779999999,4.085714286
69,achieve_VB,Interoceptive,0.477777778,2.588235294
70,mango_NN,Gustatory,0.317152104,4.666666667
71,product_NN,Visual,0.260869565,4.5
72,nutrition_NN,Gustatory,0.223880597,2.3125
73,quality_NN,Visual,0.122977346,3.894736842
74,can_MD,Visual,0.359223301,3.666666667
75,sweetness_NN,Gustatory,0.425414365,4.2
76,forget_VB,Interoceptive,0.5,3.888888889
77,stew_NN,Gustatory,0.190348525,4.75
78,get_VB,Visual,0.24427480899999998,2.470588235
79,campus_NN,Visual,0.578512397,4.117647058999999
80,college_NN,Visual,0.5130434779999999,3.529411765
81,opportunity_NN,Visual,0.345238095,1.875
82,large_JJ,Visual,0.43292682899999996,3.894736842
83,fruit_NN,Gustatory,0.25239616600000003,4.6315789469999995
84,more_JJ,Visual,0.240506329,3.0588235289999997
85,accord_VB,Visual,0.31707317100000004,0.933333333
86,freshly_RB,Olfactory,0.181008902,2.59375
87,ground_NN,Visual,0.352657005,4.210526316
88,mild_JJ,Gustatory,0.193717277,2.8
89,rib_NN,Haptic,0.240174672,3.529411765
90,remove_VB,Visual,0.34513274299999996,2.625
91,most_JJ,Visual,0.30172413800000003,3.071428571
92,sugar_NN,Gustatory,0.331877729,4.6388888889999995
93,desire_VB,Interoceptive,0.19262295100000001,4.055555556
94,combination_NN,Visual,0.486486486,3.947368421
95,best_JJ,Interoceptive,0.165680473,2.2
96,food_NN,Gustatory,0.166212534,4.578947368
97,like_VB,Interoceptive,0.170305677,3.142857143
98,hear_VB,Auditory,0.8736842109999999,4.6111111110000005
99,now_RB,Interoceptive,0.16477272699999998,2.526315789
100,victory_NN,Visual,0.36649214700000005,3.523809524
101,mixture_NN,Visual,0.391566265,3.823529412
102,prepare_VB,Visual,0.25988700600000003,3.0
103,include_VB,Visual,0.301587302,2.5
104,love_NN,Interoceptive,0.264,4.3888888889999995
105,freedom_NN,Interoceptive,0.23671497600000002,3.277777778
