,Unnamed: 0,OlfN,TotalN,Tokens,OAI,OSI
21,n't_RB,279,485391,"[""n't_RB""]",-10.764666521249652,7.406193573649242
22,others_NN,49,118588,['others_NNS'],-11.240888660303456,9.915605041363223
47,'ve_VB,86,106163,"[""'ve_VBP"", ""'ve_VB""]",-10.269656764432339,9.104050130776333
77,american_JJ,66,112789,['american_JJ'],-10.738872727608626,9.485920766119976
102,indian_JJ,30,18656,['indian_JJ'],-9.280461477591977,10.623424289869911
109,'s_VB,196,382576,"[""'s_VBZ""]",-10.930677002785012,7.915605041363221
198,europe_NN,18,42641,['europe_NNP'],-11.210028650118954,11.360389884036115
206,'ll_MD,48,72720,"[""'ll_MD""]",-10.565102078360312,9.945352384757273
213,american_NN,21,69273,"['american_NNPS', 'american_NNP']",-11.687688110629908,11.137997462699671
272,sens_NN,48,3703,['sens_NNS'],-6.269516333450474,9.945352384757273
360,'m_VB,14,75959,"[""'m_VBP""]",-12.405578370028527,11.722959963420825
436,french_JJ,31,22605,['french_JJ'],-9.510157986819467,10.576118575091556
437,european_JJ,13,30997,['european_JJ'],-11.21940125450272,11.829875167337338
438,german_JJ,8,16960,['german_JJ'],-11.049848549450562,12.530314885478429
454,healthier_RB,9,2572,['healthier_RBR'],-8.158749925885635,12.360389884036115
523,specie_NN,9,48997,['specie_NNS'],-12.410480796363135,12.360389884036115
531,ca_MD,33,49576,['ca_MD'],-10.552960133613157,10.485920766119976
564,arbiter_NN,16,525,"['arbiter_NNS', 'arbiter_NN']",-5.036173612553486,11.530314885478429
656,america_NN,24,78802,['america_NNP'],-11.680982124670678,10.945352384757273
675,sweeter_RB,9,101,['sweeter_RBR'],-3.4882864813094825,12.360389884036115
693,japanese_JJ,17,14430,['japanese_JJ'],-9.72932083812822,11.442852044228088
698,'re_VB,40,127149,"[""'re_VBP""]",-11.634232495130641,10.208386790591069
761,so-called_JJ,9,10396,['so-called_JJ'],-10.173815917029886,12.360389884036115
772,'d_MD,16,51923,"[""'d_MD""]",-11.664086121131618,11.530314885478429
783,york_NN,8,58652,['york_NNP'],-12.839892683726273,12.530314885478429
807,grape_NN,8,2395,"['grape_NNS', 'grape_NN']",-8.225809940623543,12.530314885478429
842,mexican_JJ,9,6325,['mexican_JJ'],-9.456924763026723,12.360389884036115
848,chinese_JJ,16,19675,['chinese_JJ'],-10.264076015282212,11.530314885478429
860,san_NN,11,26210,"['san_NNP', 'san_NN']",-11.218398114578482,12.070883266841133
874,california_NN,11,42401,['california_NNP'],-11.91237905112582,12.070883266841133
929,paris_NN,9,10748,"['paris_NNP', 'paris_NN']",-10.221855604570854,12.360389884036115
1094,irish_JJ,8,5570,['irish_JJ'],-9.443461612227392,12.530314885478429
1163,wo_MD,12,25043,['wo_MD'],-11.027157277595354,11.945352384757273
1167,italian_JJ,25,9208,['italian_JJ'],-8.524815928357505,10.886458695703707
1174,india_NN,16,30143,['india_NNP'],-10.879535388712721,11.530314885478429
1194,odour_NN,74,373,"['odour_NNS', 'odour_NN']",-2.3335784546262883,9.32086151984948
1223,indian_NN,9,11385,"['indian_NNP', 'indian_NNPS']",-10.304921669581672,12.360389884036115
1243,english_NN,8,34878,['english_NNP'],-12.090029693953042,12.530314885478429
1252,british_JJ,14,25369,['british_JJ'],-10.823424109590787,11.722959963420825
1317,re_NN,9,1765,['re_NN'],-7.61552746671623,12.360389884036115
