,Word,Dominant Perceptual,Exclusivity Perceptual,Strength Perceptual
0,have_VB,Visual,0.239263804,2.45
1,write_VB,Visual,0.351807229,3.6511627910000004
2,work_NN,Visual,0.256684492,3.5625
3,heart_NN,Interoceptive,0.350574713,3.611111111
4,firm_NN,Haptic,0.39893617,3.75
5,must_MD,Interoceptive,0.275862069,1.368421053
6,never_RB,Interoceptive,0.326086957,2.1875
7,lose_VB,Visual,0.382608696,2.444444444
8,human_JJ,Visual,0.25589225600000004,4.722222222
9,quality_NN,Visual,0.122977346,3.894736842
10,believe_VB,Interoceptive,0.313559322,2.277777778
11,only_RB,Visual,0.402777778,1.7777777780000001
12,edge_NN,Visual,0.419354839,4.25
13,possibility_NN,Visual,0.373626374,2.0
14,say_VB,Auditory,0.5251798560000001,3.9
15,issue_NN,Visual,0.43965517200000004,3.1875
16,be_VB,Interoceptive,0.111842105,2.029411765
17,raise_VB,Visual,0.523809524,2.75
18,power_NN,Visual,0.319767442,3.411764706
19,earth_NN,Visual,0.3,4.333333333
20,draw_VB,Visual,0.5555555560000001,4.0625
21,so_RB,Auditory,0.396825397,1.6470588240000001
22,long_RB,Visual,0.454545455,3.823529412
23,could_MD,Interoceptive,0.288888889,1.6470588240000001
24,grow_VB,Visual,0.50877193,3.105263158
25,hope_NN,Interoceptive,0.338345865,3.333333333
26,stay_VB,Visual,0.587719298,3.35
27,good_JJ,Visual,0.078838174,3.0
28,people_NN,Visual,0.21167883199999998,4.166666667
29,future_NN,Interoceptive,0.363636364,1.894736842
30,teach_VB,Auditory,0.368794326,3.3529411760000003
31,great_JJ,Visual,0.23076923100000002,2.5
32,pride_NN,Interoceptive,0.40259740299999996,3.421052632
33,pain_NN,Interoceptive,0.365853659,4.272727273
34,act_NN,Visual,0.3875,3.19047619
35,life_NN,Visual,0.06969697,3.35
36,important_JJ,Visual,0.261111111,2.842105263
37,leader_NN,Visual,0.41714285700000003,3.476190476
38,as_RB,Auditory,0.31147541,1.294117647
39,get_VB,Visual,0.24427480899999998,2.470588235
40,representative_NN,Visual,0.327272727,3.1
41,use_VB,Haptic,0.18390804600000002,2.777777778
42,pass_VB,Visual,0.48117154799999995,3.457142857
43,reality_NN,Visual,0.134482759,3.684210526
44,house_NN,Visual,0.542253521,4.875
45,out_RB,Visual,0.43708609299999995,3.45
46,close_JJ,Visual,0.30516431899999996,3.842105263
47,wish_VB,Auditory,0.433566434,2.583333333
48,woman_NN,Visual,0.19682539699999999,4.722222222
49,most_JJ,Visual,0.30172413800000003,3.071428571
50,closely_RB,Visual,0.282157676,3.761904762
51,many_JJ,Visual,0.37837837799999996,3.619047619
52,force_NN,Haptic,0.31891891899999997,3.315789474
53,strategy_NN,Auditory,0.34507042299999996,2.6
54,paper_NN,Visual,0.363636364,4.315789474
55,briefly_RB,Visual,0.341463415,1.8235294119999998
56,few_JJ,Visual,0.513513514,3.470588235
57,surface_NN,Haptic,0.444444444,3.823529412
58,press_VB,Haptic,0.352631579,3.789473684
59,shoulder_NN,Visual,0.46913580200000005,4.052631579
60,anyone_NN,Visual,0.298387097,4.578947368
61,cancer_NN,Interoceptive,0.43181818200000005,2.235294118
62,add_VB,Visual,0.46666666700000003,2.47826087
63,certain_JJ,Interoceptive,0.318965517,2.625
64,discussion_NN,Auditory,0.55862069,4.628571429
65,today_NN,Visual,0.36036036,2.5
66,area_NN,Visual,0.672566372,3.619047619
67,call_VB,Auditory,0.6081081079999999,4.55
68,literally_RB,Visual,0.333333333,1.6470588240000001
69,piece_NN,Visual,0.298342541,3.666666667
70,world_NN,Visual,0.086956522,4.2352941180000006
71,reach_VB,Haptic,0.40833333299999997,2.578947368
72,whole_JJ,Visual,0.327044025,3.3243243239999996
73,administration_NN,Visual,0.514018692,3.4375
74,deeply_RB,Interoceptive,0.265734266,2.444444444
75,last_JJ,Visual,0.512605042,3.315789474
76,item_NN,Visual,0.267241379,3.789473684
77,such_JJ,Auditory,0.473684211,1.8125
78,security_NN,Visual,0.434482759,3.5
79,economic_JJ,Visual,0.329113924,1.6666666669999999
80,will_MD,Visual,0.280898876,2.5714285709999998
81,service_NN,Visual,0.409722222,3.5
82,find_VB,Visual,0.41549295799999997,3.4444444439999997
83,data_NN,Visual,0.729411765,3.4444444439999997
84,collection_NN,Visual,0.50625,4.2
