,Unnamed: 0,OlfN,TotalN,Tokens,OAI,OSI
11,'ve_VB,150,106163,"[""'ve_VBP"", ""'ve_VB""]",-9.467102828638557,8.972405464784467
45,'re_VB,90,127149,"[""'re_VBP""]",-10.464307493688331,9.709371058950673
46,american_JJ,60,112789,['american_JJ'],-10.876376251358565,10.294333559671827
80,wo_MD,55,25043,['wo_MD'],-8.83076006479185,10.419864441755687
81,n't_RB,733,485391,"[""n't_RB""]",-9.371118444945028,6.6835547671465365
129,'m_VB,48,75959,"[""'m_VBP""]",-10.627970791364977,10.616261654559194
141,american_NN,28,73224,"['american_NNPS', 'american_NNP', 'american_NNS', 'american_NN']",-11.352674043242207,11.393869233222745
170,'s_VB,227,382576,"[""'s_VBZ""]",-10.718838359609308,8.374675667989433
214,'d_MD,56,51923,"[""'d_MD""]",-9.856731199074014,10.393869233222745
223,america_NN,36,82277,"['america_NNP', 'america_NNPS']",-11.158276569101396,11.031299153838036
226,ca_MD,79,49576,['ca_MD'],-9.293573504794509,9.897443407103244
315,others_NN,99,118588,['others_NNS'],-10.226241884339052,9.571867535200738
327,'ll_MD,92,72720,"[""'ll_MD""]",-9.626502623024457,9.677662199223334
623,sens_NN,60,3703,['sens_NNS'],-5.947588238563111,10.294333559671827
645,b_NN,12,36270,"['b_NNP', 'b_NN']",-11.561526624136484,12.616261654559192
683,typing_NN,12,919,"['typing_NN', 'typing_NNP']",-6.258958550567878,12.616261654559192
731,african_JJ,10,19787,['african_JJ'],-10.950337179856673,12.879296060392985
825,dr._NN,20,64844,['dr._NNP'],-11.662757373083402,11.879296060392985
919,york_NN,13,58652,['york_NNP'],-12.139452965585177,12.500784437139256
952,india_NN,13,30143,['india_NNP'],-11.179095670571627,12.500784437139256
957,mr._NN,34,74530,['mr._NNP'],-11.098070797958473,11.113761314030011
1069,indian_JJ,15,18656,['indian_JJ'],-10.280461477591977,12.294333559671829
1103,european_JJ,15,30997,['european_JJ'],-11.012950377035294,12.294333559671829
1122,e-mail_NN,49,37099,"['e-mail_NN', 'e-mail_NNS']",-9.564382835097447,10.586514311165141
1132,italian_JJ,10,9208,['italian_JJ'],-9.846744023244867,12.879296060392985
1148,thai_NN,11,2795,['thai_NNP'],-7.989200949093255,12.74179253664305
1165,\/_NN,15,15214,['\\/_NN'],-9.986221294102787,12.294333559671829
1173,alumnus_NN,55,19293,"['alumnus_NNS', 'alumnus_NN', 'alumnus_NNP']",-8.454430161335264,10.419864441755687
1177,crowning_JJ,10,323,['crowning_JJ'],-5.0134622598065635,12.879296060392985
1181,midas_NN,20,89,"['midas_NNP', 'midas_NNPS']",-2.1538053360790355,11.879296060392985
1196,d_NN,11,9064,['d_NNP'],-9.68650052718322,12.74179253664305
1255,david_NN,12,22109,['david_NNP'],-10.847383651713448,12.616261654559192
1270,u.s._NN,18,114937,['u.s._NNP'],-12.64055877162006,12.031299153838036
1284,british_JJ,11,25369,['british_JJ'],-11.171347413011098,12.74179253664305
1285,c_NN,12,35602,"['c_NNP', 'c_NN']",-11.534708168026555,12.616261654559192
1310,asian_JJ,10,10810,['asian_JJ'],-10.07815080773465,12.879296060392985
1323,jennifer_NN,10,2570,['jennifer_NNP'],-8.005624549193879,12.879296060392985
1324,pc_NN,14,23729,"['pc_NN', 'pc_NNP', 'pc_NNS']",-10.727008760491476,12.393869233222745
1336,iii_NN,11,8064,['iii_NNP'],-9.51784830486262,12.74179253664305
1341,ii_NN,16,24195,['ii_NNP'],-10.56242131876416,12.201224155280347
1396,%_NN,16,121242,['%_NN'],-12.887530030469804,12.201224155280347
1440,deft_JJ,18,229,['deft_JJ'],-3.669278786654632,12.031299153838036
1472,reiki_NN,10,200,"['reiki_NNP', 'reiki_NN']",-4.3219280948873635,12.879296060392985
1485,earlier_RB,12,19196,"['earlier_RB', 'earlier_RBR']",-10.643555596995036,12.616261654559192
1516,tt_NN,11,606,['tt_NNP'],-5.7837423648356525,12.74179253664305
1522,re_NN,12,1912,"['re_NNS', 're_NN']",-7.315904307259593,12.616261654559192
1546,cognize_VB,10,78,"['cognize_VBG', 'cognize_VBN']",-2.963474123974886,12.879296060392985
