,Word,Dominant Perceptual,Exclusivity Perceptual,Strength Perceptual
0,nauseous_JJ,Interoceptive,0.415789474,4.777777778
1,dizzy_JJ,Interoceptive,0.6190476189999999,4.0625
2,helplessness_NN,Interoceptive,0.379310345,2.368421053
3,uncomfortable_JJ,Interoceptive,0.450331126,4.3125
4,uneasy_JJ,Interoceptive,0.47826087,3.888888889
5,comfortable_JJ,Interoceptive,0.23655914,4.146341463
6,embarrassed_JJ,Interoceptive,0.39354838700000006,3.5555555560000003
7,powerless_JJ,Interoceptive,0.513513514,3.8
8,relieved_JJ,Interoceptive,0.46792452799999995,3.764705882
9,numb_JJ,Interoceptive,0.418604651,3.235294118
10,helpless_JJ,Visual,0.38129496399999996,2.9444444439999997
11,compel_VB,Interoceptive,0.299212598,2.095238095
12,keenly_RB,Visual,0.29245283,1.9444444440000002
13,pinch_NN,Haptic,0.36842105299999994,3.882352941
14,ashamed_JJ,Interoceptive,0.543859649,3.6470588239999997
15,confident_JJ,Visual,0.35099337700000005,3.0555555560000003
16,unpleasant_JJ,Interoceptive,0.136929461,3.588235294
17,remorse_NN,Interoceptive,0.33653846200000004,3.7
18,insecure_JJ,Interoceptive,0.544827586,3.95
19,sadness_NN,Interoceptive,0.50617284,4.1
20,lonely_JJ,Interoceptive,0.528,3.666666667
21,overwhelm_VB,Interoceptive,0.485294118,2.956521739
22,depressed_JJ,Interoceptive,0.52866242,4.3684210530000005
23,urge_NN,Interoceptive,0.357615894,3.75
24,intimidate_VB,Auditory,0.324561404,2.4666666669999997
25,frustrated_JJ,Interoceptive,0.316037736,3.3043478260000003
26,sorry_JJ,Interoceptive,0.380597015,3.2941176469999998
27,guilt_NN,Interoceptive,0.45390070899999996,3.19047619
28,betray_VB,Visual,0.392045455,3.45
29,pleasant_JJ,Visual,0.074324324,3.588235294
30,gut_NN,Interoceptive,0.353383459,2.789473684
31,tired_JJ,Interoceptive,0.5046439629999999,4.432432432
32,hopeless_JJ,Interoceptive,0.410852713,3.117647059
33,resentment_NN,Interoceptive,0.413793103,3.65
34,warmth_NN,Haptic,0.4375,3.736842105
35,alienate_VB,Interoceptive,0.44791666700000005,2.6875
36,sensation_NN,Interoceptive,0.21789883300000001,4.315789474
37,obligate_VB,Visual,0.362318841,1.5625
38,guilty_JJ,Interoceptive,0.41025641,3.0
39,pity_NN,Visual,0.346938776,2.55
40,awkward_JJ,Interoceptive,0.37777777799999995,3.1875
41,unsafe_JJ,Visual,0.3046875,2.333333333
42,strongly_RB,Visual,0.24770642199999998,2.266666667
43,oblige_VB,Auditory,0.282258065,2.105263158
44,shame_NN,Interoceptive,0.41312741299999994,3.222222222
45,anxious_JJ,Interoceptive,0.462025316,4.222222222
46,sad_JJ,Interoceptive,0.31707317100000004,3.3529411760000003
47,confused_JJ,Interoceptive,0.363057325,3.263157895
48,emotion_NN,Interoceptive,0.34736842100000004,4.117647058999999
49,anger_NN,Interoceptive,0.437125749,4.055555556
50,cheat_VB,Visual,0.454545455,2.647058824
51,frustration_NN,Interoceptive,0.426573427,3.588235294
52,discomfort_NN,Interoceptive,0.320930233,4.1111111110000005
53,sympathy_NN,Interoceptive,0.376712329,3.5625
54,angry_JJ,Interoceptive,0.41666666700000005,4.153846154
55,fortunate_JJ,Visual,0.382608696,2.444444444
