,Word,Dominant Perceptual,Exclusivity Perceptual,Strength Perceptual
0,gunshot_NN,Auditory,0.46195652200000004,4.2380952380000005
1,examiner_NN,Visual,0.5034965029999999,3.789473684
2,scream_NN,Auditory,0.521008403,4.2
3,rustling_NN,Auditory,0.46067415700000003,4.0
4,conductive_JJ,Visual,0.41176470600000004,2.4285714290000002
5,deaf_NN,Visual,0.35384615399999997,1.277777778
6,formal_NN,Visual,0.509933775,4.052631579
7,deaf_JJ,Visual,0.35384615399999997,1.277777778
8,impairment_NN,Interoceptive,0.316091954,2.666666667
9,permanency_NN,Visual,0.38202247200000006,2.4285714290000002
10,muffle_VB,Auditory,0.552083333,3.3125
11,rumble_VB,Auditory,0.47333333299999997,3.55
12,roar_NN,Auditory,0.674603175,4.722222222
13,pretrial_JJ,Auditory,0.425925926,2.421052632
14,hard_NN,Haptic,0.434782609,4.55
15,deafness_NN,Auditory,0.403508772,2.0
16,adjourn_VB,Auditory,0.31372549,1.727272727
17,gunfire_NN,Auditory,0.538961039,4.3684210530000005
18,impair_VB,Visual,0.382352941,2.4375
19,footstep_NN,Auditory,0.37037037,2.857142857
20,murmur_NN,Auditory,0.795454545,4.375
21,siren_NN,Auditory,0.585987261,4.6
22,rumor_NN,Auditory,0.625,4.315789474
23,whisper_NN,Auditory,0.708737864,4.5625
24,preliminary_JJ,Visual,0.397727273,1.772727273
25,cry_NN,Visual,0.309178744,4.0625
26,loud_JJ,Auditory,0.700598802,4.68
27,bark_VB,Auditory,0.5251798560000001,4.055555556
28,teleconference_NN,Auditory,0.573426573,4.823529412
29,groan_VB,Auditory,0.40786240799999995,4.069767442
30,sentencing_NN,Auditory,0.511627907,2.368421053
31,tasting_NN,Gustatory,0.503267974,4.823529412
32,say_NN,Auditory,0.5251798560000001,3.9
33,thunder_NN,Auditory,0.797468354,3.7058823530000002
34,testimony_NN,Auditory,0.6,3.7058823530000002
35,voice_NN,Auditory,0.47297297299999996,4.75
36,suppression_NN,Visual,0.384615385,3.0
37,congressional_JJ,Auditory,0.45333333299999995,2.266666667
