,Word,Dominant Perceptual,Exclusivity Perceptual,Strength Perceptual
0,attentively_RB,Visual,0.446153846,3.222222222
1,intently_RB,Interoceptive,0.212765957,2.5
2,stethoscope_NN,Visual,0.468926554,4.3684210530000005
3,headphone_NN,Visual,0.35869565200000003,3.4
4,prozac_NN,Visual,0.38888888899999996,3.583333333
5,podcast_NN,Auditory,0.609756098,4.444444444
6,talker_NN,Auditory,0.514285714,4.352941176
7,audiotape_NN,Auditory,0.53968254,4.058823529
8,empathetic_JJ,Interoceptive,0.385714286,3.470588235
9,sermon_NN,Auditory,0.446078431,4.181818182
10,assistive_JJ,Visual,0.428571429,2.842105263
11,preaching_NN,Auditory,0.553956835,4.052631579
12,respectfully_RB,Auditory,0.377622378,2.7
13,comprehension_NN,Auditory,0.340740741,3.0625
14,patiently_RB,Interoceptive,0.43442623,2.65
15,nonverbal_JJ,Visual,0.5784313729999999,3.6875
16,speaking_NN,Auditory,0.49068323,4.1578947369999995
17,politely_RB,Auditory,0.46896551700000005,3.777777778
18,attentive_JJ,Visual,0.402298851,4.5
19,soothing_JJ,Interoceptive,0.162464986,3.538461538
20,passively_RB,Visual,0.316666667,2.733333333
21,pronunciation_NN,Auditory,0.793814433,4.052631579
22,ipod_NN,Visual,0.34010152299999996,3.35
23,carefully_RB,Visual,0.405405405,2.647058824
24,chatter_NN,Auditory,0.674603175,4.722222222
25,music_NN,Auditory,0.612676056,4.833333333
26,radio_NN,Auditory,0.548387097,4.722222222
27,whisper_NN,Auditory,0.708737864,4.5625
28,discerning_JJ,Visual,0.182481752,2.0
29,empathy_NN,Interoceptive,0.45,3.7058823530000002
30,socket_NN,Visual,0.421875,2.85
31,port_JJ,Visual,0.467213115,3.588235294
32,eagerly_RB,Interoceptive,0.43119266100000003,2.736842105
33,cassette_NN,Auditory,0.35680751200000005,4.263157895
34,tape_NN,Visual,0.485915493,3.789473684
35,dispatcher_NN,Auditory,0.47761194,3.35
36,viewing_NN,Visual,0.581560284,4.35
37,heartbeat_NN,Interoceptive,0.37158469899999996,4.25
38,silently_RB,Auditory,0.697674419,4.0
39,quietly_RB,Auditory,0.62745098,4.8
40,singing_NN,Auditory,0.521212121,4.777777778
41,pink_NN,Visual,0.943181818,4.882352941000001
42,recording_NN,Auditory,0.58778626,3.9
43,passive_NN,Visual,0.48351648399999997,2.588235294
44,pause_VB,Visual,0.426229508,2.888888889
45,heed_VB,Auditory,0.36190476200000005,2.375
46,audio_JJ,Auditory,0.7416666670000001,4.944444444
47,ear_NN,Visual,0.330097087,3.833333333
48,watch_VB,Visual,0.467391304,4.833333333
49,rap_NN,Auditory,0.72826087,3.9411764710000003
50,song_NN,Auditory,0.709677419,4.8888888889999995
51,sniff_VB,Olfactory,0.308357349,3.257142857
52,soundtrack_NN,Auditory,0.6124031010000001,4.9375
53,album_NN,Auditory,0.4,4.055555556
54,jazz_NN,Auditory,0.6,4.0
55,viewer_NN,Visual,0.661157025,4.210526316
56,voice_VB,Auditory,0.47297297299999996,4.75
57,rock_VB,Visual,0.31063829800000003,4.1
58,conversation_NN,Auditory,0.701030928,4.533333333
59,meditate_VB,Interoceptive,0.35,3.333333333
60,discourse_NN,Auditory,0.281081081,3.764705882
61,willingness_NN,Visual,0.203488372,2.7058823530000002
62,tune_NN,Auditory,0.591836735,4.19047619
63,reading_NN,Visual,0.501792115,4.205882353
64,headset_NN,Auditory,0.438848921,4.066666667
65,respectful_JJ,Visual,0.42,3.315789474
66,port_NN,Visual,0.467213115,3.588235294
67,lecture_VB,Auditory,0.566878981,4.45
68,lyric_NN,Auditory,0.629310345,4.5625
69,willing_JJ,Visual,0.26829268300000003,2.235294118
70,willingly_RB,Interoceptive,0.333333333,1.789473684
71,receptive_JJ,Auditory,0.251497006,2.888888889
72,stereo_NN,Auditory,0.446428571,4.166666667
73,intuition_NN,Interoceptive,0.5252918289999999,3.837837838
74,speak_VB,Auditory,0.5899280579999999,4.555555556
75,vocabulary_NN,Auditory,0.633027523,3.631578947
76,sound_NN,Auditory,0.7522123890000001,5.0
77,written_JJ,Visual,0.642276423,4.647058824
78,broadcast_NN,Auditory,0.467065868,3.95
79,storytelling_NN,Auditory,0.572580645,3.894736842
80,reflective_JJ,Visual,0.5862068970000001,2.833333333
81,sit_VB,Visual,0.377622378,3.1944444439999997
82,distract_VB,Auditory,0.306666667,2.722222222
83,silence_NN,Auditory,0.712765957,4.0
84,unwilling_JJ,Interoceptive,0.282608696,1.380952381
85,classical_JJ,Auditory,0.415384615,3.3529411760000003
86,grammar_NN,Auditory,0.5555555560000001,3.823529412
87,porch_NN,Visual,0.49624060200000003,4.4
88,tale_NN,Auditory,0.515625,3.833333333
89,read_VB,Visual,0.6269841270000001,4.5
90,voice_NN,Auditory,0.47297297299999996,4.75
91,directive_NN,Auditory,0.426229508,3.235294118
92,talk_NN,Auditory,0.586956522,4.5
93,awake_RB,Interoceptive,0.279279279,3.789473684
94,sympathetic_JJ,Interoceptive,0.39333333299999995,3.105263158
95,sing_VB,Auditory,0.527027027,4.875
96,dance_VB,Visual,0.431472081,4.473684211
97,instinct_NN,Interoceptive,0.430656934,3.823529412
98,audio_NN,Auditory,0.7416666670000001,4.944444444
99,tonight_RB,Visual,0.336206897,2.588235294
100,skill_NN,Visual,0.34920634899999997,3.0
101,musician_NN,Auditory,0.423809524,4.55
102,closely_RB,Visual,0.282157676,3.761904762
103,silent_JJ,Auditory,0.5862068970000001,4.0
104,nobody_NN,Visual,0.328638498,3.1538461539999996
105,speaker_NN,Auditory,0.44387755100000004,4.736842105
106,caller_NN,Auditory,0.75,4.5882352939999995
107,dial_NN,Haptic,0.395973154,3.6875
108,hey_NN,Auditory,0.564814815,3.5555555560000003
109,passive_JJ,Visual,0.48351648399999997,2.588235294
110,vocal_NN,Auditory,0.688888889,4.65
111,patience_NN,Interoceptive,0.305194805,2.736842105
112,echo_VB,Auditory,0.789659453,4.643521698
113,casual_JJ,Visual,0.467153285,3.421052632
114,repertoire_NN,Auditory,0.521276596,3.0625
115,watch_NN,Visual,0.467391304,4.833333333
116,talk_VB,Auditory,0.586956522,4.5
117,delight_NN,Interoceptive,0.34010152299999996,3.380952381
118,melody_NN,Auditory,0.773913043,4.45
119,cue_NN,Visual,0.36129032299999997,3.588235294
120,tune_VB,Auditory,0.591836735,4.19047619
121,proficiency_NN,Visual,0.44354838700000004,3.0
122,couch_NN,Visual,0.44,4.1052631580000005
123,preach_VB,Auditory,0.426229508,4.6111111110000005
124,favorite_JJ,Visual,0.09045226099999999,2.388888889
125,singer_NN,Auditory,0.450704225,4.555555556
126,configure_VB,Visual,0.478632479,3.2941176469999998
127,guitar_NN,Auditory,0.38378378399999996,4.4375
128,arabic_NN,Auditory,0.318181818,3.411764706
129,anybody_NN,Visual,0.510948905,3.5
130,lecture_NN,Auditory,0.566878981,4.45
131,anyone_NN,Visual,0.298387097,4.578947368
132,loyal_JJ,Visual,0.384615385,2.647058824
133,view_VB,Visual,0.9,4.95
134,quiet_JJ,Auditory,0.620689655,4.285714286
135,constituent_NN,Visual,0.367346939,3.111111111
136,openness_NN,Visual,0.340740741,2.823529412
137,disc_NN,Visual,0.512605042,3.6470588239999997
138,speech_NN,Auditory,0.576388889,4.15
139,breathing_NN,Interoceptive,0.283950617,4.315789474
140,actively_RB,Visual,0.330985915,3.0
141,pleasure_NN,Interoceptive,0.149847095,4.4
142,advice_NN,Auditory,0.701923077,4.294117647
143,stream_VB,Visual,0.21285140600000002,4.1111111110000005
144,subjective_JJ,Auditory,0.266055046,1.9444444440000002
145,audience_NN,Visual,0.41208791200000006,4.166666667
146,symphony_NN,Auditory,0.5069444439999999,4.294117647
147,respect_VB,Visual,0.312883436,2.947368421
148,opera_NN,Auditory,0.432098765,4.352941176
149,verbal_JJ,Auditory,0.7551020409999999,4.352941176
150,story_NN,Auditory,0.5660377360000001,4.3571428569999995
151,microphone_NN,Visual,0.386597938,3.8
152,pray_VB,Auditory,0.410596026,3.4444444439999997
153,classmate_NN,Visual,0.454545455,4.0
154,loud_JJ,Auditory,0.700598802,4.68
155,eager_JJ,Interoceptive,0.467213115,3.166666667
156,pop_NN,Auditory,0.275132275,3.666666667
157,briefing_NN,Auditory,0.480620155,3.722222222
158,repeat_VB,Visual,0.34328358200000003,3.25
159,reader_NN,Visual,0.479591837,2.764705882
160,oral_JJ,Visual,0.196891192,2.388888889
161,piano_NN,Auditory,0.400921659,4.578947368
162,feedback_NN,Auditory,0.538461538,4.052631579
163,enjoyment_NN,Interoceptive,0.250847458,4.409090909
164,dancing_NN,Visual,0.5069444439999999,4.055555556
165,viewpoint_NN,Visual,0.503311258,4.0
166,laugh_NN,Auditory,0.26872246699999996,4.294117647
167,tone_NN,Auditory,0.7758620690000001,4.5
168,pleasant_JJ,Visual,0.074324324,3.588235294
169,hear_VB,Auditory,0.8736842109999999,4.6111111110000005
170,acoustic_JJ,Auditory,0.6237623760000001,3.823529412
171,laugh_VB,Auditory,0.26872246699999996,4.294117647
172,device_NN,Visual,0.342342342,4.315789474
173,performer_NN,Visual,0.46285714299999997,4.5
174,incoming_JJ,Visual,0.46896551700000005,4.2352941180000006
175,solo_NN,Visual,0.606936416,3.0
176,relax_VB,Interoceptive,0.36111111100000004,3.684210526
177,respond_VB,Auditory,0.426470588,3.588235294
178,lean_VB,Visual,0.408759124,3.333333333
179,mood_NN,Interoceptive,0.49685534600000003,4.5
180,cry_VB,Visual,0.309178744,4.0625
181,suggestion_NN,Auditory,0.528301887,3.333333333
182,induce_VB,Visual,0.191489362,2.5714285709999998
183,peer_NN,Visual,0.36746988,3.882352941
184,faith_NN,Interoceptive,0.450819672,3.4375
185,beat_NN,Auditory,0.43529411799999995,3.8
186,chat_VB,Auditory,0.55017301,4.297297297
187,musical_JJ,Auditory,0.532894737,4.263157895
188,remind_VB,Auditory,0.277027027,2.736842105
189,breath_NN,Interoceptive,0.166951869,3.22372691
190,station_NN,Visual,0.546099291,4.052631579
191,enjoy_VB,Interoceptive,0.176470588,3.611111111
192,command_VB,Auditory,0.477272727,3.578947368
193,worth_JJ,Visual,0.281553398,1.8235294119999998
194,live_JJ,Visual,0.18041237100000002,3.571428571
195,everybody_NN,Visual,0.38333333299999994,3.833333333
196,noise_NN,Auditory,0.616883117,5.0
197,someone_NN,Visual,0.302222222,3.842105263
198,tonight_NN,Visual,0.336206897,2.588235294
199,active_JJ,Visual,0.40625,3.722222222
200,vocal_JJ,Auditory,0.688888889,4.65
201,pretend_VB,Auditory,0.35897435899999997,2.85
202,wise_JJ,Auditory,0.39382239399999996,2.972222222
203,pitch_NN,Auditory,0.46428571399999996,2.4375
204,confuse_VB,Interoceptive,0.30952381,2.157894737
205,sound_VB,Auditory,0.7522123890000001,5.0
206,stop_VB,Visual,0.459677419,3.5625
207,refuse_VB,Auditory,0.397111913,3.054054054
208,folk_NN,Visual,0.401639344,2.888888889
209,commentary_NN,Auditory,0.689320388,4.176470588
210,presentation_NN,Visual,0.450980392,4.176470588
211,anymore_RB,Visual,0.20869565199999998,2.0
212,tap_VB,Haptic,0.30964467,3.210526316
213,clip_NN,Visual,0.463768116,4.0
214,connection_NN,Visual,0.25925925899999996,2.6842105259999998
215,reply_VB,Auditory,0.566176471,4.529411765
216,critic_NN,Auditory,0.33529411800000003,3.611111111
217,message_NN,Visual,0.465408805,4.1111111110000005
218,smile_NN,Visual,0.502824859,4.7
219,habit_NN,Interoceptive,0.298245614,2.235294118
220,lend_VB,Visual,0.333333333,1.789473684
221,careful_JJ,Visual,0.26506024100000003,2.722222222
222,dialogue_NN,Auditory,0.674107143,4.575757576
223,prayer_NN,Auditory,0.394871795,3.5
224,write_VB,Visual,0.351807229,3.6511627910000004
225,crowd_NN,Visual,0.34893617,4.722222222
226,enthusiastic_JJ,Interoceptive,0.427745665,3.619047619
227,call_NN,Auditory,0.6081081079999999,4.55
228,band_NN,Auditory,0.446236559,4.3684210530000005
229,smile_VB,Visual,0.502824859,4.7
230,download_VB,Visual,0.7638888890000001,3.4375
231,composer_NN,Visual,0.44067796600000003,2.888888889
232,while_NN,Visual,0.18,0.7777777779999999
233,emotion_NN,Interoceptive,0.34736842100000004,4.117647058999999
234,track_NN,Visual,0.480916031,3.526315789
235,remark_NN,Auditory,0.7215189870000001,3.3529411760000003
236,learn_VB,Auditory,0.268867925,3.9411764710000003
237,session_NN,Visual,0.318584071,2.210526316
238,compel_VB,Interoceptive,0.299212598,2.095238095
239,really_RB,Auditory,0.23636363600000002,1.842105263
240,inner_JJ,Visual,0.44705882399999997,2.111111111
241,critically_RB,Auditory,0.25170068,2.5
242,frustration_NN,Interoceptive,0.426573427,3.588235294
243,post_NN,Visual,0.583333333,3.684210526
244,kid_NN,Visual,0.40625,3.526315789
245,communicate_VB,Auditory,0.5123456789999999,4.473684211
246,roll_NN,Visual,0.323863636,3.823529412
247,oracle_NN,Visual,0.443396226,2.473684211
248,avid_JJ,Auditory,0.27710843399999996,1.588235294
249,attendee_NN,Visual,0.375,3.3125
250,legislator_NN,Visual,0.46370967700000004,3.2162162160000003
251,criticism_NN,Auditory,0.5111111110000001,4.476190476
252,heart_NN,Interoceptive,0.350574713,3.611111111
253,care_VB,Visual,0.312101911,2.736842105
254,monk_NN,Visual,0.596774194,3.7
255,attention_NN,Visual,0.396694215,2.823529412
256,persuade_VB,Auditory,0.545454545,3.333333333
257,interact_VB,Visual,0.279187817,3.095238095
258,breathe_VB,Interoceptive,0.296803653,3.8
259,receiver_NN,Visual,0.36065573799999995,2.666666667
260,wisdom_NN,Auditory,0.443037975,3.5
261,rhythm_NN,Auditory,0.41666666700000005,4.0
262,urge_VB,Interoceptive,0.357615894,3.75
263,word_NN,Visual,0.5066666670000001,4.470588235
264,record_VB,Auditory,0.426229508,3.176470588
265,thinking_NN,Interoceptive,0.478873239,3.842105263
266,mind_VB,Interoceptive,0.314285714,3.55
267,repeatedly_RB,Visual,0.37575757600000004,3.666666667
268,judge_VB,Visual,0.37461300299999994,3.307692308
269,somebody_NN,Visual,0.35256410299999996,3.3529411760000003
