,Unnamed: 0,OlfN,TotalN,Tokens,OAI,OSI
1,taru_NN,14,45,['taru_NNP'],-1.684498174,12.78609456
4,mp3s_NN,17,196,['mp3s_NNS'],-3.5272470030000003,12.50598664
5,note-taking_NN,15,187,['note-taking_NN'],-3.6400038639999996,12.68655889
7,rapt_JJ,14,202,['rapt_JJ'],-3.850856561,12.78609456
9,podcasts_NN,24,386,"['podcasts_NNS', 'podcasts_NNP']",-4.0074945369999995,12.00848698
17,wnyc_NN,22,522,['wnyc_NNP'],-4.568474378,12.13401786
25,cim_NN,14,470,['cim_NNP'],-5.069162025,12.78609456
26,npr_NN,24,831,['npr_NNP'],-5.113742166000001,12.00848698
28,xm_NN,12,425,['xm_NNP'],-5.14635653,13.00848698
29,mp3_JJ,20,728,['mp3_JJ'],-5.185866545,12.27152139
30,dhamma_NN,102,3731,"['dhamma_NNP', 'dhamma_NN']",-5.192921303,9.921024141
41,mozart_NN,25,1417,"['mozart_NNP', 'mozart_NN']",-5.824767852999999,11.94959329
44,daemon_NN,17,1093,"['daemon_NN', 'daemon_NNS']",-6.006614844,12.50598664
46,udp_NN,14,910,"['udp_NNP', 'udp_NN']",-6.022367813,12.78609456
49,dharma_NN,16,1112,"['dharma_NNP', 'dharma_NN']",-6.118941072999999,12.59344948
50,beethoven_NN,14,975,['beethoven_NNP'],-6.121903487000001,12.78609456
54,tcp\/ip_NN,14,1032,['tcp\\/ip_NNP'],-6.203872333,12.78609456
63,mp3_NN,14,1225,"['mp3_NNP', 'mp3_NN']",-6.451211112,12.78609456
75,cd_NN,157,14776,"['cd_NN', 'cd_NNP', 'cd_NNS', 'cd_NNPS']",-6.556347402,9.298828733999999
77,floyd_NN,13,1265,"['floyd_NNP', 'floyd_NN']",-6.604481951,12.89300976
80,fm_NN,18,1819,"['fm_NNP', 'fm_NN']",-6.659004826,12.42352448
95,bbc_NN,18,2060,['bbc_NNP'],-6.838503621,12.42352448
121,tcp_NN,21,3130,"['tcp_NNP', 'tcp_NN']",-7.219629519,12.20113206
124,http_NN,19,2913,"['http_NNP', 'http_NN', 'http_NNS']",-7.260362473,12.34552197
135,e-mail_VB,16,2692,"['e-mail_VB', 'e-mail_VBN']",-7.394462695,12.59344948
161,rick_NN,22,4642,['rick_NNP'],-7.721099188999999,12.13401786
209,buddha_NN,51,14649,['buddha_NNP'],-8.166089221,10.92102414
213,playing_NN,15,4341,['playing_NN'],-8.176921112,12.68655889
253,wo_MD,68,25043,['wo_MD'],-8.524656937,10.50598664
271,arab_NN,12,4721,"['arab_NNP', 'arab_NNPS']",-8.619914267,13.00848698
