,Word,Dominant Perceptual,Exclusivity Perceptual,Strength Perceptual
0,sidebar_NN,Visual,0.632478632,4.166666667
1,firsthand_RB,Visual,0.35975609799999997,3.473684211
2,fit_JJ,Visual,0.481481481,4.333333333
3,appendix_NN,Visual,0.428571429,1.894736842
4,fit_NN,Visual,0.481481481,4.333333333
5,fig_NN,Gustatory,0.34444444399999996,3.9375
6,glad_JJ,Interoceptive,0.35403726700000004,3.4444444439999997
7,holy_NN,Visual,0.36842105299999994,2.15
8,figure_NN,Visual,0.511278195,4.058823529
9,naked_JJ,Visual,0.394444444,4.8125
10,surprise_VB,Visual,0.21810699600000003,3.777777778
11,like_VB,Interoceptive,0.170305677,3.142857143
12,rarely_RB,Auditory,0.342857143,1.9
13,ever_RB,Visual,0.26,1.0
14,never_RB,Interoceptive,0.326086957,2.1875
15,seldom_RB,Visual,0.3,1.941176471
16,eye_NN,Visual,0.614814815,4.6111111110000005
17,delighted_JJ,Interoceptive,0.339805825,3.761904762
18,smell_VB,Olfactory,0.664285714,4.8947368419999995
19,section_NN,Visual,0.614583333,3.0
20,sight_NN,Visual,0.785123967,5.0
21,movie_NN,Visual,0.503067485,4.823529412
22,glance_NN,Visual,0.882352941,4.4117647060000005
23,chart_NN,Visual,0.655737705,4.7647058819999994
24,clearly_RB,Visual,0.299492386,3.6
25,pleased_JJ,Interoceptive,0.118644068,4.2352941180000006
26,icon_NN,Visual,0.571428571,4.133333333
27,mirror_NN,Visual,0.731092437,4.833333333
28,differently_RB,Visual,0.10273972599999999,1.8333333330000001
29,please_VB,Auditory,0.30612244899999996,2.842105263
30,sad_JJ,Interoceptive,0.31707317100000004,3.3529411760000003
31,photo_NN,Visual,0.583850932,4.85
32,before_RB,Visual,0.305555556,1.588235294
33,curious_JJ,Interoceptive,0.163179916,3.210526316
34,hate_VB,Interoceptive,0.31683168300000003,3.578947368
35,doctor_NN,Visual,0.46896551700000005,4.0
36,face_NN,Visual,0.5,4.95
37,eager_JJ,Interoceptive,0.467213115,3.166666667
38,excite_VB,Interoceptive,0.225806452,3.5
39,emergence_NN,Visual,0.304878049,3.866666667
40,picture_NN,Visual,0.617021277,4.6315789469999995
41,wait_VB,Interoceptive,0.329787234,1.736842105
42,table_NN,Visual,0.51744186,4.736842105
43,everywhere_RB,Visual,0.484615385,3.9375
44,hear_VB,Auditory,0.8736842109999999,4.6111111110000005
45,interesting_JJ,Visual,0.092857143,3.277777778
46,anything_NN,Auditory,0.072916667,3.210526316
47,amazing_JJ,Visual,0.086956522,3.5555555560000003
48,anybody_NN,Visual,0.510948905,3.5
49,viewer_NN,Visual,0.661157025,4.210526316
50,could_MD,Interoceptive,0.288888889,1.6470588240000001
51,ad_NN,Visual,0.487179487,4.222222222
52,check_VB,Visual,0.594594595,3.4
53,diagram_NN,Visual,0.760416667,3.842105263
54,exhibit_NN,Visual,0.488721805,4.0625
55,smile_VB,Visual,0.502824859,4.7
56,happen_VB,Visual,0.536842105,2.833333333
57,sign_NN,Visual,0.5546875,4.294117647
58,around_RB,Visual,0.39837398399999996,2.842105263
59,light_NN,Visual,0.7711864409999999,4.6
60,detail_NN,Visual,0.26008968600000004,4.052631579
61,can_MD,Visual,0.359223301,3.666666667
62,page_NN,Visual,0.5,4.1578947369999995
63,happy_JJ,Interoceptive,0.278350515,4.5
64,want_VB,Interoceptive,0.30069930100000003,3.375
65,dramatic_JJ,Visual,0.34715025899999996,4.0
66,again_RB,Visual,0.109090909,1.95
67,nobody_NN,Visual,0.328638498,3.1538461539999996
68,chance_NN,Interoceptive,0.32487309600000003,1.9722222219999999
69,nice_JJ,Visual,0.19496855300000002,2.529411765
70,shadow_NN,Visual,0.787878788,4.647058824
71,smoke_NN,Olfactory,0.372384937,4.380952381
72,sky_NN,Visual,0.8018018020000001,4.736842105
73,advertisement_NN,Visual,0.486842105,4.625
74,observer_NN,Visual,0.52244898,3.5135135139999996
75,tv_NN,Visual,0.47596153799999996,4.95
76,thing_NN,Visual,0.132890365,3.6
77,cloud_NN,Visual,0.899082569,4.9
78,chapter_NN,Visual,0.510204082,2.888888889
79,attachment_NN,Visual,0.190082645,2.8181818180000002
80,anyone_NN,Visual,0.298387097,4.578947368
81,somebody_NN,Visual,0.35256410299999996,3.3529411760000003
82,screen_NN,Visual,0.550898204,4.8421052630000005
83,rise_NN,Visual,0.43243243200000003,2.9411764710000003
84,decline_NN,Visual,0.37162162200000004,3.388888889
85,tremendous_JJ,Visual,0.268571429,3.105263158
86,actually_RB,Visual,0.289855072,1.1
87,strange_JJ,Interoceptive,0.17412935300000001,2.789473684
88,beautiful_JJ,Visual,0.37391304299999994,4.571428571
89,graph_NN,Visual,0.685483871,4.25
90,creature_NN,Visual,0.258333333,4.933333333
91,someone_NN,Visual,0.302222222,3.842105263
92,increase_NN,Visual,0.402985075,2.9
93,let_VB,Visual,0.341463415,1.764705882
94,something_NN,Visual,0.051383399,2.882352941
95,touch_VB,Haptic,0.52,4.875
96,alive_JJ,Interoceptive,0.102339181,3.619047619
97,here_RB,Visual,0.408759124,3.333333333
98,click_VB,Auditory,0.693069307,4.117647058999999
99,beauty_NN,Visual,0.453551913,4.8888888889999995
100,suddenly_RB,Visual,0.319587629,1.882352941
101,nothing_NN,Interoceptive,0.223880597,1.111111111
102,commonly_RB,Visual,0.330578512,2.5
103,drop_NN,Visual,0.457142857,3.764705882
104,wonderful_JJ,Interoceptive,0.111486486,3.789473684
105,hardly_RB,Visual,0.207070707,1.657142857
106,everything_NN,Visual,0.037333332999999996,4.057142857
107,joy_NN,Interoceptive,0.362745098,4.210526316
108,television_NN,Visual,0.44134078200000004,4.647058824
109,really_RB,Auditory,0.23636363600000002,1.842105263
110,flash_NN,Visual,0.798076923,4.3684210530000005
111,visitor_NN,Visual,0.39080459799999995,4.2352941180000006
112,photograph_NN,Visual,0.552795031,4.6
113,bright_JJ,Visual,0.784313725,4.705882353
114,else_RB,Visual,0.419047619,2.75
115,listing_NN,Visual,0.594594595,2.588235294
116,hope_VB,Interoceptive,0.338345865,3.333333333
117,suffering_NN,Interoceptive,0.327380952,3.0
118,personally_RB,Visual,0.21969697,2.4666666669999997
119,man_NN,Visual,0.165467626,4.058823529
120,star_NN,Visual,0.684210526,4.444444444
121,image_NN,Visual,0.776978417,4.909090909
122,film_NN,Visual,0.509090909,4.421052632
123,one_NN,Visual,0.357723577,3.0
124,reflection_NN,Visual,0.7094017090000001,4.421052632
125,love_VB,Interoceptive,0.264,4.3888888889999995
126,map_NN,Visual,0.6466666670000001,4.409090909
127,able_JJ,Interoceptive,0.264705882,3.066666667
128,close_RB,Visual,0.30516431899999996,3.842105263
