,Unnamed: 0,OlfN,TotalN,Tokens,OAI,OSI
0,mpep_NN,244,356,['mpep_NNP'],-0.544996093,12.05328469
5,oracle9i_NN,162,1568,"['oracle9i_NNP', 'oracle9i_NNS']",-3.274859841,12.64417202
10,'ve_VB,7449,106163,"[""'ve_VBP"", ""'ve_VB""]",-3.833090472,7.121190979
11,kan._NN,836,12167,['kan._NNP'],-3.8633267360000003,10.27666289
13,supp_NN,179,3036,['supp_NNP'],-4.084140298,12.50020625
14,'ll_MD,4199,72720,"[""'ll_MD""]",-4.114234506,7.948191952999999
20,'d_MD,2505,51923,"[""'d_MD""]",-4.373491233,8.693427137999999
22,'d_VB,158,3295,"[""'d_VBD""]",-4.382282002,12.68024128
23,k.s.a._NN,682,14382,['k.s.a._NNP'],-4.398348765,10.5703941
25,re_NN,153,3423,"['re_NN', 're_NNP']",-4.4836577339999995,12.72663418
43,ca_MD,1736,49576,['ca_MD'],-4.835803021,9.222470793
75,buddha_NN,411,16237,"['buddha_NNP', 'buddha_NN', 'buddha_NNPS', 'buddha_NNS']",-5.304002896,11.30102744
79,n't_RB,11897,485391,"[""n't_RB""]",-5.35047763,6.445711823
80,v_NN,225,9196,"['v_NNP', 'v_NN', 'v_NNS']",-5.35300956,12.17024083
86,sec_NN,163,7078,"['sec_NN', 'sec_NNP', 'sec_NNS']",-5.440397892000001,12.63529387
110,'re_VB,2606,127149,"[""'re_VBP""]",-5.608539221,8.636400657000001
142,wo_MD,453,25043,['wo_MD'],-5.788752538,11.16065479
243,b_NN,489,36352,"['b_NNP', 'b_NN', 'b_NNS']",-6.216056465,11.05033137
244,'m_VB,1014,75959,"[""'m_VBP""]",-6.227091355,9.998180089
276,others_NN,1461,118588,['others_NNS'],-6.3428580420000005,9.471281563
292,'s_VB,4598,382576,"[""'s_VBZ""]",-6.378596096,7.817231275
