,Word,Dominant Perceptual,Exclusivity Perceptual,Strength Perceptual
0,acrid_JJ,Olfactory,0.452380952,3.416666667
1,musty_JJ,Olfactory,0.554054054,4.25
2,fishy_JJ,Olfactory,0.36,3.823529412
3,pungent_JJ,Olfactory,0.497076023,4.684210526
4,putrid_JJ,Olfactory,0.325,4.421052632
5,waft_VB,Olfactory,0.25974026,1.9166666669999999
6,cologne_NN,Olfactory,0.598214286,4.6
7,tasting_NN,Gustatory,0.503267974,4.823529412
8,fruity_NN,Gustatory,0.432258065,4.25
9,cognizable_JJ,Visual,0.46428571399999996,2.8
10,rotten_JJ,Visual,0.30737704899999996,4.333333333
11,gunpowder_NN,Visual,0.269230769,3.7058823530000002
12,foul_JJ,Visual,0.17826087,2.95
13,rot_VB,Visual,0.36082474200000003,4.0
14,tactile_JJ,Haptic,0.363636364,3.3529411760000003
15,taste_VB,Gustatory,0.428571429,4.647058824
16,taste_NN,Gustatory,0.428571429,4.647058824
17,burnt_JJ,Olfactory,0.241106719,4.166666667
18,stench_NN,Olfactory,0.857142857,4.941176471
19,odor_NN,Olfactory,0.51744186,4.65
20,aroma_NN,Olfactory,0.815789474,4.8947368419999995
21,incense_NN,Olfactory,0.48235294100000004,5.0
22,jasmine_NN,Olfactory,0.31891891899999997,3.388888889
23,nostril_NN,Visual,0.40268456399999997,3.529411765
24,scent_NN,Olfactory,0.671641791,4.6
25,teen_NN,Visual,0.41176470600000004,3.5
26,perfume_NN,Olfactory,0.559210526,5.0
27,stale_JJ,Gustatory,0.306603774,3.789473684
28,ether_NN,Olfactory,0.27972028,2.6842105259999998
29,smoky_JJ,Olfactory,0.374193548,3.8125
30,earthy_JJ,Visual,0.208737864,3.733333333
31,mildew_NN,Visual,0.487603306,3.277777778
32,rose_NN,Visual,0.32388664,4.473684211
33,fragrant_JJ,Olfactory,0.795698925,4.933333333
34,sweet_JJ,Gustatory,0.45731707299999996,4.1
35,cinnamon_NN,Gustatory,0.36416185,4.333333333
36,freshly_RB,Olfactory,0.181008902,2.59375
37,ammonia_NN,Olfactory,0.445026178,4.6
38,sour_JJ,Gustatory,0.43624161100000003,4.125
39,agreeable_JJ,Auditory,0.316129032,2.736842105
40,fragrance_NN,Olfactory,0.796116505,4.823529412
41,faintly_RB,Visual,0.283185841,2.0
42,intoxicate_VB,Interoceptive,0.318181818,3.733333333
43,sight_NN,Visual,0.785123967,5.0
