,Word,Dominant Perceptual,Exclusivity Perceptual,Strength Perceptual
0,saltiness_NN,Gustatory,0.489932886,4.647058824
1,smell_NN,Olfactory,0.664285714,4.8947368419999995
2,cognizable_JJ,Visual,0.46428571399999996,2.8
3,salty_NN,Gustatory,0.5704697989999999,4.684210526
4,smell_VB,Olfactory,0.664285714,4.8947368419999995
5,acrid_JJ,Olfactory,0.452380952,3.416666667
6,tangy_JJ,Gustatory,0.5277777779999999,4.085714286
7,bud_NN,Visual,0.307692308,3.684210526
8,seasoning_NN,Gustatory,0.32166302,4.416666667
9,tactile_JJ,Haptic,0.363636364,3.3529411760000003
10,morsel_NN,Visual,0.290123457,3.785714286
11,bitter_JJ,Gustatory,0.39634146299999995,4.25
12,sour_JJ,Gustatory,0.43624161100000003,4.125
13,margarita_NN,Gustatory,0.366459627,3.75
14,pepper_NN,Gustatory,0.258687259,4.4117647060000005
15,fishy_JJ,Olfactory,0.36,3.823529412
16,savor_VB,Gustatory,0.346820809,4.1875
17,aroma_NN,Olfactory,0.815789474,4.8947368419999995
18,wine_NN,Gustatory,0.232954545,4.304347826
19,odor_NN,Olfactory,0.51744186,4.65
20,impeccable_JJ,Visual,0.397058824,1.9333333330000002
21,sweeten_VB,Gustatory,0.520547945,4.1578947369999995
22,foul_JJ,Visual,0.17826087,2.95
23,tart_JJ,Gustatory,0.462068966,4.176470588
24,eclectic_JJ,Visual,0.321167883,3.375
25,pungent_JJ,Olfactory,0.497076023,4.684210526
26,disagreeable_JJ,Auditory,0.24675324699999998,2.9375
27,delicious_JJ,Gustatory,0.276679842,4.5
28,sweet_JJ,Gustatory,0.45731707299999996,4.1
29,metallic_JJ,Visual,0.44078947399999996,3.684210526
30,bland_JJ,Gustatory,0.49655172399999997,4.166666667
31,vile_JJ,Visual,0.19277108399999998,2.352941176
32,salt_NN,Gustatory,0.331632653,4.5
33,sweetness_NN,Gustatory,0.425414365,4.2
34,spicy_NN,Gustatory,0.34803921600000004,4.470588235
35,treat_NN,Gustatory,0.251612903,2.9375
36,aversion_NN,Interoceptive,0.288888889,3.882352941
37,appetizer_NN,Gustatory,0.320833333,4.647058824
38,agreeable_JJ,Auditory,0.316129032,2.736842105
39,refined_JJ,Visual,0.346289753,3.026315789
40,brew_NN,Visual,0.293532338,3.368421053
41,unpleasant_JJ,Interoceptive,0.136929461,3.588235294
42,mango_NN,Gustatory,0.317152104,4.666666667
43,tongue_NN,Visual,0.291139241,3.3636363639999995
44,salsa_NN,Gustatory,0.276497696,4.0
45,winery_NN,Visual,0.28358209,4.1111111110000005
46,curry_VB,Gustatory,0.330543933,4.421052632
47,cuisine_NN,Gustatory,0.261980831,4.55
48,discriminate_VB,Visual,0.35,2.789473684
49,earthy_JJ,Visual,0.208737864,3.733333333
50,flavor_NN,Gustatory,0.576208178,4.9375
51,homemade_NN,Visual,0.305882353,3.775
52,sauce_NN,Gustatory,0.275862069,4.35
53,sensation_NN,Interoceptive,0.21789883300000001,4.315789474
54,freshness_NN,Olfactory,0.177419355,3.368421053
55,delicacy_NN,Gustatory,0.200520833,3.884615385
