,Word,Dominant Perceptual,Exclusivity Perceptual,Strength Perceptual
0,finishing_JJ,Visual,0.29292929300000004,2.333333333
1,fondling_NN,Haptic,0.448484848,4.3142857139999995
2,lewd_JJ,Visual,0.43537415,3.764705882
3,therapeutic_NN,Interoceptive,0.19069767399999998,3.166666667
4,cognizable_JJ,Visual,0.46428571399999996,2.8
5,fondle_VB,Haptic,0.47826087,4.714285714
6,typist_NN,Visual,0.317708333,3.882352941
7,lightness_NN,Haptic,0.228723404,3.176470588
8,genitals_NN,Visual,0.373333333,4.35
9,tasting_NN,Gustatory,0.503267974,4.823529412
10,smell_NN,Olfactory,0.664285714,4.8947368419999995
11,smell_VB,Olfactory,0.664285714,4.8947368419999995
12,stroke_VB,Interoceptive,0.386363636,3.0
13,caress_VB,Haptic,0.41176470600000004,4.393939393999999
14,hug_VB,Haptic,0.37078651700000004,4.4375
15,inappropriately_RB,Visual,0.39849624100000003,3.117647059
16,lightly_RB,Haptic,0.26540284399999997,3.333333333
17,briefly_NN,Visual,0.341463415,1.8235294119999998
18,tactile_JJ,Haptic,0.363636364,3.3529411760000003
19,unwelcome_JJ,Interoceptive,0.333333333,2.866666667
20,chord_NN,Auditory,0.418478261,3.772727273
21,taste_VB,Gustatory,0.428571429,4.647058824
22,kiss_VB,Haptic,0.249011858,3.833333333
23,healing_NN,Interoceptive,0.420731707,4.058823529
24,sensation_NN,Interoceptive,0.21789883300000001,4.315789474
25,pad_NN,Haptic,0.428571429,2.444444444
26,forehead_NN,Visual,0.582677165,4.4117647060000005
27,finger_NN,Haptic,0.39473684200000003,4.1052631580000005
28,gentle_JJ,Visual,0.293269231,3.263157895
29,taste_NN,Gustatory,0.428571429,4.647058824
30,briefly_RB,Visual,0.341463415,1.8235294119999998
31,barely_RB,Visual,0.253731343,2.588235294
32,massage_NN,Haptic,0.45086705200000005,4.3888888889999995
33,tornado_NN,Visual,0.413612565,4.210526316
34,fingertip_NN,Haptic,0.485294118,4.4
35,penis_NN,Visual,0.30593607300000003,4.352941176
36,gently_RB,Haptic,0.42384106,4.0
37,thigh_NN,Haptic,0.38888888899999996,4.055555556
38,zen_NN,Interoceptive,0.31707317100000004,3.384615385
39,feminine_JJ,Visual,0.216535433,3.888888889
40,stay_VB,Visual,0.587719298,3.35
41,lip_NN,Visual,0.271604938,2.9411764710000003
42,toe_NN,Visual,0.41666666700000005,4.3684210530000005
43,elegance_NN,Visual,0.300492611,4.333333333
44,nice_JJ,Visual,0.19496855300000002,2.529411765
45,cheek_NN,Visual,0.394444444,3.947368421
46,screen_NN,Visual,0.550898204,4.8421052630000005
47,deeply_RB,Interoceptive,0.265734266,2.444444444
48,tongue_NN,Visual,0.291139241,3.3636363639999995
49,kiosk_NN,Visual,0.551724138,4.0
50,agreeable_JJ,Auditory,0.316129032,2.736842105
51,finish_VB,Visual,0.33587786299999994,3.0625
52,classmate_NN,Visual,0.454545455,4.0
53,nose_NN,Visual,0.291970803,4.2380952380000005
54,elbow_NN,Haptic,0.396946565,3.857142857
55,therapeutic_JJ,Interoceptive,0.19069767399999998,3.166666667
56,button_NN,Haptic,0.484375,3.875
57,vagina_NN,Visual,0.257861635,4.55
58,tender_NN,Interoceptive,0.27567567600000004,3.0
59,humorous_JJ,Auditory,0.42580645200000006,3.9411764710000003
60,luxurious_JJ,Visual,0.20535714300000002,4.0
61,sight_NN,Visual,0.785123967,5.0
62,delicate_JJ,Haptic,0.340659341,3.526315789
63,decor_NN,Visual,0.595588235,4.555555556
64,droplet_NN,Visual,0.34831460700000005,4.1875
65,angel_NN,Visual,0.5,2.45
66,scent_NN,Olfactory,0.671641791,4.6
67,accidentally_RB,Visual,0.313432836,2.611111111
68,scarcely_RB,Visual,0.523809524,3.105263158
69,irony_NN,Auditory,0.330708661,2.421052632
70,warmth_NN,Haptic,0.4375,3.736842105
71,keyboard_NN,Haptic,0.32780083,4.666666667
72,nerve_NN,Interoceptive,0.509803922,3.714285714
73,sensual_JJ,Haptic,0.157676349,3.4375
74,shoulder_NN,Visual,0.46913580200000005,4.052631579
75,posture_NN,Visual,0.575221239,3.823529412
76,keep_VB,Visual,0.387096774,1.9
77,humor_NN,Auditory,0.37837837799999996,4.0
78,magic_JJ,Visual,0.444444444,4.263157895
79,biotechnology_NN,Visual,0.538461538,3.2
80,dare_VB,Visual,0.41666666700000005,2.0
81,lifting_NN,Haptic,0.29296875,3.80952381
82,rub_VB,Haptic,0.42783505200000005,4.777777778
83,sticky_JJ,Haptic,0.574074074,3.875
84,soft_JJ,Haptic,0.484848485,4.526315789
85,percussion_NN,Auditory,0.446927374,4.705882353
86,gesture_NN,Visual,0.661157025,4.210526316
87,evil_NN,Visual,0.264550265,3.0
88,contaminate_VB,Visual,0.335664336,2.736842105
89,tone_NN,Auditory,0.7758620690000001,4.5
90,intimate_JJ,Interoceptive,0.223826715,2.96
91,unwanted_JJ,Interoceptive,0.383838384,2.666666667
92,brush_VB,Haptic,0.333333333,3.388888889
93,ball_NN,Visual,0.48507462700000004,3.823529412
94,kindness_NN,Visual,0.31400966199999997,4.117647058999999
95,profoundly_RB,Visual,0.28,2.472222222
96,dial_NN,Haptic,0.395973154,3.6875
97,funny_JJ,Auditory,0.289915966,4.1
98,light_JJ,Visual,0.7711864409999999,4.6
99,thoughtful_JJ,Interoceptive,0.32799999999999996,2.210526316
100,rim_NN,Visual,0.572649573,3.578947368
101,thumb_NN,Visual,0.423913043,3.428571429
102,flame_NN,Visual,0.407239819,4.65
103,shutter_NN,Visual,0.45945945899999996,3.238095238
104,skin_NN,Haptic,0.36099585100000003,4.45
105,reality_NN,Visual,0.134482759,3.684210526
106,lose_VB,Visual,0.382608696,2.444444444
107,clever_JJ,Visual,0.325714286,2.95
108,romance_NN,Interoceptive,0.195710456,4.7619047619999995
109,sterile_JJ,Visual,0.373015873,2.842105263
110,smile_NN,Visual,0.502824859,4.7
111,emotion_NN,Interoceptive,0.34736842100000004,4.117647058999999
112,knee_NN,Visual,0.408653846,4.25
113,heart_NN,Interoceptive,0.350574713,3.611111111
114,put_VB,Visual,0.36842105299999994,3.176470588
115,countless_JJ,Visual,0.387596899,2.5714285709999998
116,hand_NN,Visual,0.41206030200000004,4.25
117,mosquito_NN,Visual,0.385714286,4.5
118,soul_NN,Interoceptive,0.745762712,2.444444444
119,sensory_JJ,Visual,0.038011696,3.764705882
120,sensitive_JJ,Interoceptive,0.318777293,3.8181818180000002
121,warm_JJ,Haptic,0.373056995,3.714285714
122,spark_VB,Visual,0.36170212799999996,3.238095238
123,affection_NN,Interoceptive,0.286713287,3.685714286
124,stimulus_NN,Visual,0.062015504000000006,3.0588235289999997
125,flesh_NN,Haptic,0.217877095,4.038461538
126,subtle_JJ,Auditory,0.132947977,2.333333333
127,glove_NN,Haptic,0.49681528700000005,4.333333333
128,lovely_JJ,Visual,0.175213675,3.047619048
129,hardly_RB,Visual,0.207070707,1.657142857
130,stranger_NN,Visual,0.43125,4.058823529
131,lyric_NN,Auditory,0.629310345,4.5625
132,trigger_NN,Interoceptive,0.231638418,2.1818181819999998
133,inside_NN,Visual,0.45762711899999997,3.111111111
134,tragedy_NN,Visual,0.39310344799999997,3.3529411760000003
135,inappropriate_JJ,Auditory,0.325443787,3.105263158
136,raw_JJ,Visual,0.317919075,3.6875
137,wash_VB,Visual,0.24175824199999998,3.25
138,comic_JJ,Visual,0.509803922,4.333333333
139,bare_JJ,Visual,0.39375,3.882352941
140,stay_NN,Visual,0.587719298,3.35
141,consciousness_NN,Interoceptive,0.489959839,3.742857143
142,feel_NN,Haptic,0.32673267300000003,4.705882353
143,conscience_NN,Interoceptive,0.833333333,3.684210526
144,elegant_JJ,Visual,0.37410071899999997,3.9375
145,slight_JJ,Visual,0.297297297,1.857142857
146,garment_NN,Visual,0.413407821,3.894736842
147,leg_NN,Visual,0.406451613,3.823529412
148,painful_JJ,Interoceptive,0.291828794,4.882352941000001
149,lend_VB,Visual,0.333333333,1.789473684
150,loving_JJ,Interoceptive,0.261410788,3.7
151,guitar_NN,Auditory,0.38378378399999996,4.4375
152,genius_NN,Visual,0.43965517200000004,2.4285714290000002
153,metal_NN,Visual,0.367924528,4.421052632
154,tech_NN,Visual,0.39473684200000003,3.315789474
155,sound_NN,Auditory,0.7522123890000001,5.0
156,paint_NN,Visual,0.402912621,4.35
157,vibration_NN,Haptic,0.34893617,3.772727273
158,cool_JJ,Haptic,0.4625,3.571428571
159,smooth_JJ,Haptic,0.342465753,4.666666667
160,close_JJ,Visual,0.30516431899999996,3.842105263
161,golden_JJ,Visual,0.6699029129999999,4.0
162,pleasant_JJ,Visual,0.074324324,3.588235294
163,mouth_NN,Visual,0.20588235300000002,2.947368421
164,jar_NN,Visual,0.493589744,4.529411765
165,steering_NN,Haptic,0.45378151299999997,3.176470588
166,intentional_JJ,Visual,0.3625,1.764705882
167,personal_JJ,Interoceptive,0.310344828,2.8
168,hair_NN,Visual,0.375,4.3888888889999995
169,inner_JJ,Visual,0.44705882399999997,2.111111111
170,stretch_VB,Interoceptive,0.326241135,2.833333333
171,breast_NN,Visual,0.381909548,4.05
172,tip_NN,Visual,0.522727273,2.7058823530000002
173,press_VB,Haptic,0.352631579,3.789473684
174,occasional_JJ,Auditory,0.325581395,1.526315789
175,ground_NN,Visual,0.352657005,4.210526316
176,hot_JJ,Haptic,0.30256410300000003,4.117647058999999
177,hat_NN,Visual,0.54676259,4.470588235
178,foot_NN,Visual,0.44,4.1052631580000005
179,nobody_NN,Visual,0.328638498,3.1538461539999996
180,strip_NN,Visual,0.401360544,3.4
181,digit_NN,Visual,0.519685039,3.722222222
182,face_NN,Visual,0.5,4.95
183,humanity_NN,Visual,0.37681159399999997,3.3529411760000003
184,tribute_NN,Visual,0.47972973,3.227272727
185,cold_JJ,Haptic,0.336448598,4.1052631580000005
186,wire_NN,Visual,0.489795918,4.1111111110000005
187,breath_NN,Interoceptive,0.166951869,3.22372691
