,Unnamed: 0,OlfN,TotalN,Tokens,OAI,OSI
0,saltiness_NN,10,46,['saltiness_NN'],-2.201633861,12.20838679
2,smell_NN,328,3290,"['smell_NN', 'smell_NNP']",-3.326319864,7.172762881000001
3,sweeter_RB,9,101,['sweeter_RBR'],-3.4882864810000003,12.36038988
5,salty_NN,40,491,['salty_NN'],-3.6176511189999996,10.20838679
6,smell_VB,297,3701,"['smell_VBP', 'smell_VBD', 'smell_VB', 'smell_VBZ', 'smell_VBG', 'smell_VBN']",-3.639380299,7.315995765
8,tangy_JJ,12,173,['tangy_JJ'],-3.849665727,11.94535238
9,bud_NN,211,3100,"['bud_NNS', 'bud_NN', 'bud_NNP']",-3.8769533110000003,7.809215697000001
10,seasoning_NN,22,327,"['seasoning_NNS', 'seasoning_NN']",-3.893715207,11.07088327
12,morsel_NN,21,338,"['morsel_NNS', 'morsel_NN', 'morsel_NNPS']",-4.008562014,11.13799746
15,margarita_NN,8,158,"['margarita_NNS', 'margarita_NN']",-4.303780748,12.53031489
16,pepper_NN,192,3794,"['pepper_NN', 'pepper_NNS', 'pepper_NNP']",-4.3045414630000005,7.945352385
18,savor_VB,35,867,"['savor_VBD', 'savor_VBG', 'savor_VB', 'savor_VBP', 'savor_VBN']",-4.6306051660000005,10.40103187
22,impeccable_JJ,17,546,['impeccable_JJ'],-5.0052943,11.44285204
23,arbiter_NN,16,525,"['arbiter_NNS', 'arbiter_NN']",-5.036173613,11.53031489
24,sweeten_VB,12,400,"['sweeten_VB', 'sweeten_VBN', 'sweeten_VBG']",-5.058893689,11.94535238
26,tart_JJ,9,339,['tart_JJ'],-5.2352164619999995,12.36038988
27,eclectic_JJ,33,1304,['eclectic_JJ'],-5.304334035,10.48592077
29,disagreeable_JJ,11,441,['disagreeable_JJ'],-5.325203227,12.07088327
32,metallic_JJ,33,1414,['metallic_JJ'],-5.421172285,10.48592077
33,bland_JJ,17,732,['bland_JJ'],-5.428236997000001,11.44285204
34,vile_JJ,11,479,['vile_JJ'],-5.444450227000001,12.07088327
36,sweetness_NN,14,622,['sweetness_NN'],-5.473415847999999,11.72295996
37,spicy_NN,16,744,['spicy_NN'],-5.539158811,11.53031489
38,treat_NN,29,1359,['treat_NN'],-5.550348746,10.67233389
39,aversion_NN,26,1221,"['aversion_NN', 'aversion_NNS', 'aversion_NNP']",-5.553407767,10.82987517
40,appetizer_NN,14,665,"['appetizer_NNS', 'appetizer_NN']",-5.569855607999999,11.72295996
42,refined_JJ,19,934,['refined_JJ'],-5.619351226,11.28238737
