Unnamed: 0,OlfN_x,TotalN_x,Tokens_x,OAI_x,OSI_x,OlfN_y,TotalN_y,Tokens_y,OAI_y,OSI_y
sad_JJ,342,6169,"['sad_JJ', 'sad_JJR', 'sad_JJS']",-4.172968416000001,10.33439745,230,6169,"['sad_JJ', 'sad_JJS', 'sad_JJR']",-4.74533088,12.13853197
look_NN,953,26364,"['look_NN', 'look_NNS', 'look_NNP']",-4.789949251,8.855917558,356,26345,"['look_NN', 'look_NNS']",-6.2095081279999995,11.50828859
strange_JJ,358,10821,"['strange_JJ', 'strange_JJS']",-4.917730431,10.26843418,231,10821,"['strange_JJ', 'strange_JJS']",-5.549797167,12.13227298
joy_NN,222,9132,"['joy_NN', 'joy_NNS', 'joy_NNP']",-5.362299278,10.9578341,175,9132,"['joy_NN', 'joy_NNP', 'joy_NNS']",-5.705504032,12.53281091
smell_VB,88,3703,"['smell_VBZ', 'smell_VBD', 'smell_VB', 'smell_VBN', 'smell_VBP', 'smell_VBG']",-5.395047216,12.29281834,161,3705,"['smell_VBN', 'smell_VBD', 'smell_VB', 'smell_VBG', 'smell_VBP', 'smell_VBZ']",-4.524340949,12.65310515
suddenly_RB,297,13000,['suddenly_RB'],-5.451904882000001,10.53793084,259,13000,['suddenly_RB'],-5.649415715,11.96721374
happy_JJ,527,25051,"['happy_JJ', 'happy_JJR', 'happy_JJS']",-5.570921423,9.71059081,635,25051,"['happy_JJ', 'happy_JJR', 'happy_JJS']",-5.301967793,10.67340924
personally_RB,264,13182,['personally_RB'],-5.6418875360000005,10.70785584,245,13182,['personally_RB'],-5.7496437160000005,12.04738409
please_VB,1175,63260,"['please_VB', 'please_VBP', 'please_VBG', 'please_VBN', 'please_VBD', 'please_VBZ']",-5.7505608939999995,8.55380492,2392,63260,"['please_VB', 'please_VBN', 'please_VBZ', 'please_VBG', 'please_VBD', 'please_VBP']",-4.7250042610000005,8.760020352
pleasure_NN,215,11866,"['pleasure_NN', 'pleasure_NNS']",-5.7863532179999995,11.00405711,183,11866,"['pleasure_NN', 'pleasure_NNS']",-6.018846228999999,12.46832219
differently_RB,145,8036,['differently_RB'],-5.792352759,11.57234087,304,8036,['differently_RB'],-4.724334335,11.73609451
really_RB,1840,105443,['really_RB'],-5.840613746,7.906759911,2012,105443,['really_RB'],-5.711689207,9.009607436
alive_JJ,166,10102,['alive_JJ'],-5.927313895,11.37721053,205,10102,['alive_JJ'],-5.622873227,12.30454193
touch_VB,198,12909,"['touch_VBN', 'touch_VBP', 'touch_VBD', 'touch_VB', 'touch_VBG']",-6.026733006000001,11.12289334,262,12909,"['touch_VBD', 'touch_VBN', 'touch_VB', 'touch_VBP', 'touch_VBG']",-5.622666624,11.95059902
truly_RB,308,20819,['truly_RB'],-6.078826612,10.48546342,268,20819,['truly_RB'],-6.279523962000001,11.91793284
something_NN,1315,102998,['something_NN'],-6.291409713999999,8.391402878,2120,102998,['something_NN'],-5.602408249,8.934173476
definitely_RB,140,10982,['definitely_RB'],-6.293570179,11.62296694,170,10982,['definitely_RB'],-6.01346226,12.57463109
right_RB,516,41699,['right_RB'],-6.33649791,9.741022706,514,41699,['right_RB'],-6.342100617000001,10.97839748
wonderful_JJ,213,17574,['wonderful_JJ'],-6.366445357999999,11.01754034,344,17574,['wonderful_JJ'],-5.674890223999999,11.55775727
never_RB,1362,117774,['never_RB'],-6.434150569,8.340738974,5669,117774,['never_RB'],-4.376783003,7.515143472
'm_VB,862,75959,"[""'m_VBP""]",-6.461389232999999,9.000705903,1014,75959,"[""'m_VBP""]",-6.227091355,9.998180089
n't_RB,5371,485391,"[""n't_RB""]",-6.497812827000001,6.361274956,11897,485391,"[""n't_RB""]",-5.35047763,6.445711823
still_RB,1866,168901,['still_RB'],-6.500085072999999,7.886516691000001,2004,168901,['still_RB'],-6.397151551,9.015355233
everyone_NN,503,45610,['everyone_NN'],-6.50264796,9.777835372,740,45610,['everyone_NN'],-5.945681089,10.45264057
desire_NN,252,23027,"['desire_NN', 'desire_NNS']",-6.513758922,10.77497004,359,23379,"['desire_NN', 'desire_NNS', 'desire_NNPS', 'desire_NNP']",-6.025085568,11.49618199
