Unnamed: 0,OlfN_x,TotalN_x,Tokens_x,OAI_x,OSI_x,OlfN_y,TotalN_y,Tokens_y,OAI_y,OSI_y
unpleasant_JJ,400,3193,['unpleasant_JJ'],-2.996840648,10.10839377,32,3193,['unpleasant_JJ'],-6.640696837999999,9.152760169
pleasant_JJ,515,6219,['pleasant_JJ'],-3.59403828,9.74382134,50,6219,['pleasant_JJ'],-6.9586107120000005,8.508903979
sensation_NN,355,5193,"['sensation_NNS', 'sensation_NN']",-3.870677296,10.28057475,38,5193,"['sensation_NNS', 'sensation_NN']",-7.094424997000001,8.904832655
strongly_RB,1185,19288,['strongly_RB'],-4.024744592,8.541578617999999,40,19288,['strongly_RB'],-8.913487841,8.830832074
terrible_JJ,258,7271,['terrible_JJ'],-4.816710825,10.74102271,14,7271,['terrible_JJ'],-9.020583157999999,10.34540525
strange_JJ,358,10821,"['strange_JJ', 'strange_JJS']",-4.917730431,10.26843418,35,10602,['strange_JJ'],-8.242765808,9.023477152
awful_JJ,90,2887,['awful_JJ'],-5.003502296000001,12.26039687,25,2887,['awful_JJ'],-6.851499202,9.508903979
warm_JJ,475,16623,"['warm_JJ', 'warm_JJR', 'warm_JJS']",-5.1291094489999995,9.860466258999999,28,13861,['warm_JJ'],-8.951388802,9.345405247
overwhelming_JJ,162,6563,['overwhelming_JJ'],-5.340289715,11.41239996,10,6563,['overwhelming_JJ'],-9.358211622999999,10.83083207
slight_JJ,164,8050,"['slight_JJ', 'slight_JJS', 'slight_JJR']",-5.617221063,11.39469796,11,8027,"['slight_JJ', 'slight_JJS']",-9.511213564,10.69332855
wake_VB,118,5972,"['wake_VBP', 'wake_VBD', 'wake_VBZ', 'wake_VB', 'wake_VBG', 'wake_VBN']",-5.661355401000001,11.86960691,24,5972,"['wake_VBN', 'wake_VB', 'wake_VBZ', 'wake_VBP', 'wake_VBD', 'wake_VBG']",-7.9590359489999996,9.567797667999999
mix_VB,154,7816,"['mix_VBN', 'mix_VB', 'mix_VBG', 'mix_VBD']",-5.665428211,11.48546342,11,7510,"['mix_VBN', 'mix_VBG', 'mix_VBP', 'mix_VBZ']",-9.415165574,10.69332855
bad_JJ,1217,64529,"['bad_JJ', 'bad_JJR', 'bad_JJS']",-5.728546595,8.503136508999999,162,64529,"['bad_JJ', 'bad_JJR', 'bad_JJS']",-8.637810045,6.812910166
odd_JJ,104,5633,"['odd_JJ', 'odd_JJS']",-5.759248038,12.05181024,14,5532,['odd_JJ'],-8.626230519,10.34540525
touch_NN,226,13184,"['touch_NN', 'touch_NNS', 'touch_NNP']",-5.866321565,10.932071,135,13184,"['touch_NN', 'touch_NNP', 'touch_NNS']",-6.60968493,7.075944572
cold_JJ,325,19162,"['cold_JJ', 'cold_JJR', 'cold_JJS']",-5.8816646189999995,10.40795405,17,17854,['cold_JJ'],-10.03649687,10.06529733
consciousness_NN,148,9299,['consciousness_NN'],-5.973406497999999,11.5427966,16,9343,"['consciousness_NN', 'consciousness_NNS']",-9.189670153,10.15276017
pretty_RB,374,23796,['pretty_RB'],-5.9915370029999995,10.2053555,20,23796,['pretty_RB'],-10.21650337,9.830832074
breath_NN,125,8057,"['breath_NN', 'breath_NNS', 'breath_NNP']",-6.010242756,11.78646568,62,7554,['breath_NN'],-6.928828758,8.198563858
touch_VB,198,12909,"['touch_VBN', 'touch_VBP', 'touch_VBD', 'touch_VB', 'touch_VBG']",-6.026733006000001,11.12289334,129,12904,"['touch_VBP', 'touch_VBN', 'touch_VBG', 'touch_VBD', 'touch_VB']",-6.6443034679999995,7.141532913
somewhat_RB,292,19038,['somewhat_RB'],-6.0267697479999995,10.5624254,11,19038,['somewhat_RB'],-10.75716269,10.69332855
funny_JJ,89,5822,"['funny_JJ', 'funny_JJS']",-6.031565692999999,12.27651653,25,5524,['funny_JJ'],-7.787641413999999,9.508903979
sense_NN,931,61765,['sense_NN'],-6.051864567999999,8.889612604,287,61765,['sense_NN'],-7.749594999,5.987853242000001
strong_JJ,1094,84418,"['strong_JJ', 'strong_JJR', 'strong_JJS']",-6.269866007,8.656852939,118,80342,"['strong_JJ', 'strong_JJR']",-9.411223706,7.270117119
something_NN,1315,102998,['something_NN'],-6.291409713999999,8.391402878,62,102998,['something_NN'],-10.69806049,8.198563858
definitely_RB,140,10982,['definitely_RB'],-6.293570179,11.62296694,9,10982,['definitely_RB'],-10.25292819,10.98283517
sharp_JJ,121,9662,"['sharp_JJ', 'sharp_JJS', 'sharp_JJR']",-6.319242900000001,11.83338672,12,9366,"['sharp_JJ', 'sharp_JJR']",-9.608254822000001,10.56779767
wonderful_JJ,213,17574,['wonderful_JJ'],-6.366445357999999,11.01754034,30,17574,['wonderful_JJ'],-9.194264383,9.245869573
slightly_RB,206,18185,['slightly_RB'],-6.463960778,11.06574943,17,18185,['slightly_RB'],-10.06299846,10.06529733
soft_JJ,146,13854,"['soft_JJ', 'soft_JJR', 'soft_JJS']",-6.568190400000001,11.5624254,13,13774,"['soft_JJ', 'soft_JJR']",-10.04922024,10.45232045
