,Unnamed: 0,OlfN_x,TotalN_x,Tokens_x,OAI_x,OSI_x,OlfN_y,TotalN_y,Tokens_y,OAI_y,OSI_y
0,sermon_NN,68,1462,"['sermon_NN', 'sermon_NNS']",-4.426264755,10.50598664,56,1543,"['sermon_NNS', 'sermon_NN', 'sermon_NNP']",-4.784167425,12.62373455
1,speaking_NN,256,6835,['speaking_NN'],-4.738725622,8.593449482999999,71,6835,['speaking_NN'],-6.588978503,12.28134235
2,dhamma_NN,102,3731,"['dhamma_NNP', 'dhamma_NN']",-5.192921303,9.921024141,79,3731,"['dhamma_NNP', 'dhamma_NN']",-5.561565897,12.12730872
3,music_NN,1775,85202,"['music_NN', 'music_NNP', 'music_NNS']",-5.584996366,5.799846174,878,85095,"['music_NN', 'music_NNP']",-6.598709615,8.653012341
4,radio_NN,649,31532,"['radio_NN', 'radio_NNP', 'radio_NNS']",-5.602454391,7.251374815,384,31532,"['radio_NN', 'radio_NNP', 'radio_NNS']",-6.359566557999999,9.84612697
5,whisper_NN,15,770,"['whisper_NNS', 'whisper_NN']",-5.68182404,12.68655889,54,770,"['whisper_NN', 'whisper_NNS']",-3.833827133,12.67620197
6,heartbeat_NN,15,1090,"['heartbeat_NN', 'heartbeat_NNS']",-6.183221823999999,12.68655889,35,1109,"['heartbeat_NN', 'heartbeat_NNP', 'heartbeat_NNS']",-4.985760633,13.30180645
7,singing_NN,27,2052,['singing_NN'],-6.247927513,11.83856198,49,2136,"['singing_NN', 'singing_NNP']",-5.445986088,12.81637963
8,recording_NN,183,15072,"['recording_NNS', 'recording_NN', 'recording_NNP', 'recording_NNPS']",-6.363883411000001,9.077749645,117,15002,"['recording_NN', 'recording_NNS', 'recording_NNP']",-7.002502507000001,11.56072475
9,ear_NN,184,16439,"['ear_NN', 'ear_NNS']",-6.481272965,9.069887527,389,16409,"['ear_NNS', 'ear_NN']",-5.398573355,9.827463126
10,song_NN,318,28506,"['song_NN', 'song_NNS', 'song_NNPS']",-6.486095037,8.280566528,454,28487,"['song_NNS', 'song_NN', 'song_NNPS']",-5.97146759,9.604540983
11,conversation_NN,209,20799,"['conversation_NNS', 'conversation_NN']",-6.636867414,8.886090351,194,20800,"['conversation_NN', 'conversation_NNS']",-6.744383066,10.83117663
12,tune_NN,52,5293,"['tune_NNS', 'tune_NN']",-6.66943022,10.89300976,63,5294,"['tune_NN', 'tune_NNS']",-6.392862556,12.45380955
