Unnamed: 0,OlfN_x,TotalN_x,Tokens_x,OAI_x,OSI_x,OlfN_y,TotalN_y,Tokens_y,OAI_y,OSI_y
nice_JJ,559,20786,"['nice_JJ', 'nice_JJR', 'nice_JJS']",-5.216620063,10.06157528,20,20453,"['nice_JJR', 'nice_JJ']",-9.998096755,9.830832074
pretty_RB,635,23796,['pretty_RB'],-5.2278186810000005,9.87766697,20,23796,['pretty_RB'],-10.21650337,9.830832074
funny_JJ,158,5946,"['funny_JJ', 'funny_JJS', 'funny_JJR']",-5.233923,11.884499,25,5524,['funny_JJ'],-7.787641413999999,9.508903979
everywhere_RB,249,9614,['everywhere_RB'],-5.270919156000001,11.22827782,10,9614,['everywhere_RB'],-9.908992993,10.83083207
fresh_JJ,426,17486,"['fresh_JJ', 'fresh_JJR', 'fresh_JJS']",-5.359203063,10.45357013,91,17486,"['fresh_JJ', 'fresh_JJS', 'fresh_JJR']",-7.586118043,7.644965528999999
dirty_JJ,107,4639,"['dirty_JJ', 'dirty_JJR']",-5.438131144,12.44681277,36,4637,"['dirty_JJ', 'dirty_JJS']",-7.00905101,8.982835167000001
strange_JJ,233,10821,"['strange_JJ', 'strange_JJS']",-5.537360064,11.32409361,35,10602,['strange_JJ'],-8.242765808,9.023477152
cool_JJ,283,13272,"['cool_JJ', 'cool_JJR', 'cool_JJS']",-5.551439928,11.04362151,11,12873,"['cool_JJ', 'cool_JJR']",-10.19262907,10.69332855
beautiful_JJ,420,21883,['beautiful_JJ'],-5.703277397000001,10.47403423,12,21883,['beautiful_JJ'],-10.83256041,10.56779767
odd_JJ,107,5582,"['odd_JJ', 'odd_JJR']",-5.705099422999999,12.44681277,14,5532,['odd_JJ'],-8.626230519,10.34540525
feel_VB,1511,85310,"['feel_VBZ', 'feel_VBP', 'feel_VB', 'feel_VBG']",-5.819139298,8.626991807000001,81,85315,"['feel_VBP', 'feel_VB', 'feel_VBG', 'feel_VBZ']",-10.04066179,7.812910166
guy_NN,342,20812,"['guy_NN', 'guy_NNS', 'guy_NNP', 'guy_NNPS']",-5.927275477,10.77042724,12,20759,"['guy_NN', 'guy_NNP', 'guy_NNS']",-10.75648683,10.56779767
something_NN,1688,102998,['something_NN'],-5.9311576089999996,8.467180563,62,102998,['something_NN'],-10.69806049,8.198563858
sharp_JJ,147,9662,"['sharp_JJ', 'sharp_JJR', 'sharp_JJS']",-6.038433792999999,11.98860741,12,9366,"['sharp_JJ', 'sharp_JJR']",-9.608254822000001,10.56779767
