,Unnamed: 0,OlfN_x,TotalN_x,Tokens_x,OAI_x,OSI_x,OlfN_y,TotalN_y,Tokens_y,OAI_y,OSI_y
0,forward_RB,10302,39341,['forward_RB'],-1.933109184,5.8576429270000006,642,39341,['forward_RB'],-5.937316522000001,10.65759254
1,around_RB,968,12700,['around_RB'],-3.7136776389999997,9.269416515,340,12700,['around_RB'],-5.22314994,11.57463109
2,mirror_NN,408,6208,"['mirror_NN', 'mirror_NNP']",-3.9274875,10.51585441,236,6208,"['mirror_NN', 'mirror_NNP']",-4.717269793,12.10137898
3,ahead_RB,1161,20508,['ahead_RB'],-4.142746926,9.007127495,288,20508,['ahead_RB'],-6.153974181000001,11.81409702
4,'re_VB,4486,127149,"[""'re_VBP""]",-4.824946685,7.0570658470000005,2606,127149,"[""'re_VBP""]",-5.608539221,8.636400657000001
5,eye_NN,1662,54343,"['eye_NN', 'eye_NNS', 'eye_NNP']",-5.031101924,8.489575085,2425,54326,"['eye_NNS', 'eye_NN', 'eye_NNP']",-4.485586173,8.740252994
6,face_NN,1172,40148,"['face_NNS', 'face_NN', 'face_NNP']",-5.0982836460000005,8.993522898,1347,40172,"['face_NN', 'face_NNS', 'face_NNP']",-4.898368533,9.58848789
7,smile_VB,161,5531,"['smile_VBG', 'smile_VBZ', 'smile_VB', 'smile_VBD', 'smile_VBP']",-5.102407749,11.85736287,154,5531,"['smile_VBG', 'smile_VBD', 'smile_VB', 'smile_VBZ', 'smile_VBP']",-5.166538086,12.71723549
8,glance_NN,101,3743,"['glance_NN', 'glance_NNS']",-5.21176785,12.53006827,152,3743,"['glance_NN', 'glance_NNS']",-4.622051819,12.73609451
9,bright_JJ,388,14400,"['bright_JJ', 'bright_JJR', 'bright_JJS']",-5.213868349,10.58836691,273,14400,"['bright_JJ', 'bright_JJR', 'bright_JJS']",-5.72102405,11.89126489
10,nice_JJ,559,20786,"['nice_JJ', 'nice_JJR', 'nice_JJS']",-5.216620063,10.06157528,491,20786,"['nice_JJ', 'nice_JJR', 'nice_JJS']",-5.403745322000001,11.04444281
11,everywhere_RB,249,9614,['everywhere_RB'],-5.270919156000001,11.22827782,299,9614,['everywhere_RB'],-5.0069194139999995,11.76002035
12,picture_NN,1090,46473,"['picture_NNS', 'picture_NN', 'picture_NNP']",-5.413992738999999,9.098167332000001,1519,46483,"['picture_NN', 'picture_NNS', 'picture_NNP']",-4.935509408,9.415115871
13,'m_VB,1742,75959,"[""'m_VBP""]",-5.446404383,8.421750843,1014,75959,"[""'m_VBP""]",-6.227091355,9.998180089
14,elsewhere_RB,322,14397,['elsewhere_RB'],-5.48256372,10.85736287,170,14397,['elsewhere_RB'],-6.4040896620000005,12.57463109
15,exactly_RB,550,24624,['exactly_RB'],-5.484489708,10.08499194,437,24624,['exactly_RB'],-5.8162880470000005,11.21253256
16,smell_VB,81,3701,"['smell_VBP', 'smell_VBD', 'smell_VB', 'smell_VBG', 'smell_VBN', 'smell_VBZ']",-5.513849417,12.84842975,161,3705,"['smell_VBN', 'smell_VBD', 'smell_VB', 'smell_VBG', 'smell_VBP', 'smell_VBZ']",-4.524340949,12.65310515
17,sky_NN,294,13463,"['sky_NN', 'sky_NNS', 'sky_NNP', 'sky_NNPS']",-5.51703996,10.98860741,308,13429,"['sky_NN', 'sky_NNS', 'sky_NNP']",-5.446277716,11.71723549
18,strange_JJ,233,10821,"['strange_JJ', 'strange_JJS']",-5.537360064,11.32409361,231,10821,"['strange_JJ', 'strange_JJS']",-5.549797167,12.13227298
19,someone_NN,1041,52973,['someone_NN'],-5.669215241,9.164525399,1105,53009,"['someone_NN', 'someone_NNS']",-5.58411905,9.874191372
20,beautiful_JJ,420,21883,['beautiful_JJ'],-5.703277397000001,10.47403423,465,21883,['beautiful_JJ'],-5.5564360079999995,11.12293512
21,sad_JJ,115,6169,"['sad_JJ', 'sad_JJR', 'sad_JJS']",-5.74533088,12.342789699999999,230,6169,"['sad_JJ', 'sad_JJS', 'sad_JJR']",-4.74533088,12.13853197
22,worth_JJ,335,18263,['worth_JJ'],-5.768618866000001,10.80026247,255,18263,['worth_JJ'],-6.162282714,11.98966859
23,somebody_NN,131,7259,['somebody_NN'],-5.792132099,12.15485675,160,7259,['somebody_NN'],-5.503627006,12.66209393
24,future_NN,1117,61904,"['future_NN', 'future_NNS', 'future_NNP', 'future_NNPS']",-5.7923315429999995,9.062866281,715,61902,"['future_NN', 'future_NNPS', 'future_NNP', 'future_NNS']",-6.43589897,10.50222259
25,'ll_MD,1275,72720,"[""'ll_MD""]",-5.833783047000001,8.87199822,4199,72720,"[""'ll_MD""]",-4.114234506,7.948191952999999
26,window_NN,1054,60180,"['window_NN', 'window_NNS', 'window_NNP', 'window_NNPS']",-5.835337335,9.146620599999999,951,59976,"['window_NNS', 'window_NN', 'window_NNP']",-5.9787961560000005,10.0907205
27,way_NN,5456,331425,"['way_NNS', 'way_NN', 'way_NNP', 'way_NNPS']",-5.924694977000001,6.774651822999999,3683,331260,"['way_NN', 'way_NNS', 'way_NNP']",-6.4909388,8.137356344
28,guy_NN,342,20812,"['guy_NN', 'guy_NNS', 'guy_NNP', 'guy_NNPS']",-5.927275477,10.77042724,370,20754,"['guy_NNS', 'guy_NN', 'guy_NNP']",-5.809720339,11.45264057
29,glass_NN,480,29244,"['glass_NN', 'glass_NNS', 'glass_NNP']",-5.928962441,10.28138916,398,29244,"['glass_NN', 'glass_NNS', 'glass_NNP']",-6.199228416,11.34739741
30,something_NN,1688,102998,['something_NN'],-5.9311576089999996,8.467180563,2120,102998,['something_NN'],-5.602408249,8.934173476
31,differently_RB,127,8036,['differently_RB'],-5.9835771620000004,12.19959507,304,8036,['differently_RB'],-4.724334335,11.73609451
32,photo_NN,401,25936,"['photo_NNS', 'photo_NN', 'photo_NNP']",-6.015209949,10.54082133,921,25936,"['photo_NNS', 'photo_NN', 'photo_NNP']",-4.815611028999999,10.13696468
33,anyone_NN,704,45556,['anyone_NN'],-6.015921839,9.728848133,1006,45595,"['anyone_NN', 'anyone_NNP']",-5.502173415,10.00960744
34,anybody_NN,89,5786,['anybody_NN'],-6.022617177000001,12.71254632,174,5786,['anybody_NN'],-5.055407112,12.54107853
35,really_RB,1584,105443,['really_RB'],-6.056747177,8.558923132,2012,105443,['really_RB'],-5.711689207,9.009607436
36,dark_JJ,334,23335,"['dark_JJ', 'dark_JJR', 'dark_JJS']",-6.126503554,10.80457546,382,23334,"['dark_JJ', 'dark_JJS', 'dark_JJR']",-5.932717192,11.406593199999998
37,let_VB,1173,85724,"['let_VB', 'let_VBZ', 'let_VBP', 'let_VBD', 'let_VBG']",-6.191424251,8.992292454,1792,86195,"['let_VB', 'let_VBG', 'let_VBD', 'let_VBZ', 'let_VBN', 'let_VBP']",-5.587961641000001,9.176667104
38,nobody_NN,118,8641,['nobody_NN'],-6.194339517,12.305636699999999,211,8681,"['nobody_NN', 'nobody_NNS']",-5.3625463380000005,12.26292284
39,definitely_RB,149,10982,['definitely_RB'],-6.203684675,11.96911123,170,10982,['definitely_RB'],-6.01346226,12.57463109
40,chart_NN,186,13883,"['chart_NNS', 'chart_NN', 'chart_NNP']",-6.2218729239999995,11.64912094,557,13951,"['chart_NN', 'chart_NNS', 'chart_NNP', 'chart_NNPS']",-4.6465474,10.86248851
41,blue_JJ,200,15344,"['blue_JJ', 'blue_JJR']",-6.261530815,11.54442356,238,15337,"['blue_JJ', 'blue_JJS']",-6.009910927999999,12.08920426
42,photograph_NN,279,21782,"['photograph_NNS', 'photograph_NN', 'photograph_NNP']",-6.286727495,11.06415844,415,21782,"['photograph_NNS', 'photograph_NN', 'photograph_NNP']",-5.71388128,11.2870545
43,viewer_NN,125,9768,"['viewer_NN', 'viewer_NNP', 'viewer_NNS']",-6.288063200000001,12.22249547,288,9771,"['viewer_NNS', 'viewer_NN', 'viewer_NNP']",-5.084365504,11.81409702
44,everybody_NN,126,9945,['everybody_NN'],-6.302475732,12.21099983,163,9945,['everybody_NN'],-5.931027501,12.63529387
45,just_RB,3731,295583,['just_RB'],-6.307857127,7.322933107000001,3698,295583,['just_RB'],-6.320674263,8.131492517
46,right_RB,523,41699,['right_RB'],-6.31705803,10.15761262,514,41699,['right_RB'],-6.342100617000001,10.97839748
47,interesting_JJ,437,35573,['interesting_JJ'],-6.347005557,10.41679028,1098,35573,['interesting_JJ'],-5.017832688,9.883359687
48,thing_NN,2242,184439,"['thing_NNS', 'thing_NN']",-6.36221366,8.057709189,4155,184672,"['thing_NNS', 'thing_NN', 'thing_NNP']",-5.473972853999999,7.963389264
49,'d_MD,588,51923,"[""'d_MD""]",-6.464413776000001,9.988607407,2505,51923,"[""'d_MD""]",-4.373491233,8.693427137999999
50,stuff_NN,190,16792,"['stuff_NN', 'stuff_NNP']",-6.465630843,11.61842414,266,16850,"['stuff_NN', 'stuff_NNS', 'stuff_NNP']",-5.985178535,11.92873959
