,OlfN,TotalN,Tokens,OAI,OSI
attentively_RB,163,348,['attentively_RB'],-1.094215342,9.244721329
taru_NN,14,45,['taru_NNP'],-1.684498174,12.78609456
intently_RB,128,444,['intently_RB'],-1.794415866,9.593449483
stethoscope_NN,22,195,"['stethoscope_NN', 'stethoscope_NNS']",-3.147898695,12.13401786
mp3s_NN,17,196,['mp3s_NNS'],-3.527247003,12.50598664
note-taking_NN,15,187,['note-taking_NN'],-3.640003864,12.68655889
headphone_NN,60,783,"['headphone_NNS', 'headphone_NN']",-3.705977902,10.68655889
rapt_JJ,14,202,['rapt_JJ'],-3.850856561,12.78609456
prozac_NN,21,337,['prozac_NNP'],-4.004287358,12.20113206
podcasts_NN,24,386,"['podcasts_NNS', 'podcasts_NNP']",-4.007494537,12.00848698
podcast_NN,22,365,"['podcast_NNP', 'podcast_NN']",-4.052321035,12.13401786
talker_NN,14,241,"['talker_NNS', 'talker_NN']",-4.105534414,12.78609456
audiotape_NN,23,414,"['audiotape_NNS', 'audiotape_NN']",-4.169925001,12.06988753
empathetic_JJ,13,267,['empathetic_JJ'],-4.360256214,12.89300976
sermon_NN,68,1462,"['sermon_NN', 'sermon_NNS']",-4.426264755,10.50598664
assistive_JJ,40,891,['assistive_JJ'],-4.477353527,11.27152139
preaching_NN,17,403,"['preaching_NNP', 'preaching_NN', 'preaching_NNS']",-4.567173187,12.50598664
wnyc_NN,22,522,['wnyc_NNP'],-4.568474378,12.13401786
respectfully_RB,42,1003,['respectfully_RB'],-4.577788468,11.20113206
comprehension_NN,112,2795,"['comprehension_NN', 'comprehension_NNP']",-4.641277646,9.786094561
patiently_RB,37,934,['patiently_RB'],-4.657825374,11.38399612
nonverbal_JJ,15,388,['nonverbal_JJ'],-4.693022247,12.68655889
speaking_NN,256,6835,['speaking_NN'],-4.738725622,8.593449483
politely_RB,30,823,['politely_RB'],-4.777858025,11.68655889
attentive_JJ,43,1416,['attentive_JJ'],-5.041340795,11.16718473
cim_NN,14,470,['cim_NNP'],-5.069162025,12.78609456
npr_NN,24,831,['npr_NNP'],-5.113742166,12.00848698
soothing_JJ,29,1016,['soothing_JJ'],-5.130703692,11.73546849
xm_NN,12,425,['xm_NNP'],-5.14635653,13.00848698
