,OlfN,TotalN,Tokens,OAI,OSI
askance_RB,76,91,['askance_RB'],-0.259867127,12.94035224
forward_RB,10302,39341,['forward_RB'],-1.933109184,5.857642927
let_NN,386,2508,"['let_NNP', 'let_NNS', 'let_NN']",-2.699864596,10.59582271
closer_RB,700,6025,"['closer_RBR', 'closer_RB']",-3.105534414,9.73706864
bleak_JJ,100,1135,"['bleak_JJ', 'bleak_JJR', 'bleak_JJS']",-3.504620392,12.54442356
around_RB,968,12700,['around_RB'],-3.713677639,9.269416515
favorably_RB,93,1377,['favorably_RB'],-3.888154033,12.64912094
mirror_NN,408,6208,"['mirror_NN', 'mirror_NNP']",-3.9274875,10.51585441
eagerly_RB,96,1551,['eagerly_RB'],-4.01402047,12.60331725
ahead_RB,1161,20508,['ahead_RB'],-4.142746926,9.007127495
closely_RB,1260,23974,['closely_RB'],-4.249975,8.889071734
straight_RB,312,6118,['straight_RB'],-4.293442173,10.90287753
in-depth_JJ,302,5963,['in-depth_JJ'],-4.303417882,10.94987501
inside_JJ,105,2191,['inside_JJ'],-4.383128251,12.47403423
promising_JJ,285,6261,['promising_JJ'],-4.457359277,11.03346164
recruit_VB,509,11471,"['recruit_VBG', 'recruit_VBD', 'recruit_VB', 'recruit_VBN']",-4.494181699,10.19675791
shoulder_NN,403,9634,"['shoulder_NNS', 'shoulder_NN', 'shoulder_NNP']",-4.57928318,10.53364372
foolish_JJ,79,1947,['foolish_JJ'],-4.623256421,12.884499
silly_JJ,106,2652,"['silly_JJ', 'silly_JJR']",-4.644944606,12.4603593
backward_RB,115,3054,['backward_RB'],-4.730994296,12.3427897
microscope_NN,93,2490,"['microscope_NN', 'microscope_NNS']",-4.742771216,12.64912094
pale_JJ,111,2997,"['pale_JJ', 'pale_JJR']",-4.754887502,12.39386389
alike_RB,241,6558,['alike_RB'],-4.76615085,11.27539042
neat_JJ,86,2368,"['neat_JJ', 'neat_JJR']",-4.783188611,12.762015
're_VB,4486,127149,"[""'re_VBP""]",-4.824946685,7.057065847
experienced_JJ,346,9946,['experienced_JJ'],-4.845272488,10.75365152
ugly_JJ,116,3374,"['ugly_JJ', 'ugly_JJR', 'ugly_JJS']",-4.862263263,12.33029876
suspicious_JJ,122,3607,['suspicious_JJ'],-4.88584637,12.25754241
carefully_RB,646,19462,['carefully_RB'],-4.912982,9.852889397
back_RB,4550,139252,['back_RB'],-4.935687693,7.036628922
inside_RB,79,2443,['inside_RB'],-4.9506574,12.884499
pause_VB,86,2748,"['pause_VBN', 'pause_VBZ', 'pause_VB', 'pause_VBD', 'pause_VBG', 'pause_VBP']",-4.997901534,12.762015
eye_NN,1662,54343,"['eye_NN', 'eye_NNS', 'eye_NNP']",-5.031101924,8.489575085
weird_JJ,91,3011,"['weird_JJ', 'weird_JJR', 'weird_JJS']",-5.048232353,12.68048511
tired_JJ,125,4269,['tired_JJ'],-5.093898163,12.22249547
face_NN,1172,40148,"['face_NNS', 'face_NN', 'face_NNP']",-5.098283646,8.993522898
smile_VB,161,5531,"['smile_VBG', 'smile_VBZ', 'smile_VB', 'smile_VBD', 'smile_VBP']",-5.102407749,11.85736287
glance_NN,101,3743,"['glance_NN', 'glance_NNS']",-5.21176785,12.53006827
bright_JJ,388,14400,"['bright_JJ', 'bright_JJR', 'bright_JJS']",-5.213868349,10.58836691
nice_JJ,559,20786,"['nice_JJ', 'nice_JJR', 'nice_JJS']",-5.216620063,10.06157528
pretty_RB,635,23796,['pretty_RB'],-5.227818681,9.87766697
funny_JJ,158,5946,"['funny_JJ', 'funny_JJS', 'funny_JJR']",-5.233923,11.884499
auction_NN,149,5616,"['auction_NNS', 'auction_NN']",-5.2361587,11.96911123
everywhere_RB,249,9614,['everywhere_RB'],-5.270919156,11.22827782
stupid_JJ,98,3829,"['stupid_JJ', 'stupid_JJS']",-5.288042101,12.57356991
briefly_NN,77,3042,['briefly_NN'],-5.304017897,12.92149321
fresh_JJ,426,17486,"['fresh_JJ', 'fresh_JJR', 'fresh_JJS']",-5.359203063,10.45357013
picture_NN,1090,46473,"['picture_NNS', 'picture_NN', 'picture_NNP']",-5.413992739,9.098167332
clue_NN,120,5118,"['clue_NNS', 'clue_NN']",-5.414473836,12.28138916
dirty_JJ,107,4639,"['dirty_JJ', 'dirty_JJR']",-5.438131144,12.44681277
'm_VB,1742,75959,"[""'m_VBP""]",-5.446404383,8.421750843
close_JJ,919,40339,"['close_JJ', 'close_JJR', 'close_JJS']",-5.455966648,9.344358701
quick_JJ,420,18476,"['quick_JJ', 'quick_JJR', 'quick_JJS']",-5.459119313,10.47403423
elsewhere_RB,322,14397,['elsewhere_RB'],-5.48256372,10.85736287
exactly_RB,550,24624,['exactly_RB'],-5.484489708,10.08499194
