,OlfN,TotalN,Tokens,OAI,OSI
mpep_NN,244,356,['mpep_NNP'],-0.544996093,12.05328469
sidebar_NN,150,536,"['sidebar_NN', 'sidebar_NNP', 'sidebar_NNS']",-1.8372705,12.75520334
firsthand_RB,199,940,['firsthand_RB'],-2.239892326,12.34739741
fit_JJ,274,1764,['fit_JJ'],-2.686602763,11.88598994
appendix_NN,894,6712,"['appendix_NNP', 'appendix_NN', 'appendix_NNS', 'appendix_NNPS']",-2.908395979,10.179891
oracle9i_NN,162,1568,"['oracle9i_NNP', 'oracle9i_NNS']",-3.274859841,12.64417202
fit_NN,774,8181,"['fit_NN', 'fit_NNS', 'fit_NNP']",-3.401871729,10.38783227
fig_NN,628,6755,"['fig_NNP', 'fig_NNS', 'fig_NN']",-3.427119305,10.68940128
glad_JJ,509,6118,['glad_JJ'],-3.587322545,10.99250018
holy_NN,462,6124,['holy_NNP'],-3.728509526,11.13227298
've_VB,7449,106163,"[""'ve_VBP"", ""'ve_VB""]",-3.833090472,7.121190979
kan._NN,836,12167,['kan._NNP'],-3.863326736,10.27666289
figure_NN,3369,54374,"['figure_NN', 'figure_NNS', 'figure_NNP']",-4.01252463,8.265917313
supp_NN,179,3036,['supp_NNP'],-4.084140298,12.50020625
'll_MD,4199,72720,"[""'ll_MD""]",-4.114234506,7.948191953
naked_JJ,183,3221,['naked_JJ'],-4.137593107,12.46832219
surprise_VB,482,8491,"['surprise_VBN', 'surprise_VBD', 'surprise_VB', 'surprise_VBP']",-4.138829421,11.07113269
like_VB,3955,71704,"['like_VB', 'like_VBP', 'like_VBZ', 'like_VBD', 'like_VBN', 'like_VBG']",-4.180304002,8.034560047
rarely_RB,644,11926,['rarely_RB'],-4.210905743,10.65310515
ever_RB,3375,67276,['ever_RB'],-4.317132523,8.263350239
'd_MD,2505,51923,"[""'d_MD""]",-4.373491233,8.693427138
never_RB,5669,117774,['never_RB'],-4.376783003,7.515143472
'd_VB,158,3295,"[""'d_VBD""]",-4.382282002,12.68024128
k.s.a._NN,682,14382,['k.s.a._NNP'],-4.398348765,10.5703941
seldom_RB,184,3925,['seldom_RB'],-4.414914983,12.46046007
re_NN,153,3423,"['re_NN', 're_NNP']",-4.483657734,12.72663418
eye_NN,2425,54326,"['eye_NNS', 'eye_NN', 'eye_NNP']",-4.485586173,8.740252994
delighted_JJ,158,3620,['delighted_JJ'],-4.517993234,12.68024128
smell_VB,161,3705,"['smell_VBN', 'smell_VBD', 'smell_VB', 'smell_VBG', 'smell_VBP', 'smell_VBZ']",-4.524340949,12.65310515
section_NN,4916,113144,"['section_NN', 'section_NNS', 'section_NNP']",-4.524531355,7.720752826
sight_NN,541,12591,"['sight_NNS', 'sight_NN', 'sight_NNP']",-4.540620465,10.90453724
movie_NN,1312,32226,"['movie_NN', 'movie_NNS', 'movie_NNP', 'movie_NNPS']",-4.618385502,9.626470021
glance_NN,152,3743,"['glance_NN', 'glance_NNS']",-4.622051819,12.73609451
chart_NN,557,13951,"['chart_NN', 'chart_NNS', 'chart_NNP', 'chart_NNPS']",-4.6465474,10.86248851
clearly_RB,1792,45340,['clearly_RB'],-4.661141849,9.176667104
pleased_JJ,341,8896,['pleased_JJ'],-4.705313144,11.5703941
icon_NN,287,7521,"['icon_NN', 'icon_NNS']",-4.711801855,11.8191151
mirror_NN,236,6208,"['mirror_NN', 'mirror_NNP']",-4.717269793,12.10137898
differently_RB,304,8036,['differently_RB'],-4.724334335,11.73609451
please_VB,2392,63260,"['please_VB', 'please_VBN', 'please_VBZ', 'please_VBG', 'please_VBD', 'please_VBP']",-4.725004261,8.760020352
sad_JJ,230,6169,"['sad_JJ', 'sad_JJS', 'sad_JJR']",-4.74533088,12.13853197
