,OlfN,TotalN,Tokens,OAI,OSI
saltiness_NN,10,46,['saltiness_NN'],-2.201633861,12.20838679
odour_NN,74,373,"['odour_NNS', 'odour_NN']",-2.333578455,9.32086152
smell_NN,328,3290,"['smell_NN', 'smell_NNP']",-3.326319864,7.172762881
sweeter_RB,9,101,['sweeter_RBR'],-3.488286481,12.36038988
cognizable_JJ,14,163,['cognizable_JJ'],-3.541373232,11.72295996
salty_NN,40,491,['salty_NN'],-3.617651119,10.20838679
smell_VB,297,3701,"['smell_VBP', 'smell_VBD', 'smell_VB', 'smell_VBZ', 'smell_VBG', 'smell_VBN']",-3.639380299,7.315995765
acrid_JJ,8,114,['acrid_JJ'],-3.832890014,12.53031489
tangy_JJ,12,173,['tangy_JJ'],-3.849665727,11.94535238
bud_NN,211,3100,"['bud_NNS', 'bud_NN', 'bud_NNP']",-3.876953311,7.809215697
seasoning_NN,22,327,"['seasoning_NNS', 'seasoning_NN']",-3.893715207,11.07088327
tactile_JJ,49,779,['tactile_JJ'],-3.990769674,9.915605041
morsel_NN,21,338,"['morsel_NNS', 'morsel_NN', 'morsel_NNPS']",-4.008562014,11.13799746
bitter_JJ,222,3726,"['bitter_JJ', 'bitter_JJS']",-4.068996093,7.735899019
sour_JJ,57,1043,['sour_JJ'],-4.193633428,9.697424871
margarita_NN,8,158,"['margarita_NNS', 'margarita_NN']",-4.303780748,12.53031489
pepper_NN,192,3794,"['pepper_NN', 'pepper_NNS', 'pepper_NNP']",-4.304541463,7.945352385
fishy_JJ,9,179,"['fishy_JJ', 'fishy_JJR']",-4.313890776,12.36038988
savor_VB,35,867,"['savor_VBD', 'savor_VBG', 'savor_VB', 'savor_VBP', 'savor_VBN']",-4.630605166,10.40103187
aroma_NN,38,977,"['aroma_NN', 'aroma_NNS']",-4.684287239,10.28238737
wine_NN,525,14439,"['wine_NN', 'wine_NNS', 'wine_NNP']",-4.781509596,6.494141273
odor_NN,122,3374,"['odor_NN', 'odor_NNS', 'odor_NNP']",-4.789506921,8.599577548
impeccable_JJ,17,546,['impeccable_JJ'],-5.0052943,11.44285204
arbiter_NN,16,525,"['arbiter_NNS', 'arbiter_NN']",-5.036173613,11.53031489
sweeten_VB,12,400,"['sweeten_VB', 'sweeten_VBN', 'sweeten_VBG']",-5.058893689,11.94535238
foul_JJ,41,1531,['foul_JJ'],-5.222706563,10.17276288
tart_JJ,9,339,['tart_JJ'],-5.235216462,12.36038988
eclectic_JJ,33,1304,['eclectic_JJ'],-5.304334035,10.48592077
pungent_JJ,10,396,['pungent_JJ'],-5.307428525,12.20838679
disagreeable_JJ,11,441,['disagreeable_JJ'],-5.325203227,12.07088327
