,OlfN,TotalN,Tokens,OAI,OSI
finishing_JJ,84,121,['finishing_JJ'],-0.526545814,9.808906733
fondling_NN,13,23,"['fondling_NNP', 'fondling_NN']",-0.823122238,12.50078444
midas_NN,20,89,"['midas_NNP', 'midas_NNPS']",-2.153805336,11.87929606
cognize_VB,10,78,"['cognize_VBG', 'cognize_VBN']",-2.963474124,12.87929606
lewd_JJ,25,212,['lewd_JJ'],-3.084064265,11.55736797
therapeutic_NN,22,196,['therapeutic_NNP'],-3.155278225,11.74179254
cognizable_JJ,13,163,['cognizable_JJ'],-3.648288436,12.50078444
deft_JJ,18,229,['deft_JJ'],-3.669278787,12.03129915
fondle_VB,15,223,"['fondle_VBD', 'fondle_VBN', 'fondle_VBG', 'fondle_VB']",-3.894009304,12.29433356
typist_NN,15,244,"['typist_NNS', 'typist_NN']",-4.023846742,12.29433356
lightness_NN,16,303,['lightness_NN'],-4.243173983,12.20122416
reiki_NN,10,200,"['reiki_NNP', 'reiki_NN']",-4.321928095,12.87929606
genitals_NN,21,431,['genitals_NNS'],-4.359226636,11.80890673
tasting_NN,51,1213,"['tasting_NN', 'tasting_NNP']",-4.571938493,10.52879881
smell_NN,136,3290,"['smell_NN', 'smell_NNP']",-4.596409027,9.113761314
smell_VB,126,3702,"['smell_VBP', 'smell_VBN', 'smell_VBG', 'smell_VBD', 'smell_VB', 'smell_VBZ']",-4.876809256,9.223944232
crowning_JJ,10,323,['crowning_JJ'],-5.01346226,12.87929606
stroke_VB,11,360,"['stroke_VBG', 'stroke_VBD', 'stroke_VBN']",-5.032421478,12.74179254
caress_VB,10,334,"['caress_VBZ', 'caress_VBG', 'caress_VB', 'caress_VBP', 'caress_VBD', 'caress_VBN']",-5.061776198,12.87929606
hug_VB,19,654,"['hug_VBG', 'hug_VBD']",-5.105219312,11.95329664
inappropriately_RB,23,836,['inappropriately_RB'],-5.183797176,11.6776622
lightly_RB,69,2761,['lightly_RB'],-5.322450716,10.0926997
briefly_NN,70,3042,['briefly_NN'],-5.441521421,10.07194114
tactile_JJ,17,779,['tactile_JJ'],-5.518016677,12.11376131
unwelcome_JJ,17,830,['unwelcome_JJ'],-5.609504685,12.11376131
chord_NN,34,1715,"['chord_NN', 'chord_NNS', 'chord_NNP']",-5.65653002,11.11376131
taste_VB,54,2821,"['taste_VBD', 'taste_VB', 'taste_VBP', 'taste_VBZ', 'taste_VBN']",-5.707103448,10.44633665
tt_NN,11,606,['tt_NNP'],-5.783742365,12.74179254
kiss_VB,44,2524,"['kiss_VB', 'kiss_VBG', 'kiss_VBD', 'kiss_VBN', 'kiss_VBP']",-5.842064576,10.74179254
sens_NN,60,3703,['sens_NNS'],-5.947588239,10.29433356
healing_NN,89,5567,"['healing_NN', 'healing_NNP', 'healing_NNS']",-5.966950937,9.725490724
sensation_NN,80,5199,"['sensation_NN', 'sensation_NNS']",-6.022090345,9.87929606
pad_NN,66,4317,"['pad_NN', 'pad_NNS', 'pad_NNP', 'pad_NNPS']",-6.031419258,10.15683004
