,OlfN,TotalN,Tokens,OAI,OSI
confidence_NN,149,19187,"['confidence_NN', 'confidence_NNS']",-7.008673014,11.53308144
hot_JJ,186,23908,"['hot_JJ', 'hot_JJS']",-7.006047016,11.21309115
home_NN,1297,161002,"['home_NN', 'home_NNS', 'home_NNP', 'home_NNPS']",-6.95575632,8.411287197
heavy_JJ,194,23971,"['heavy_JJ', 'heavy_JJR', 'heavy_JJS']",-6.949089633,11.15233712
obligation_NN,194,23818,"['obligation_NNS', 'obligation_NN']",-6.939851812,11.15233712
mind_NN,555,67930,"['mind_NN', 'mind_NNS', 'mind_NNP']",-6.935417272,9.635906
stress_NN,162,19687,['stress_NN'],-6.92510566,11.41239996
respect_VB,108,12471,"['respect_VBN', 'respect_VBP', 'respect_VBG', 'respect_VB', 'respect_VBZ', 'respect_VBD']",-6.851402031,11.99736246
finger_NN,90,10143,"['finger_NNS', 'finger_NN']",-6.816343705,12.26039687
abandon_VB,125,13733,"['abandon_VBN', 'abandon_VBD', 'abandon_VBG', 'abandon_VB', 'abandon_VBP', 'abandon_VBZ']",-6.779574914,11.78646568
heat_NN,202,22046,"['heat_NN', 'heat_NNP']",-6.770017815,11.09403848
ready_JJ,262,28337,['ready_JJ'],-6.756976408,10.71882696
soul_NN,146,15153,"['soul_NNS', 'soul_NN', 'soul_NNP']",-6.697491268,11.5624254
nice_JJ,201,20786,"['nice_JJ', 'nice_JJR', 'nice_JJS']",-6.692272845,11.10119827
body_NN,1006,104015,"['body_NN', 'body_NNS', 'body_NNPS', 'body_NNP']",-6.692017479,8.777835372
cool_JJ,131,13272,"['cool_JJ', 'cool_JJR', 'cool_JJS']",-6.662675169,11.71882696
skin_NN,214,21649,"['skin_NN', 'skin_NNS']",-6.660545779,11.01078298
unable_JJ,211,21020,['unable_JJ'],-6.63837586,11.03115077
amazing_JJ,99,9595,['amazing_JJ'],-6.598710471,12.12289334
soft_JJ,146,13854,"['soft_JJ', 'soft_JJR', 'soft_JJS']",-6.5681904,11.5624254
bind_VB,144,13604,"['bind_VBN', 'bind_VBZ', 'bind_VBD']",-6.561818289,11.58232496
desire_NN,252,23027,"['desire_NN', 'desire_NNS']",-6.513758922,10.77497004
passion_NN,118,10714,"['passion_NN', 'passion_NNS']",-6.504566531,11.86960691
relief_NN,194,17057,"['relief_NN', 'relief_NNP']",-6.458163464,11.15233712
stress_VB,136,11957,"['stress_VBZ', 'stress_VBD', 'stress_VBN', 'stress_VB', 'stress_VBP']",-6.458105002,11.66478712
need_NN,1800,156259,"['need_NN', 'need_NNS', 'need_NNP']",-6.43979857,7.938468771
ought_MD,124,10253,['ought_MD'],-6.369562169,11.79805365
wonderful_JJ,213,17574,['wonderful_JJ'],-6.366445358,11.01754034
weak_JJ,172,14158,"['weak_JJ', 'weak_JJR', 'weak_JJS']",-6.363065105,11.32598521
inner_JJ,124,10206,['inner_JJ'],-6.362933616,11.79805365
leg_NN,170,13974,"['leg_NNS', 'leg_NN']",-6.361066489,11.34285903
emotional_JJ,196,15822,['emotional_JJ'],-6.334934512,11.13754012
alone_RB,425,34279,['alone_RB'],-6.333718372,10.02093093
earthquake_NN,158,12743,"['earthquake_NN', 'earthquake_NNP', 'earthquake_NNS']",-6.333636593,11.44846921
comfort_NN,121,9744,"['comfort_NN', 'comfort_NNS']",-6.331435181,11.83338672
satisfaction_NN,153,12283,"['satisfaction_NN', 'satisfaction_NNS']",-6.326987504,11.49486212
competent_JJ,93,7191,['competent_JJ'],-6.272817883,12.21309115
love_NN,446,34187,"['love_NN', 'love_NNP']",-6.260260308,9.951350062
depression_NN,163,12437,"['depression_NN', 'depression_NNP', 'depression_NNS']",-6.253622752,11.40352181
accomplishment_NN,119,8686,"['accomplishment_NN', 'accomplishment_NNS']",-6.189658474,11.8574322
tension_NN,133,9413,"['tension_NNS', 'tension_NN']",-6.145156444,11.69696753
self_NN,232,16201,"['self_NN', 'self_NNS', 'self_NNP']",-6.12581425,10.89426897
