,OlfN,TotalN,Tokens,OAI,OSI
require_VB,115,263902,"['require_VBZ', 'require_VBD', 'require_VB', 'require_VBN', 'require_VBP', 'require_VBG']",-11.16415271,11.90675991
development_NN,109,245569,"['development_NN', 'development_NNS', 'development_NNP']",-11.1375846,11.98406564
research_NN,181,316061,"['research_NNP', 'research_NN']",-10.76999761,11.25240407
center_NN,109,172544,"['center_NNP', 'center_NN', 'center_NNS', 'center_NNPS']",-10.62842046,11.98406564
study_NN,160,245016,"['study_NNPS', 'study_NNS', 'study_NN', 'study_NNP']",-10.58058834,11.43032187
use_NN,137,209283,"['use_NN', 'use_NNP']",-10.57706352,11.65421788
system_NN,303,454632,"['system_NNP', 'system_NN', 'system_NNS', 'system_NNPS']",-10.55116573,10.50907598
provide_VB,362,540414,"['provide_VB', 'provide_VBN', 'provide_VBD', 'provide_VBZ', 'provide_VBG', 'provide_VBP']",-10.54385964,10.25240407
law_NN,142,211470,"['law_NN', 'law_NNS', 'law_NNP']",-10.54034637,11.60250284
computer_NN,87,128693,"['computer_NN', 'computer_NNP', 'computer_NNS']",-10.53063056,12.30930647
source_NN,87,126422,"['source_NN', 'source_NNS', 'source_NNP']",-10.50494452,12.30930647
service_NN,314,442476,"['service_NN', 'service_NNS', 'service_NNPS', 'service_NNP']",-10.46061893,10.45762921
serve_VB,92,127550,"['serve_VBZ', 'serve_VB', 'serve_VBG', 'serve_VBD', 'serve_VBP', 'serve_VBN']",-10.43714142,12.22868801
plan_NN,103,142105,"['plan_NN', 'plan_NNS', 'plan_NNP']",-10.43009726,12.06574943
include_VB,390,529151,"['include_VBP', 'include_VB', 'include_VBG', 'include_VBZ', 'include_VBN', 'include_VBD']",-10.40598963,10.14491965
market_NN,108,144099,"['market_NN', 'market_NNS', 'market_NNP']",-10.3818133,11.99736246
health_NN,151,201102,"['health_NN', 'health_NNP']",-10.37916316,11.51384522
science_NN,97,125188,"['science_NNS', 'science_NN', 'science_NNP']",-10.33382391,12.15233712
number_NN,211,268825,"['number_NNS', 'number_NN']",-10.3152086,11.03115077
university_NN,199,252977,"['university_NNP', 'university_NN', 'university_NNS']",-10.31202208,11.11562534
management_NN,130,163898,"['management_NN', 'management_NNP']",-10.30007091,11.72988215
field_NN,117,144039,"['field_NNS', 'field_NN', 'field_NNP']",-10.26573524,11.88188524
period_NN,97,118831,"['period_NN', 'period_NNS']",-10.25863888,12.15233712
agency_NN,95,115738,"['agency_NNS', 'agency_NN', 'agency_NNP', 'agency_NNPS']",-10.25064749,12.18239435
technology_NN,145,173078,"['technology_NN', 'technology_NNP', 'technology_NNS']",-10.22115374,11.57234087
education_NN,173,206400,"['education_NN', 'education_NNP']",-10.22045522,11.31762173
set_VB,123,146067,"['set_VBG', 'set_VB', 'set_VBD', 'set_VBP', 'set_VBN', 'set_VBZ']",-10.21375625,11.80973546
national_JJ,91,107748,['national_JJ'],-10.20950692,12.24445532
major_JJ,111,131407,['major_JJ'],-10.20926674,11.9578341
web_NN,105,124251,"['web_NNP', 'web_NN']",-10.20865242,12.03800444
base_VB,131,152541,"['base_VBN', 'base_VB']",-10.18541454,11.71882696
court_NN,161,186109,"['court_NN', 'court_NNS', 'court_NNP']",-10.17487142,11.42133308
policy_NN,179,201461,"['policy_NNS', 'policy_NN', 'policy_NNP']",-10.13632528,11.26843418
purpose_NN,87,97845,"['purpose_NN', 'purpose_NNS']",-10.13526701,12.30930647
county_NN,91,101818,"['county_NNP', 'county_NN', 'county_NNS']",-10.12783847,12.24445532
appear_VB,92,101457,"['appear_VBP', 'appear_VBZ', 'appear_VB', 'appear_VBD', 'appear_VBG', 'appear_VBN']",-10.10694693,12.22868801
program_NN,466,513286,"['program_NN', 'program_NNS', 'program_NNP']",-10.10521724,9.888063817
information_NN,392,430385,"['information_NN', 'information_NNP']",-10.10055843,10.13754012
consider_VB,148,161984,"['consider_VB', 'consider_VBN', 'consider_VBZ', 'consider_VBG', 'consider_VBP', 'consider_VBD']",-10.09603843,11.5427966
name_NN,113,123086,"['name_NNS', 'name_NN']",-10.08912819,11.932071
report_NN,149,157513,"['report_NN', 'report_NNS', 'report_NNP']",-10.04594286,11.53308144
identify_VB,114,120425,"['identify_VB', 'identify_VBN', 'identify_VBZ', 'identify_VBP', 'identify_VBG', 'identify_VBD']",-10.04488538,11.91935995
act_NN,102,106540,"['act_NN', 'act_NNS', 'act_NNP']",-10.02861032,12.07982462
material_NN,133,138503,"['material_NNS', 'material_NN']",-10.02427526,11.69696753
various_JJ,94,97198,['various_JJ'],-10.01405016,12.19766111
specific_JJ,98,100721,['specific_JJ'],-10.00529514,12.13754012
office_NN,160,162664,"['office_NN', 'office_NNP', 'office_NNS']",-9.989607376,11.43032187
build_VB,109,110745,"['build_VBN', 'build_VBG', 'build_VB', 'build_VBP', 'build_VBZ', 'build_VBD']",-9.988697714,11.98406564
building_NN,93,93646,"['building_NN', 'building_NNS', 'building_NNP']",-9.975770941,12.21309115
united_NN,124,124464,['united_NNP'],-9.971172681,11.79805365
communication_NN,98,97781,"['communication_NN', 'communication_NNS', 'communication_NNP', 'communication_NNPS']",-9.962556695,12.13754012
business_NN,248,245578,"['business_NN', 'business_NNS', 'business_NNP']",-9.951625487,10.79805365
addition_NN,110,108804,"['addition_NN', 'addition_NNS']",-9.950012357,11.97089025
training_NN,104,102744,['training_NN'],-9.948254903,12.05181024
practice_NN,118,116250,"['practice_NN', 'practice_NNS']",-9.944228141,11.86960691
project_NN,235,230039,"['project_NN', 'project_NNS', 'project_NNP', 'project_NNPS']",-9.935001999,10.87573302
director_NN,92,89486,"['director_NN', 'director_NNP', 'director_NNS']",-9.925812415,12.22868801
amount_NN,100,97261,"['amount_NN', 'amount_NNS']",-9.925717615,12.10839377
design_NN,110,106824,"['design_NN', 'design_NNS', 'design_NNP']",-9.923516573,11.97089025
late_JJ,88,85029,"['late_JJ', 'late_JJS']",-9.916235732,12.29281834
reduce_VB,112,106452,"['reduce_VBN', 'reduce_VB', 'reduce_VBG', 'reduce_VBD', 'reduce_VBZ', 'reduce_VBP']",-9.892488608,11.94489504
local_JJ,175,163779,['local_JJ'],-9.870179747,11.30103885
test_NN,116,108325,"['test_NN', 'test_NNS']",-9.867025716,11.89426897
exist_VB,119,110604,"['exist_VB', 'exist_VBZ', 'exist_VBG', 'exist_VBD', 'exist_VBP', 'exist_VBN']",-9.860226273,11.8574322
paper_NN,120,111272,"['paper_NN', 'paper_NNS', 'paper_NNP']",-9.856840484,11.84535937
page_NN,106,98076,"['page_NN', 'page_NNS', 'page_NNP']",-9.853692065,12.02432951
large_JJ,224,206532,"['large_JJR', 'large_JJ', 'large_JJS']",-9.848650882,10.94489504
institution_NN,89,81686,"['institution_NN', 'institution_NNS', 'institution_NNP']",-9.842067788,12.27651653
care_NN,165,151098,"['care_NN', 'care_NNP']",-9.838802825,11.38592775
goal_NN,106,96746,"['goal_NNS', 'goal_NN', 'goal_NNP']",-9.833993939,12.02432951
new_NN,142,128408,['new_NNP'],-9.820628442,11.60250284
type_NN,152,137145,"['type_NN', 'type_NNS', 'type_NNP']",-9.817414987,11.50432245
water_NN,181,163195,"['water_NN', 'water_NNS', 'water_NNP']",-9.816391444,11.25240407
department_NN,205,184694,"['department_NNP', 'department_NN', 'department_NNS']",-9.815297374,11.07276986
product_NN,192,170736,"['product_NNS', 'product_NN', 'product_NNPS']",-9.796445259,11.16728746
line_NN,141,125281,"['line_NN', 'line_NNS', 'line_NNP']",-9.795256755,11.61269861
performance_NN,129,113967,"['performance_NN', 'performance_NNS', 'performance_NNPS', 'performance_NNP']",-9.787029361,11.74102271
site_NN,224,196588,"['site_NNS', 'site_NN', 'site_NNP']",-9.777460813,10.94489504
state_NN,599,520935,"['state_NN', 'state_NNP', 'state_NNPS', 'state_NNS']",-9.764331652,9.525837769
seek_VB,101,87684,"['seek_VB', 'seek_VBG', 'seek_VBN', 'seek_VBD', 'seek_VBP', 'seek_VBZ']",-9.76181451,12.09403848
order_NN,203,176068,"['order_NN', 'order_NNS', 'order_NNP']",-9.760437283,11.08691404
course_NN,269,232622,"['course_NN', 'course_NNS', 'course_NNP']",-9.756165657,10.6807876
process_NN,272,234491,"['process_NN', 'process_NNS']",-9.751710185,10.66478712
pay_VB,150,129044,"['pay_VBN', 'pay_VB', 'pay_VBP', 'pay_VBG', 'pay_VBD', 'pay_VBZ']",-9.748684848,11.52343127
college_NN,144,123594,"['college_NN', 'college_NNP', 'college_NNS']",-9.745324181,11.58232496
use_VB,879,746384,"['use_VBG', 'use_VB', 'use_VBZ', 'use_VBD', 'use_VBN', 'use_VBP']",-9.729839179,8.972530607
significant_JJ,99,83319,['significant_JJ'],-9.717001284,12.12289334
maintain_VB,102,85836,"['maintain_VB', 'maintain_VBG', 'maintain_VBN', 'maintain_VBZ', 'maintain_VBP', 'maintain_VBD']",-9.716869885,12.07982462
follow_VB,193,162387,"['follow_VBD', 'follow_VBP', 'follow_VBG', 'follow_VB', 'follow_VBZ', 'follow_VBN']",-9.716619578,11.15979292
receive_VB,219,183455,"['receive_VB', 'receive_VBZ', 'receive_VBD', 'receive_VBG', 'receive_VBN', 'receive_VBP']",-9.71027964,10.9774629
offer_VB,227,189675,"['offer_VBP', 'offer_VBZ', 'offer_VB', 'offer_VBG', 'offer_VBD', 'offer_VBN']",-9.706621525,10.92570147
perform_VB,111,91668,"['perform_VBN', 'perform_VBG', 'perform_VB', 'perform_VBZ', 'perform_VBP', 'perform_VBD']",-9.689714711,11.9578341
form_NN,185,151061,"['form_NNS', 'form_NN']",-9.673390256,11.2208685
case_NN,336,274112,"['case_NN', 'case_NNS', 'case_NNP']",-9.672088539,10.35993254
month_NN,164,133147,"['month_NNS', 'month_NN', 'month_NNP']",-9.665108393,11.39469796
activity_NN,214,172639,"['activity_NN', 'activity_NNS']",-9.655931901,11.01078298
year_NN,786,631244,"['year_NN', 'year_NNS', 'year_NNP']",-9.649452742,9.133864459
administration_NN,94,75286,"['administration_NN', 'administration_NNP', 'administration_NNS']",-9.645505138,12.19766111
term_NN,162,129641,"['term_NNS', 'term_NN']",-9.644312526,11.41239996
message_NN,91,72796,"['message_NN', 'message_NNS']",-9.643776919,12.24445532
factor_NN,108,86183,"['factor_NNS', 'factor_NN', 'factor_NNP']",-9.640228196,11.99736246
