,OlfN,TotalN,Tokens,OAI,OSI
world_NN,342,247454,"['world_NN', 'world_NNP', 'world_NNS']",-9.498948322562143,10.013236955796705
will_MD,3598,1291763,['will_MD'],-8.4879305008532,6.61810999943112
be_VB,27262,12013340,"['be_VB', 'be_VBD', 'be_VBP', 'be_VBZ', 'be_VBN', 'be_VBG']",-8.783530190407784,3.696485685841097
various_JJ,150,97198,['various_JJ'],-9.339820317496072,11.202270780186721
day_NN,1233,295723,"['day_NN', 'day_NNS', 'day_NNP']",-7.905929844163615,8.163132386279763
have_VB,15693,3348595,"['have_VB', 'have_VBZ', 'have_VBD', 'have_VBP', 'have_VBG', 'have_VBN']",-7.737290911969033,4.4932559152834495
express_VB,143,43340,"['express_VB', 'express_VBN', 'express_VBD', 'express_VBZ', 'express_VBG', 'express_VBP']",-8.243540196202646,11.271218133904213
last_JJ,705,165179,['last_JJ'],-7.872191308813263,8.969610023396447
year_NN,668,631244,"['year_NN', 'year_NNS', 'year_NNP']",-9.884133951904442,9.04738517820855
too_RB,346,133368,['too_RB'],-8.59042479803492,9.996461243045877
public_JJ,2116,181476,['public_JJ'],-6.4222953283376505,7.383965558568576
officer_NN,1028,70096,"['officer_NN', 'officer_NNS', 'officer_NNP', 'officer_NNPS']",-6.0914199501290724,8.425464921488723
comment_NN,470,44860,"['comment_NNS', 'comment_NN']",-6.576625053408635,9.554572524117603
've_VB,3480,106163,"[""'ve_VBP"", ""'ve_VB""]",-4.9310499283983455,6.666217879946512
again_RB,759,98799,['again_RB'],-7.024252743693511,8.863133395267136
know_VB,705,344117,"['know_VB', 'know_VBZ', 'know_VBP', 'know_VBN', 'know_VBG', 'know_VBD']",-8.931060192721265,8.969610023396447
do_VB,3597,1263000,"['do_VBZ', 'do_VBG', 'do_VBP', 'do_VB', 'do_VBD', 'do_VBN']",-8.455844764314259,6.618511026547222
n't_RB,2728,485391,"[""n't_RB""]",-7.475159904054667,7.01746154165843
few_JJ,401,157512,"['few_JJ', 'few_JJR']",-8.617643792029407,9.783631044227683
word_NN,1211,103898,"['word_NNS', 'word_NN', 'word_NNP']",-6.422825207879189,8.189106320988273
start_VB,219,136995,"['start_VBD', 'start_VBP', 'start_VBG', 'start_VB', 'start_VBN', 'start_VBZ']",-9.288976653956912,10.656302411081429
congress_NN,157,44786,"['congress_NNP', 'congress_NNS']",-8.156139450281652,11.136468721790974
plan_NN,193,142105,"['plan_NN', 'plan_NNS', 'plan_NNP']",-9.524140754228657,10.838632433414523
even_RB,934,284686,['even_RB'],-8.251733282155076,8.563810730972941
mr._NN,387,74530,['mr._NNP'],-7.589343883064402,9.834899714538192
president_NN,304,140373,"['president_NNP', 'president_NNS', 'president_NN', 'president_NNPS']",-8.85097842860121,10.183161957239017
correctly_RB,46,10409,['correctly_RB'],-7.82198189805301,12.907527514625588
seem_VB,248,125877,"['seem_VBP', 'seem_VB', 'seem_VBD', 'seem_VBZ', 'seem_VBN', 'seem_VBG']",-8.987458864761912,10.476893160295727
