,OlfN,TotalN,Tokens,OAI,OSI
have_VB,2026,3353309,"['have_VBP', 'have_VBD', 'have_VBZ', 'have_VB', 'have_VBG', 'have_VBN']",-10.692735540934065,5.609031024260055
'll_MD,138,72720,"[""'ll_MD""]",-9.041540122303301,9.484925026283024
tune_VB,24,4497,"['tune_VB', 'tune_VBN', 'tune_VBP', 'tune_VBG', 'tune_VBD']",-7.5497846679478595,12.008486982340036
thank_VB,29,21543,"['thank_VB', 'thank_VBP', 'thank_VBG', 'thank_VBD']",-9.536950552769735,11.735468487933622
're_VB,220,127149,"[""'re_VBP""]",-9.174800876493343,8.812089769536533
will_MD,1179,1291763,['will_MD'],-10.09756196912492,6.39010148008143
individual_NN,34,94030,"['individual_NNS', 'individual_NN']",-11.433370656218928,11.505986641810853
require_VB,103,263900,"['require_VBZ', 'require_VBP', 'require_VB', 'require_VBN', 'require_VBD', 'require_VBG']",-11.323131297917774,9.906948955877974
stop_VB,164,53617,"['stop_VBP', 'stop_VBD', 'stop_VB', 'stop_VBG', 'stop_VBZ', 'stop_VBN']",-8.352850874255498,9.235897478443109
know_VB,266,344114,"['know_VB', 'know_VBN', 'know_VBP', 'know_VBZ', 'know_VBG', 'know_VBD']",-10.337244627086374,8.538167047560004
hope_NN,17,27620,"['hope_NN', 'hope_NNS', 'hope_NNP']",-10.665962857895074,12.505986641810853
someone_NN,171,52973,['someone_NN'],-8.275117079218521,9.175596968175295
might_MD,152,148989,['might_MD'],-9.936918780061395,9.345521969617607
intently_RB,128,444,['intently_RB'],-1.794415866350106,9.593449483061192
headphone_NN,60,783,"['headphone_NNS', 'headphone_NN']",-3.7059779016825223,10.686558887452675
be_VB,6449,12047117,"['be_VBP', 'be_VBZ', 'be_VBG', 'be_VBD', 'be_VB', 'be_VBN']",-10.867324845883132,3.938589728853799
willing_JJ,213,22873,['willing_JJ'],-6.746648359934437,8.858739862835355
comment_NN,60,44860,"['comment_NNS', 'comment_NN']",-9.546251404365115,10.686558887452675
let_VB,144,85723,"['let_VB', 'let_VBG', 'let_VBZ', 'let_VBP', 'let_VBD']",-9.217469718198453,9.42352448161888
try_VB,206,149035,"['try_VB', 'try_VBP', 'try_VBN', 'try_VBD', 'try_VBG', 'try_VBZ']",-9.498791126241823,8.906948955877974
well_RB,341,358664,"['well_RB', 'well_RBR']",-10.038645491076325,8.179821554037021
do_VB,1158,1263643,"['do_VBP', 'do_VBD', 'do_VBN', 'do_VBG', 'do_VBZ', 'do_VB']",-10.091737967257629,6.416029945071957
n't_RB,827,485391,"[""n't_RB""]",-9.197044313907565,6.901705963889918
think_VB,231,247379,"['think_VB', 'think_VBP', 'think_VBG', 'think_VBD', 'think_VBZ', 'think_VBN']",-10.064614468170278,8.741700441645134
america_NN,46,82277,"['america_NNP', 'america_NNPS']",-10.804639614486694,11.06988752700418
voice_NN,351,50142,"['voice_NNS', 'voice_NN', 'voice_NNP']",-7.158404700940008,8.138122262756632
anymore_RB,15,5119,['anymore_RB'],-8.414755695382862,12.686558887452675
consider_VB,54,161976,"['consider_VB', 'consider_VBD', 'consider_VBG', 'consider_VBZ', 'consider_VBN', 'consider_VBP']",-11.550533036950984,10.838561980897724
land_NN,17,75018,"['land_NN', 'land_NNS', 'land_NNP']",-12.107486339174471,12.505986641810853
everybody_NN,33,9945,['everybody_NN'],-8.235361536362653,11.54905536370274
inspire_VB,22,12216,"['inspire_VBD', 'inspire_VBN', 'inspire_VB', 'inspire_VBP']",-9.117052728159555,12.134017864423896
as_RB,229,311769,['as_RB'],-10.41091417059852,8.754245694964249
soul_NN,22,15181,"['soul_NN', 'soul_NNS', 'soul_NNP']",-9.430547587734265,12.134017864423896
make_VB,452,745576,"['make_VBN', 'make_VBZ', 'make_VBP', 'make_VB', 'make_VBD', 'make_VBG']",-10.687816932584823,7.7732705206460055
understand_VB,172,109638,"['understand_VB', 'understand_VBN', 'understand_VBD', 'understand_VBG', 'understand_VBP', 'understand_VBZ']",-9.31612363582389,9.167184728359095
move_VB,61,113004,"['move_VB', 'move_VBG', 'move_VBP', 'move_VBN', 'move_VBZ', 'move_VBD']",-10.855276977461541,10.662712145498306
conference_NN,38,71533,"['conference_NN', 'conference_NNP', 'conference_NNS']",-10.878393813633968,11.345521969617607
participant_NN,52,51572,"['participant_NNS', 'participant_NN']",-9.953860656802618,10.8930097649201
speaker_NN,157,24828,"['speaker_NNS', 'speaker_NN', 'speaker_NNP']",-7.305059681689539,9.298828734169566
once_RB,86,104838,['once_RB'],-10.251537456407577,10.167184728359095
again_RB,150,98799,['again_RB'],-9.363390128613096,9.364630792565311
prepare_VB,34,61665,"['prepare_VBN', 'prepare_VB', 'prepare_VBG', 'prepare_VBZ']",-10.824701410922117,11.505986641810853
positive_JJ,16,42655,['positive_JJ'],-11.380427243072095,12.593449483061192
fellow_JJ,17,10559,['fellow_JJ'],-9.278722747677804,12.505986641810853
american_NN,38,69273,"['american_NNPS', 'american_NNP']",-10.832078019965081,11.345521969617607
not_RB,1175,1598943,['not_RB'],-10.410242037619971,6.3950044416088305
such_JJ,165,456483,['such_JJ'],-11.433879393626396,9.227127268815376
people_NN,818,460329,"['people_NNS', 'people_NNP']",-9.136348774428987,6.917492450119444
million_NN,33,18617,['million_NNS'],-9.139938871550413,11.54905536370274
's_VB,255,382576,"[""'s_VBZ""]",-10.551033410041365,8.599096046202336
time_NN,563,661907,"['time_NN', 'time_NNS', 'time_NNP']",-10.199277890470558,7.456458370980963
carefully_RB,427,19462,['carefully_RB'],-5.510280095300762,7.855357223440703
remark_NN,17,6403,['remark_NNS'],-8.557069453375105,12.505986641810853
reflect_VB,31,51672,"['reflect_VBP', 'reflect_VBZ', 'reflect_VB', 'reflect_VBD', 'reflect_VBN', 'reflect_VBG']",-10.702898794501515,11.639253172674318
committee_NN,20,115065,"['committee_NNS', 'committee_NN', 'committee_NNP']",-12.490161446683961,12.27152138817383
concern_NN,173,76356,"['concern_NNS', 'concern_NN']",-8.785825679336142,9.158821255424469
nonverbal_JJ,15,388,['nonverbal_JJ'],-4.693022246578609,12.686558887452675
communication_NN,149,92910,"['communication_NN', 'communication_NNS', 'communication_NNP']",-9.28437774282102,9.374280962599032
write_VB,517,190387,"['write_VBN', 'write_VBG', 'write_VBD', 'write_VB', 'write_VBP', 'write_VBZ']",-8.524554976066932,7.5794290127462585
oral_JJ,76,18719,['oral_JJ'],-7.944288231925911,10.345521969617607
state_NN,74,520995,"['state_NN', 'state_NNPS', 'state_NNP', 'state_NNS']",-12.781456635803357,10.383996117432243
believe_VB,89,123018,"['believe_VB', 'believe_VBP', 'believe_VBG', 'believe_VBZ', 'believe_VBD', 'believe_VBN']",-10.43277646969173,10.117716052094796
just_RB,637,295583,['just_RB'],-8.85805420967214,7.278299920804892
online_JJ,16,30903,['online_JJ'],-10.915459278359846,12.593449483061192
support_NN,50,172301,"['support_NN', 'support_NNS']",-11.750715359358171,10.949593293286467
group_NN,202,278460,"['group_NNS', 'group_NN', 'group_NNP']",-10.428899095026916,8.935238000309399
speech_NN,144,30821,"['speech_NN', 'speech_NNS']",-7.741701049552185,9.42352448161888
learn_VB,407,153392,"['learn_VBN', 'learn_VB', 'learn_VBG', 'learn_VBP', 'learn_VBD', 'learn_VBZ']",-8.557978732716164,7.924564498794946
body_NN,84,102209,"['body_NN', 'body_NNS']",-10.248845289848338,10.201132060282433
important_JJ,82,185000,['important_JJ'],-11.139613740560316,10.235897478443109
welcome_VB,14,16065,"['welcome_VBG', 'welcome_VB', 'welcome_VBZ', 'welcome_VBN', 'welcome_VBP', 'welcome_VBD']",-10.16427843830117,12.786094561003589
always_RB,165,108913,['always_RB'],-9.36649442651555,9.227127268815376
worth_JJ,61,18263,['worth_JJ'],-8.22589881331217,10.662712145498306
give_VB,304,365527,"['give_VB', 'give_VBP', 'give_VBZ', 'give_VBG', 'give_VBN', 'give_VBD']",-10.23169093715022,8.345521969617607
ask_VB,222,146080,"['ask_VBP', 'ask_VBD', 'ask_VB', 'ask_VBN', 'ask_VBG', 'ask_VBZ']",-9.361983278521478,8.799033616711087
explain_VB,59,62478,"['explain_VB', 'explain_VBD', 'explain_VBG', 'explain_VBP', 'explain_VBZ']",-10.048417601909117,10.710806433699352
should_MD,379,429613,['should_MD'],-10.146624085901353,8.027395444890102
'm_VB,128,75959,"[""'m_VBP""]",-9.21293329208613,9.593449483061192
go_VB,314,400053,"['go_VBG', 'go_VB', 'go_VBD', 'go_VBP', 'go_VBN', 'go_VBZ']",-10.315210869975063,8.298828734169566
can_MD,1109,1016448,['can_MD'],-9.840061330054844,6.478405832899483
help_VB,186,248777,"['help_VB', 'help_VBG', 'help_VBN', 'help_VBD', 'help_VBZ', 'help_VBP']",-10.3853347745217,9.054290671953162
answer_VB,44,30041,"['answer_VB', 'answer_VBN', 'answer_VBD', 'answer_VBG', 'answer_VBZ', 'answer_VBP']",-9.415213598765286,11.134017864423896
question_NN,202,172726,"['question_NNS', 'question_NN', 'question_NNP']",-9.739914256067628,8.935238000309399
complaint_NN,63,32672,"['complaint_NNS', 'complaint_NN']",-9.018487227377886,10.616169559561277
advise_VB,28,25780,"['advise_VBP', 'advise_VBN', 'advise_VBD', 'advise_VB', 'advise_VBZ', 'advise_VBG']",-9.84660972119141,11.786094561003589
could_MD,305,353052,['could_MD'],-10.176855731480487,8.340784050610944
radio_NN,649,31532,"['radio_NN', 'radio_NNP', 'radio_NNS']",-5.602454391199631,7.2513748150620545
idea_NN,145,107315,"['idea_NN', 'idea_NNS', 'idea_NNP']",-9.531583127926778,9.413540393046258
knowledge_NN,36,102677,['knowledge_NN'],-11.4778285222056,11.42352448161888
art_NN,54,119445,"['art_NN', 'art_NNP', 'art_NNS']",-11.111099435727017,10.838561980897724
active_JJ,144,45103,['active_JJ'],-8.29101077480685,9.42352448161888
lesson_NN,30,22961,"['lesson_NNS', 'lesson_NN']",-9.580007259736075,11.686558887452675
intend_VB,20,39522,"['intend_VBN', 'intend_VBD', 'intend_VBG', 'intend_VBZ', 'intend_VB']",-10.948440240619934,12.27152138817383
set_NN,24,67969,"['set_NN', 'set_NNS', 'set_NNP']",-11.467626776019143,12.008486982340036
