,OlfN,TotalN,Tokens,OAI,OSI
have_VB,39299,3349901,"['have_VBP', 'have_VB', 'have_VBG', 'have_VBZ', 'have_VBD', 'have_VBN']",-6.413482047627422,4.7218170441549345
effort_NN,617,128187,"['effort_NNS', 'effort_NN', 'effort_NNP']",-7.6987637546971355,10.714895346774316
national_JJ,289,107748,['national_JJ'],-8.542375882439734,11.809096343423056
people_NN,6712,461707,"['people_NNS', 'people_NNPS', 'people_NNP']",-6.104091079437616,7.271495025483911
move_VB,759,113004,"['move_VB', 'move_VBN', 'move_VBG', 'move_VBD', 'move_VBZ', 'move_VBP']",-7.218058239608961,10.416065950508267
society_NN,361,91134,"['society_NNS', 'society_NNP', 'society_NN']",-7.979846743464952,11.488166999036563
want_VB,5844,231443,"['want_VBP', 'want_VB', 'want_VBD', 'want_VBZ', 'want_VBN', 'want_VBG']",-5.307556940571154,7.471281563120236
past_NN,226,28258,"['past_NNS', 'past_NN', 'past_NNP']",-6.966192777633143,12.163843063508546
understand_VB,566,109637,"['understand_VBN', 'understand_VB', 'understand_VBP', 'understand_VBG', 'understand_VBZ', 'understand_VBD']",-7.597716988920503,10.839363783091851
truth_NN,437,29735,"['truth_NN', 'truth_NNS', 'truth_NNP', 'truth_NNPS']",-6.088384985762968,11.212532556423136
ability_NN,552,83245,"['ability_NN', 'ability_NNS', 'ability_NNP']",-7.23655154400222,10.875497569145566
be_VB,90023,12025872,"['be_VBP', 'be_VBZ', 'be_VB', 'be_VBG', 'be_VBD', 'be_VBN']",-7.061632149677301,3.5260160033015033
not_RB,14987,1598943,['not_RB'],-6.737263076629219,6.11259802348062
menu_NN,200,16552,"['menu_NN', 'menu_NNP', 'menu_NNS']",-6.370861740085285,12.34016583614901
flash_NN,206,10800,"['flash_NNP', 'flash_NN', 'flash_NNS']",-5.712243164754975,12.297521498740515
will_MD,13037,1291763,['will_MD'],-6.630585669540045,6.313697723359097
process_NN,871,237658,"['process_NN', 'process_NNS', 'process_NNP']",-8.091998532031404,10.217493117324869
think_VB,2301,247459,"['think_VBP', 'think_VB', 'think_VBD', 'think_VBN', 'think_VBG', 'think_VBZ']",-6.748784719701731,8.815976757699644
everywhere_RB,299,9614,['everywhere_RB'],-5.006919413939791,11.760020351725629
freedom_NN,184,41683,"['freedom_NN', 'freedom_NNS', 'freedom_NNP']",-7.823609538185847,12.460460069866722
friend_NN,983,76913,"['friend_NNS', 'friend_NN', 'friend_NNPS', 'friend_NNP']",-6.289892239412019,10.042974419583153
mean_VB,766,123582,"['mean_VBZ', 'mean_VBP', 'mean_VB', 'mean_VBN', 'mean_VBD', 'mean_VBG']",-7.333908519234478,10.402821443998777
lot_NN,1500,93937,"['lot_NN', 'lot_NNS', 'lot_NNP']",-5.9686591141592515,9.43327524054049
here_RB,3276,161482,['here_RB'],-5.623294193021473,8.306302384282725
may_MD,4079,560505,['may_MD'],-7.102367925332493,7.990022234131211
range_NN,309,81616,"['range_NN', 'range_NNS', 'range_NNP']",-8.045101357492568,11.71255899801936
also_RB,7557,693842,['also_RB'],-6.520649740205524,7.100424118468337
sign_NN,943,34382,"['sign_NNS', 'sign_NN', 'sign_NNP']",-5.188251887662363,10.102908065248638
symptom_NN,194,26146,"['symptom_NNS', 'symptom_NN', 'symptom_NNPS']",-7.074389787025038,12.384109183736607
like_VB,3955,71704,"['like_VB', 'like_VBP', 'like_VBZ', 'like_VBD', 'like_VBN', 'like_VBG']",-4.180304001950497,8.03456004656358
'd_MD,2505,51923,"[""'d_MD""]",-4.373491233049048,8.693427137841164
first_JJ,2752,298610,['first_JJ'],-6.76163819970428,8.557757271221636
've_VB,7449,106163,"[""'ve_VBP"", ""'ve_VB""]",-3.833090472236439,7.121190979025737
do_VB,16379,1263400,"['do_VBD', 'do_VB', 'do_VBN', 'do_VBP', 'do_VBZ', 'do_VBG']",-6.269320389435734,5.984462368704337
hope_NN,323,27620,"['hope_NN', 'hope_NNS', 'hope_NNP']",-6.418035344451488,11.64863167122981
president_NN,494,140373,"['president_NNP', 'president_NNS', 'president_NN', 'president_NNPS']",-8.150538710460117,11.035654794339056
tremendous_JJ,213,9919,['tremendous_JJ'],-5.541269344749784,12.249312405697896
amount_NN,251,97202,"['amount_NNS', 'amount_NN', 'amount_NNPS']",-8.59715482420748,12.012478471972962
such_JJ,1935,456483,['such_JJ'],-7.882083756840439,9.065904174891962
change_NN,2031,178284,"['change_NNS', 'change_NN', 'change_NNP']",-6.455843185036184,8.996047501627581
audience_NN,456,35849,"['audience_NN', 'audience_NNS', 'audience_NNP']",-6.29675524121112,11.151132011758992
entire_JJ,366,51648,['entire_JJ'],-7.1407250249937375,11.468322187639691
story_NN,858,85787,"['story_NN', 'story_NNS', 'story_NNP']",-6.643637583055481,10.239188188424189
present_JJ,315,65689,['present_JJ'],-7.704156164371766,11.684814007536456
run_VB,788,119825,"['run_VBG', 'run_VB', 'run_VBP', 'run_VBD', 'run_VBN', 'run_VBZ']",-7.2485175949373115,10.361970206467358
need_NN,1270,155921,"['need_NN', 'need_NNS']",-6.939842941246207,9.673409244264207
time_NN,5175,661907,"['time_NN', 'time_NNS', 'time_NNP']",-6.998925855276738,7.646678878649684
night_NN,670,64324,"['night_NN', 'night_NNS', 'night_NNP', 'night_NNPS']",-6.585052217772327,10.5960047405786
still_RB,2004,168901,['still_RB'],-6.39715155106693,9.015355232728526
service_NN,1157,442476,"['service_NN', 'service_NNS', 'service_NNPS', 'service_NNP']",-8.579066530536279,9.807848876816244
could_MD,10404,353052,['could_MD'],-5.084670479987744,6.639171341980743
improvement_NN,676,44046,"['improvement_NN', 'improvement_NNS', 'improvement_NNP']",-6.025843951239517,10.58314258964155
presentation_NN,176,40093,"['presentation_NN', 'presentation_NNS', 'presentation_NNP', 'presentation_NNPS']",-7.831631133581477,12.524590407286437
one_NN,1304,71471,"['one_NN', 'one_NNS', 'one_NNPS']",-5.7763421994731505,9.635293871692657
real_JJ,957,84721,['real_JJ'],-6.468056883271465,10.081646911437709
well_RB,1999,358657,"['well_RBR', 'well_RB']",-7.487182506184154,9.018959269179106
son_NN,397,31756,"['son_NN', 'son_NNS', 'son_NNP']",-6.321746383817044,11.351026828780777
sight_NN,541,12591,"['sight_NNS', 'sight_NN', 'sight_NNP']",-4.54062046478025,10.90453724209692
fun_NN,201,21199,"['fun_NN', 'fun_NNP']",-6.720656899901081,12.332970334744806
period_NN,524,119510,"['period_NN', 'period_NNS', 'period_NNP']",-7.833348813672787,10.950599024386284
go_VB,5482,400055,"['go_VBG', 'go_VB', 'go_VBD', 'go_VBP', 'go_VBZ', 'go_VBN']",-6.189352218542433,7.563535413097959
become_VB,866,229428,"['become_VBD', 'become_VB', 'become_VBN', 'become_VBP', 'become_VBG', 'become_VBZ']",-8.04945873212773,10.22579881119701
clear_JJ,515,73259,"['clear_JJ', 'clear_JJR', 'clear_JJS']",-7.1522897655839355,10.975593403853154
ca_MD,1736,49576,['ca_MD'],-4.8358030205271305,9.222470793479255
n't_RB,11897,485391,"[""n't_RB""]",-5.350477630481157,6.445711823326051
'm_VB,1014,75959,"[""'m_VBP""]",-6.22709135508279,9.998180088920394
product_NN,774,173374,"['product_NN', 'product_NNS', 'product_NNPS', 'product_NNP']",-7.8073382795769595,10.387832269779324
consumer_NN,311,60187,"['consumer_NN', 'consumer_NNS', 'consumer_NNP']",-7.59639351731963,11.703251255793132
never_RB,5669,117774,['never_RB'],-4.3767830029847925,7.515143472104308
look_VB,3598,204454,"['look_VB', 'look_VBP', 'look_VBG', 'look_VBD', 'look_VBZ', 'look_VBN']",-5.828437291648593,8.171042554672251
can_MD,26329,1016448,['can_MD'],-5.270739873147087,5.299656918854266
effect_NN,1116,134609,"['effect_NNS', 'effect_NN', 'effect_NNPS']",-6.914294034824001,9.859900714094547
write_VB,762,190355,"['write_VBN', 'write_VBP', 'write_VBZ', 'write_VBD', 'write_VBG', 'write_VB']",-7.964685752196785,10.410374838430412
tax_NN,520,135077,"['tax_NNS', 'tax_NN', 'tax_NNP']",-8.021054704607984,10.96165421289528
share_NN,207,32276,"['share_NN', 'share_NNS', 'share_NNP']",-7.284687216968843,12.29053506842441
wife_NN,308,30371,"['wife_NN', 'wife_NNS', 'wife_NNP']",-6.6236202505304655,11.717235485228834
wait_VB,1324,41252,"['wait_VBG', 'wait_VB', 'wait_VBD', 'wait_VBZ', 'wait_VBN', 'wait_VBP']",-4.961489039255477,9.613334619116516
moment_NN,475,40629,"['moment_NN', 'moment_NNS', 'moment_NNP']",-6.41843853234008,11.092238322705423
