,OlfN,TotalN,Tokens,OAI,OSI
unpleasant_JJ,32,3193,['unpleasant_JJ'],-6.640696837570093,9.1527601687754
be_VB,1223,12061312,"['be_VBP', 'be_VBZ', 'be_VBD', 'be_VB', 'be_VBN', 'be_VBG']",-13.267674824293787,3.8965514802480126
use_VB,66,746430,"['use_VBG', 'use_VBN', 'use_VB', 'use_VBP', 'use_VBZ', 'use_VBD']",-13.465253326237828,8.108366049416945
test_NN,22,72513,['test_NN'],-11.68652042299485,9.693328550138101
other_JJ,61,743117,['other_JJ'],-13.572492510532957,8.222022831212513
would_MD,83,653954,['would_MD'],-12.9437902012813,7.777720737428475
touch_NN,135,13184,"['touch_NN', 'touch_NNP', 'touch_NNS']",-6.609684930132388,7.075944571724569
vision_NN,20,29707,"['vision_NN', 'vision_NNS']",-10.536587204757867,9.830832073888038
taste_NN,427,10719,"['taste_NN', 'taste_NNS']",-4.649790439685936,5.414667909154909
blood_NN,41,47861,"['blood_NN', 'blood_NNP']",-10.189010915559743,8.795208164157316
strongly_RB,40,19288,['strongly_RB'],-8.913487840715163,8.830832073888038
attract_VB,19,20006,"['attract_VBN', 'attract_VBD', 'attract_VBZ', 'attract_VBG', 'attract_VB']",-10.040217609709835,9.904832655331814
poor_JJ,12,42633,"['poor_JJ', 'poor_JJR']",-11.79472045730255,10.567797668054244
loss_NN,26,45988,['loss_NN'],-10.788530118251598,9.452320450634307
cooking_NN,25,5490,['cooking_NN'],-7.778734244117836,9.508903979000674
smoke_NN,149,9434,"['smoke_NN', 'smoke_NNP']",-5.984485365067435,6.9335916483132385
avoid_VB,10,41640,"['avoid_VB', 'avoid_VBP', 'avoid_VBG']",-12.023754353299417,10.830832073888038
have_VB,383,3349208,"['have_VB', 'have_VBZ', 'have_VBP', 'have_VBD', 'have_VBG', 'have_VBN']",-13.094187963697705,5.571559586850443
sweet_JJ,155,7186,"['sweet_JJ', 'sweet_JJS', 'sweet_JJR']",-5.534848814727926,6.876635763501162
least_JJ,13,109037,['least_JJS'],-13.034018530368586,10.452320450634307
scent_NN,40,1511,"['scent_NN', 'scent_NNS']",-5.2393598502774665,8.830832073888038
actually_RB,18,66434,['actually_RB'],-11.849709159999758,9.982835167333088
touch_VB,129,12904,"['touch_VBP', 'touch_VBN', 'touch_VBG', 'touch_VBD', 'touch_VB']",-6.644303467732389,7.141532913352146
so_RB,109,406888,['so_RB'],-11.866087882527205,7.384575843998473
much_JJ,8,120610,['much_JJ'],-13.879990003169915,11.1527601687754
fluid_NN,9,10178,"['fluid_NN', 'fluid_NNS']",-10.143241474534886,10.982835167333088
heat_NN,10,20768,['heat_NN'],-11.020146573111775,10.830832073888038
good_JJ,150,320345,"['good_JJ', 'good_JJR']",-11.060448256785858,6.923941478279518
food_NN,79,104759,"['food_NNS', 'food_NN', 'food_NNP']",-10.372933919564801,7.848979420598297
look_VB,99,200159,"['look_VBP', 'look_VBG', 'look_VB', 'look_VBD', 'look_VBZ']",-10.981430341246531,7.52340354869579
n't_RB,157,485391,"[""n't_RB""]",-11.594167084187212,6.858139419883773
strong_JJ,118,80342,"['strong_JJ', 'strong_JJR']",-9.411223705862344,7.270117119413558
special_JJ,10,103348,['special_JJ'],-13.33522284941585,10.830832073888038
