,OlfN,TotalN,Tokens,OAI,OSI
region_NN,11,83286,"['region_NNP', 'region_NNS', 'region_NN']",-12.88635476637031,12.070883266841133
will_MD,317,1291763,['will_MD'],-11.992570941965274,7.221975855339022
give_VB,318,365520,"['give_VB', 'give_VBD', 'give_VBZ', 'give_VBP', 'give_VBN', 'give_VBG']",-10.166707866811455,7.217431930194074
participant_NN,9,44071,['participant_NNS'],-12.257617010794029,12.360389884036117
loss_NN,29,45988,['loss_NN'],-10.630988841265118,10.672333890350858
sensitivity_NN,14,8226,"['sensitivity_NN', 'sensitivity_NNS']",-9.198620434442779,11.722959963420825
recipe_NN,34,5162,"['recipe_NNS', 'recipe_NN']",-7.24625158484363,10.44285204422809
try_VB,62,142312,"['try_VB', 'try_VBD', 'try_VBP', 'try_VBG', 'try_VBN']",-11.16450148164565,9.576118575091554
vegetable_NN,53,11625,"['vegetable_NN', 'vegetable_NNS', 'vegetable_NNP']",-7.777022641206919,9.80239443091523
treat_VB,55,37745,"['treat_VBN', 'treat_VB', 'treat_VBZ']",-9.422638212370845,9.74895517195377
event_NN,42,129497,"['event_NN', 'event_NNS']",-11.590241727676014,10.13799746269967
valley_NN,10,19093,"['valley_NNP', 'valley_NN']",-10.898828089608143,12.208386790591067
be_VB,3131,12051505,"['be_VBD', 'be_VB', 'be_VBZ', 'be_VBP', 'be_VBN', 'be_VBG']",-11.910302193499634,3.91790709233976
adjust_VB,41,15276,"['adjust_VB', 'adjust_VBP', 'adjust_VBG', 'adjust_VBN']",-8.541427200004431,10.172762880860347
serve_VB,101,127550,"['serve_VB', 'serve_VBG', 'serve_VBN', 'serve_VBD', 'serve_VBZ', 'serve_VBP']",-10.302491890625403,8.872103402726635
preference_NN,94,14501,"['preference_NNS', 'preference_NN']",-7.269275920890992,8.975726033800793
may_MD,153,560505,['may_MD'],-11.838979874432365,8.272927042785778
explain_VB,10,59064,"['explain_VB', 'explain_VBG', 'explain_VBZ', 'explain_VBD']",-12.528063348291953,12.208386790591067
test_NN,69,108325,"['test_NN', 'test_NNS']",-10.616482254268425,9.42179042870026
