,OlfN,TotalN,Tokens,OAI,OSI
have_VB,2270,3349682,"['have_VBP', 'have_VBZ', 'have_VBN', 'have_VB', 'have_VBD', 'have_VBG']",-10.527116127850883,5.052747573102071
write_VB,34,190325,"['write_VBN', 'write_VBD', 'write_VBP', 'write_VBZ', 'write_VB', 'write_VBG']",-12.450642711388616,11.11376131403001
work_NN,124,322334,"['work_NNS', 'work_NN', 'work_NNP']",-11.344000536885186,9.247027844893474
heart_NN,269,58852,"['heart_NNS', 'heart_NN', 'heart_NNPS', 'heart_NNP']",-7.773341460991521,8.129761792723723
firm_NN,19,45997,"['firm_NN', 'firm_NNS']",-11.241324635400254,11.953296641836763
must_MD,106,307229,['must_MD'],-11.501034421419424,9.47330370071715
never_RB,318,117774,['never_RB'],-8.532778601519864,7.888341199995993
lose_VB,368,74259,"['lose_VB', 'lose_VBD', 'lose_VBP', 'lose_VBN', 'lose_VBG', 'lose_VBZ']",-7.656716310934554,7.677662199223335
human_JJ,258,131679,['human_JJ'],-8.995438503776082,8.189996899857094
quality_NN,25,126228,"['quality_NNS', 'quality_NN', 'quality_NNP']",-12.30181625029583,11.557367965505623
believe_VB,35,122999,"['believe_VBP', 'believe_VB', 'believe_VBD', 'believe_VBZ', 'believe_VBN', 'believe_VBG']",-11.779004043780706,11.071941138335381
've_VB,150,106163,"[""'ve_VBP"", ""'ve_VB""]",-9.467102828638556,8.972405464784467
only_RB,320,395986,['only_RB'],-10.273161804582589,7.879296060392986
edge_NN,49,22886,"['edge_NN', 'edge_NNS']",-8.867467867072238,10.58651431116514
possibility_NN,11,33030,"['possibility_NNS', 'possibility_NN']",-11.55205773053559,12.74179253664305
say_VB,276,605149,"['say_VBD', 'say_VBP', 'say_VB', 'say_VBZ', 'say_VBG', 'say_VBN']",-11.09840642466565,8.092699698502178
issue_NN,325,243718,"['issue_NNS', 'issue_NN']",-9.550557372985404,7.856928247364531
be_VB,5810,11988490,"['be_VBG', 'be_VBP', 'be_VBZ', 'be_VBN', 'be_VB', 'be_VBD']",-11.010824172695166,3.6969017069884567
raise_VB,22,59732,"['raise_VBN', 'raise_VBG', 'raise_VBD', 'raise_VB', 'raise_VBP']",-11.406784789100156,11.74179253664305
power_NN,48,131478,"['power_NN', 'power_NNS', 'power_NNP']",-11.41949938961199,10.616261654559192
earth_NN,49,41195,"['earth_NNP', 'earth_NN']",-9.715471777868203,10.58651431116514
draw_VB,17,48856,"['draw_VBD', 'draw_VBN', 'draw_VBZ', 'draw_VBG', 'draw_VB']",-11.488785288592911,12.11376131403001
so_RB,399,406888,['so_RB'],-9.994027271081785,7.5609792190580025
long_RB,27,61718,['long_RB'],-11.158516188859883,11.44633665311688
could_MD,305,353052,['could_MD'],-10.176855731480487,7.948558722830099
grow_VB,29,111576,"['grow_VBD', 'grow_VBN', 'grow_VBP', 'grow_VBG', 'grow_VBZ', 'grow_VB']",-11.909686216112549,11.343243160152776
hope_NN,21,27617,"['hope_NNS', 'hope_NN', 'hope_NNP']",-10.360951566729021,11.808906732501587
stay_VB,547,45965,"['stay_VBP', 'stay_VBD', 'stay_VBG', 'stay_VB', 'stay_VBN', 'stay_VBZ']",-6.392851097361786,7.105827132487791
good_JJ,84,320345,"['good_JJ', 'good_JJR']",-11.896949524502977,9.808906732501587
people_NN,484,459734,['people_NNS'],-9.891576602941731,7.282360918005754
future_NN,23,59447,"['future_NN', 'future_NNP']",-11.335754429521744,11.677662199223334
teach_VB,13,46371,"['teach_VBP', 'teach_VB', 'teach_VBD', 'teach_VBN']",-11.800495500466813,12.500784437139256
great_JJ,87,213398,"['great_JJ', 'great_JJR', 'great_JJS']",-11.260243633646377,9.75828065943162
pride_NN,14,7136,['pride_NN'],-8.993544977862701,12.393869233222745
pain_NN,40,34929,"['pain_NN', 'pain_NNS']",-9.770209624340398,10.879296060392985
act_NN,20,106514,"['act_NNS', 'act_NNP', 'act_NN']",-12.378755447588716,11.879296060392985
life_NN,658,245527,"['life_NNS', 'life_NN', 'life_NNP']",-8.543578383588812,6.839280381545106
important_JJ,75,185000,['important_JJ'],-11.268347054682518,9.972405464784467
leader_NN,29,79019,"['leader_NNS', 'leader_NN', 'leader_NNP']",-11.411930973281505,11.343243160152776
as_RB,154,311769,['as_RB'],-10.983331418000562,8.934437614585446
get_VB,1097,394516,"['get_VB', 'get_VBN', 'get_VBG', 'get_VBD', 'get_VBP', 'get_VBZ']",-8.490376475432221,6.101876344877155
representative_NN,17,46220,"['representative_NNP', 'representative_NNS', 'representative_NN']",-11.408766798104654,12.11376131403001
use_VB,258,746332,"['use_VBD', 'use_VB', 'use_VBN', 'use_VBP', 'use_VBZ', 'use_VBG']",-11.498230763976206,8.189996899857094
pass_VB,30,76120,"['pass_VBN', 'pass_VB', 'pass_VBD', 'pass_VBZ', 'pass_VBP', 'pass_VBG']",-11.309097345552866,11.294333559671829
reality_NN,152,30089,"['reality_NN', 'reality_NNS']",-7.62902102598368,8.953296641836763
're_VB,90,127149,"[""'re_VBP""]",-10.46430749368833,9.709371058950673
american_JJ,60,112789,['american_JJ'],-10.876376251358563,10.294333559671829
house_NN,32,108242,"['house_NNP', 'house_NNS', 'house_NN']",-11.723900875953928,11.201224155280348
out_RB,21,14738,['out_RB'],-9.45493571554208,11.808906732501587
close_JJ,130,40339,"['close_JJ', 'close_JJR', 'close_JJS']",-8.277519886641358,9.178856342251894
wish_VB,15,35608,"['wish_VB', 'wish_VBG', 'wish_VBP', 'wish_VBD']",-11.213023189843751,12.294333559671829
woman_NN,117,214566,"['woman_NN', 'woman_NNS', 'woman_NNP']",-10.840697240465405,9.330859435696944
most_JJ,58,192008,['most_JJS'],-11.692825901296736,10.343243160152776
closely_RB,23,23974,['closely_RB'],-10.025621062505218,11.677662199223334
many_JJ,370,408899,['many_JJ'],-10.110003548546077,7.669842694764036
force_NN,27,92059,"['force_NN', 'force_NNP', 'force_NNS']",-11.735383648615208,11.44633665311688
strategy_NN,18,70504,"['strategy_NNS', 'strategy_NN']",-11.935492488334308,12.031299153838036
paper_NN,53,111273,"['paper_NN', 'paper_NNP', 'paper_NNS']",-11.035823590167166,10.47330370071715
briefly_RB,54,4023,['briefly_RB'],-6.219168520462161,10.44633665311688
few_JJ,130,157512,"['few_JJ', 'few_JJR']",-10.242734405455872,9.178856342251894
surface_NN,115,48737,"['surface_NN', 'surface_NNS']",-8.727239777484808,9.355734104335973
press_VB,36,11682,"['press_VBG', 'press_VBP', 'press_VB', 'press_VBN', 'press_VBD']",-8.342074667999139,11.031299153838036
shoulder_NN,71,9574,"['shoulder_NN', 'shoulder_NNS']",-7.075158971215084,10.051477035775665
anyone_NN,73,45556,['anyone_NN'],-9.285528898850115,10.01139959640033
cancer_NN,25,53789,"['cancer_NN', 'cancer_NNS', 'cancer_NNP']",-11.071167357574607,11.557367965505623
add_VB,338,127341,"['add_VBG', 'add_VBN', 'add_VB', 'add_VBZ', 'add_VBD', 'add_VBP']",-8.55745803691713,7.800344718998164
certain_JJ,39,85945,['certain_JJ'],-11.10572387153622,10.9158219364181
discussion_NN,37,74964,"['discussion_NNS', 'discussion_NNP', 'discussion_NN']",-10.98445694965772,10.991770789651397
today_NN,45,108930,['today_NN'],-11.241188714079051,10.709371058950673
area_NN,159,294865,"['area_NNS', 'area_NN']",-10.85681210613973,8.888341199995994
call_VB,57,188226,"['call_VBD', 'call_VBN', 'call_VBZ', 'call_VBG', 'call_VBP', 'call_VB']",-11.689216384195463,10.368334141115607
literally_RB,21,7659,['literally_RB'],-8.510622900349516,11.808906732501587
piece_NN,46,47305,"['piece_NN', 'piece_NNS']",-10.006143103758363,10.677662199223334
world_NN,142,247454,"['world_NN', 'world_NNP', 'world_NNS']",-10.767053717943359,9.051477035775665
reach_VB,198,69894,"['reach_VB', 'reach_VBD', 'reach_VBZ', 'reach_VBG', 'reach_VBP', 'reach_VBN']",-8.46352437327118,8.571867535200738
whole_JJ,24,52919,['whole_JJ'],-11.106535678376252,11.616261654559192
administration_NN,12,73572,"['administration_NN', 'administration_NNP']",-12.581906689308767,12.616261654559192
deeply_RB,131,12093,"['deeply_RB', 'deeply_RBR']",-6.528461567034785,9.167801153742898
last_JJ,94,165179,['last_JJ'],-10.779081904421782,9.64663530360271
item_NN,25,64532,"['item_NNS', 'item_NN']",-11.333870928496724,11.557367965505623
wo_MD,55,25043,['wo_MD'],-8.83076006479185,10.419864441755688
n't_RB,733,485391,"[""n't_RB""]",-9.371118444945028,6.683554767146536
such_JJ,235,456483,['such_JJ'],-10.923684661307211,8.324707208715349
security_NN,36,118378,"['security_NNP', 'security_NN']",-11.68311646071798,11.031299153838036
economic_JJ,18,95236,['economic_JJ'],-12.369294405463064,12.031299153838036
will_MD,639,1291763,['will_MD'],-10.981237851157687,6.881552034333353
service_NN,94,442725,"['service_NNS', 'service_NNP', 'service_NN', 'service_NNPS']",-12.20146246526581,9.64663530360271
find_VB,103,370191,"['find_VB', 'find_VBN', 'find_VBD', 'find_VBG', 'find_VBP', 'find_VBZ']",-11.811409768412373,9.51472362809713
data_NN,39,279822,"['data_NNS', 'data_NNP', 'data_NN']",-12.808747649253688,10.9158219364181
collection_NN,15,69736,"['collection_NN', 'collection_NNS']",-12.182725398619587,12.294333559671829
high_JJ,99,282619,"['high_JJ', 'high_JJS', 'high_JJR']",-11.479142313250398,9.571867535200738
percent_NN,13,138290,['percent_NN'],-13.376897592668323,12.500784437139256
possible_JJ,35,134409,['possible_JJ'],-11.906987201416902,11.071941138335381
might_MD,92,148989,['might_MD'],-10.661284337447968,9.677662199223334
can_MD,731,1016448,['can_MD'],-10.441377384264117,6.6874965593279105
order_NN,39,170920,"['order_NN', 'order_NNS']",-12.097559477706225,10.9158219364181
mind_NN,93,67918,"['mind_NNS', 'mind_NN', 'mind_NNP']",-9.512347544520756,9.662065344172317
briefly_NN,70,3042,['briefly_NN'],-5.44152142077953,10.071941138335381
eat_VB,27,36193,"['eat_VBP', 'eat_VBG', 'eat_VBN', 'eat_VB', 'eat_VBD']",-10.388535573539166,11.44633665311688
permit_VB,13,35083,"['permit_VBP', 'permit_VBN', 'permit_VBD', 'permit_VB', 'permit_VBG', 'permit_VBZ']",-11.398044781484813,12.500784437139256
year_NN,100,630913,"['year_NNS', 'year_NN', 'year_NNP']",-12.623225362576578,9.557367965505623
tap_VB,11,6503,"['tap_VB', 'tap_VBG', 'tap_VBD', 'tap_VBP']",-9.20745808980296,12.74179253664305
ball_NN,91,16330,"['ball_NN', 'ball_NNS']",-7.4874425302503615,9.693429515081652
light_JJ,169,32034,"['light_JJ', 'light_JJS', 'light_JJR']",-7.5664368981034835,8.800344718998163
source_NN,34,126424,"['source_NNS', 'source_NN', 'source_NNP']",-11.860448000136964,11.11376131403001
try_VB,154,149039,"['try_VBG', 'try_VB', 'try_VBD', 'try_VBP', 'try_VBZ', 'try_VBN']",-9.918543833183207,8.934437614585446
information_NN,67,430385,"['information_NN', 'information_NNP']",-12.64917908119811,10.135134964822576
keep_VB,1056,148052,"['keep_VB', 'keep_VBP', 'keep_VBG', 'keep_VBZ', 'keep_VBN', 'keep_VBD']",-7.131350334756896,6.156830035921895
sea_NN,10,27325,"['sea_NN', 'sea_NNP']",-11.416005780559267,12.879296060392985
mystery_NN,10,7336,"['mystery_NN', 'mystery_NNS']",-9.518849828707692,12.879296060392985
god_NN,50,44629,"['god_NNP', 'god_NNS', 'god_NN']",-9.801837670323625,10.557367965505623
go_VB,185,399864,"['go_VB', 'go_VBG', 'go_VBZ', 'go_VBD', 'go_VBP', 'go_VBN']",-11.077768414199918,8.669842694764036
begin_VB,68,163690,"['begin_VBG', 'begin_VBZ', 'begin_VBD', 'begin_VB', 'begin_VBN', 'begin_VBP']",-11.233143821882601,10.11376131403001
detect_VB,16,21205,"['detect_VBD', 'detect_VBP', 'detect_VB', 'detect_VBN', 'detect_VBG']",-10.372116862483796,12.201224155280348
just_RB,366,295583,['just_RB'],-9.657503933644398,7.685524316996306
color_NN,58,51186,"['color_NN', 'color_NNS']",-9.785480653778317,10.343243160152776
live_VB,33,105429,"['live_VBP', 'live_VBG', 'live_VB', 'live_VBZ', 'live_VBD']",-11.641518113908493,11.156830035921894
cut_VB,10,30195,"['cut_VBZ', 'cut_VB', 'cut_VBG', 'cut_VBD']",-11.560093957642495,12.879296060392985
think_VB,127,247441,"['think_VBD', 'think_VBP', 'think_VB', 'think_VBN', 'think_VBG', 'think_VBZ']",-10.928040356677002,9.212539468508181
would_MD,389,653954,['would_MD'],-10.715203287642034,7.597597810294156
again_RB,135,98799,['again_RB'],-9.515393222058146,9.124408558229517
want_VB,243,231444,"['want_VBP', 'want_VB', 'want_VBD', 'want_VBZ', 'want_VBG', 'want_VBN']",-9.895491133234236,8.276411651674566
state_NN,51,520730,"['state_NNPS', 'state_NN', 'state_NNP', 'state_NNS']",-13.317750657312294,10.528798813308853
basket_NN,11,3897,"['basket_NNS', 'basket_NN']",-8.46871659753174,12.74179253664305
almost_RB,133,72588,['almost_RB'],-9.092161010569281,9.145941719779158
aspect_NN,127,52498,"['aspect_NN', 'aspect_NNS', 'aspect_NNP']",-8.691290154698082,9.212539468508181
attempt_VB,25,31905,"['attempt_VBG', 'attempt_VBZ', 'attempt_VBN', 'attempt_VB', 'attempt_VBD']",-10.317638723794467,11.557367965505623
put_VB,582,129821,"['put_VBN', 'put_VB', 'put_VBD', 'put_VBZ', 'put_VBG', 'put_VBP']",-7.801288905815655,7.0163488123720645
talk_VB,39,66728,"['talk_VBG', 'talk_VB', 'talk_VBD', 'talk_VBP', 'talk_VBN']",-10.740602424116695,10.9158219364181
'm_VB,48,75959,"[""'m_VBP""]",-10.627970791364975,10.616261654559192
support_NN,29,170334,"['support_NN', 'support_NNPS']",-12.520025916295863,11.343243160152776
facility_NN,14,81344,"['facility_NN', 'facility_NNS']",-12.504393392947355,12.393869233222745
allow_VB,108,209589,"['allow_VBZ', 'allow_VBN', 'allow_VB', 'allow_VBD', 'allow_VBG', 'allow_VBP']",-10.922315973204569,9.44633665311688
ship_NN,21,19724,"['ship_NNS', 'ship_NN']",-9.87534711472236,11.808906732501587
nerve_NN,63,8108,"['nerve_NN', 'nerve_NNS', 'nerve_NNP']",-7.007850449966982,10.22394423178043
way_NN,272,331260,"['way_NN', 'way_NNS', 'way_NNP']",-10.250141640150119,8.11376131403001
feel_VB,242,85314,"['feel_VBP', 'feel_VB', 'feel_VBZ', 'feel_VBG']",-8.461631649038365,8.282360918005754
stomach_NN,10,5736,"['stomach_NN', 'stomach_NNS']",-9.163901213814542,12.879296060392985
something_NN,148,102998,['something_NN'],-9.442803432448438,8.991770789651397
see_VB,323,333272,"['see_VBN', 'see_VB', 'see_VBG', 'see_VBP', 'see_VBZ']",-10.010950233596631,7.865833800586423
already_RB,75,94039,['already_RB'],-10.292152886671559,9.972405464784467
american_NN,28,73224,"['american_NNPS', 'american_NNP', 'american_NNS', 'american_NN']",-11.352674043242208,11.393869233222745
little_JJ,121,112844,['little_JJ'],-9.865106948555335,9.282360918005754
home_NN,63,161001,"['home_NN', 'home_NNS', 'home_NNPS', 'home_NNP']",-11.319430200087723,10.22394423178043
bring_VB,88,135924,"['bring_VB', 'bring_VBZ', 'bring_VBD', 'bring_VBN', 'bring_VBG', 'bring_VBP']",-10.593009069991458,9.74179253664305
friendly_JJ,16,12783,['friendly_JJ'],-9.641938836899376,12.201224155280348
interested_JJ,18,48588,['interested_JJ'],-11.398387426955301,12.031299153838036
group_NN,72,278460,"['group_NNS', 'group_NN', 'group_NNP']",-11.917185576336397,10.031299153838036
other_JJ,497,743117,['other_JJ'],-10.546127806533557,7.244122113718062
nearly_RB,38,43606,['nearly_RB'],-10.164311523463384,10.953296641836763
organization_NN,55,178431,"['organization_NN', 'organization_NNS', 'organization_NNP']",-11.663647046915793,10.419864441755688
government_NN,37,247452,"['government_NNP', 'government_NN', 'government_NNS']",-12.707335811463055,10.991770789651397
parent_NN,53,97320,"['parent_NNS', 'parent_NN']",-10.842528245262592,10.47330370071715
directly_RB,75,57890,['directly_RB'],-9.59220784562036,9.972405464784467
community_NN,79,241902,"['community_NN', 'community_NNS', 'community_NNP']",-11.580282423556685,9.897443407103244
university_NN,43,252881,"['university_NN', 'university_NNP', 'university_NNS']",-12.52183436513638,10.77495940057825
welcome_JJ,17,10908,['welcome_JJ'],-9.325636143664925,12.11376131403001
not_RB,1239,1598943,['not_RB'],-10.333726606931732,5.926263683139746
benefit_NN,17,96075,"['benefit_NNS', 'benefit_NN']",-12.464410609587189,12.11376131403001
own_JJ,124,186703,['own_JJ'],-10.556189273458454,9.247027844893474
need_NN,91,155932,"['need_NNS', 'need_NN']",-10.742762859155919,9.693429515081652
leave_VB,75,147390,"['leave_VBN', 'leave_VB', 'leave_VBG', 'leave_VBZ', 'leave_VBD', 'leave_VBP']",-10.940460428863656,9.972405464784467
professor_NN,20,61342,"['professor_NNP', 'professor_NNS', 'professor_NN']",-11.582659489790716,11.879296060392985
thousand_NN,34,29595,['thousand_NNS'],-9.765602995081737,11.11376131403001
also_RB,434,693842,['also_RB'],-10.642696415216442,7.439672922835869
end_NN,39,117098,"['end_NN', 'end_NNS', 'end_NNP']",-11.551954690809742,10.9158219364181
technology_NN,75,176083,"['technology_NN', 'technology_NNS', 'technology_NNPS', 'technology_NNP']",-11.197077414293561,9.972405464784467
center_NN,40,168461,"['center_NNP', 'center_NN', 'center_NNS']",-12.040127014760786,10.879296060392985
final_JJ,125,59727,['final_JJ'],-8.900311354021403,9.235439870618261
make_VB,295,745595,"['make_VBN', 'make_VBG', 'make_VBD', 'make_VBZ', 'make_VB', 'make_VBP']",-11.303461515422034,7.996653011031144
's_VB,227,382576,"[""'s_VBZ""]",-10.718838359609308,8.374675667989433
time_NN,234,661907,"['time_NN', 'time_NNS', 'time_NNP']",-11.465904282967383,8.330859435696944
here_RB,122,161482,['here_RB'],-10.370276497099596,9.270486817717462
head_NN,87,70988,"['head_NNS', 'head_NN', 'head_NNP']",-9.67234405192832,9.75828065943162
therapy_NN,38,26318,"['therapy_NN', 'therapy_NNS', 'therapy_NNP']",-9.435834723730895,10.953296641836763
right_RB,20,41699,['right_RB'],-11.025797070913809,11.879296060392985
then_RB,267,329810,['then_RB'],-10.27057968540484,8.140528223592794
thing_NN,170,184439,"['thing_NNS', 'thing_NN']",-10.083393287111317,8.791833219142646
virtually_RB,30,14704,['virtually_RB'],-8.937030455680516,11.294333559671829
interest_NN,37,149927,"['interest_NNS', 'interest_NN']",-11.984447327039849,10.991770789651397
question_NN,115,172100,"['question_NNS', 'question_NN']",-10.547397520870554,9.355734104335973
problem_NN,72,244573,"['problem_NNS', 'problem_NN']",-11.729980617186254,10.031299153838036
portion_NN,11,31441,"['portion_NN', 'portion_NNS']",-11.480927865025775,12.74179253664305
student_NN,164,562128,"['student_NNS', 'student_NN', 'student_NNP']",-11.74298714819903,8.843672150662265
root_NN,36,25672,"['root_NNS', 'root_NN']",-9.477983072839494,11.031299153838036
need_VB,137,299203,"['need_VBN', 'need_VBP', 'need_VB', 'need_VBG', 'need_VBZ', 'need_VBD']",-11.092733032154456,9.103192072319821
appearance_NN,11,17050,"['appearance_NN', 'appearance_NNS']",-10.5980525001616,12.74179253664305
view_NN,22,85882,"['view_NNS', 'view_NN']",-11.930636549645918,11.74179253664305
even_RB,341,284686,['even_RB'],-9.705384092840566,7.787596226256175
history_NN,45,113179,"['history_NN', 'history_NNS']",-11.2963936736762,10.709371058950673
talk_NN,23,29318,"['talk_NNS', 'talk_NN']",-10.315937113304662,11.677662199223334
global_JJ,11,56782,['global_JJ'],-12.33371442609397,12.74179253664305
wave_NN,21,20941,"['wave_NN', 'wave_NNP', 'wave_NNS']",-9.96172529400568,11.808906732501587
now_RB,119,275604,['now_RB'],-11.177419537989236,9.306406391972404
let_VB,127,85723,"['let_VB', 'let_VBD', 'let_VBG', 'let_VBZ', 'let_VBP']",-9.3987100328686,9.212539468508181
kind_NN,49,86333,"['kind_NN', 'kind_NNS']",-10.7829146572504,10.58651431116514
temperature_NN,42,35359,"['temperature_NN', 'temperature_NNS', 'temperature_NNP']",-9.717472430723976,10.808906732501587
control_NN,69,134218,"['control_NN', 'control_NNS', 'control_NNP']",-10.925694182261847,10.092699698502178
child_NN,182,322065,"['child_NNS', 'child_NN', 'child_NNP']",-10.789197720447714,8.693429515081652
still_RB,175,168901,['still_RB'],-9.914607232429809,8.75001304344802
do_VB,850,1263459,"['do_VBP', 'do_VBZ', 'do_VB', 'do_VBD', 'do_VBN', 'do_VBG']",-10.537628387024695,6.469905124255284
national_JJ,21,107748,['national_JJ'],-12.324984142161654,11.808906732501587
deep_JJ,45,34229,"['deep_JJR', 'deep_JJ', 'deep_JJS']",-9.571078427857481,10.709371058950673
learn_VB,48,153383,"['learn_VBP', 'learn_VBG', 'learn_VBD', 'learn_VB', 'learn_VBZ', 'learn_VBN']",-11.641816566238457,10.616261654559192
level_NN,38,223188,"['level_NN', 'level_NNS', 'level_NNP']",-12.519972421825681,10.953296641836763
saw_VB,18,41028,['saw_VBD'],-11.154396206712239,12.031299153838036
really_RB,124,105443,['really_RB'],-9.73190748677288,9.247027844893474
control_VB,16,48242,"['control_VB', 'control_VBG', 'control_VBZ', 'control_VBN', 'control_VBP']",-11.558002098774807,12.201224155280348
decision_NN,17,116962,"['decision_NN', 'decision_NNS']",-12.748217519266376,12.11376131403001
combine_VB,20,44390,"['combine_VBG', 'combine_VBZ', 'combine_VBN', 'combine_VBP', 'combine_VB', 'combine_VBD']",-11.116018993325094,11.879296060392985
tech_NN,20,5936,"['tech_NN', 'tech_NNP', 'tech_NNS']",-8.21334728173344,11.879296060392985
tax_NN,14,135809,"['tax_NN', 'tax_NNP', 'tax_NNS']",-13.243864641867066,12.393869233222745
